word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,23.26%,a,7.97%,her,2.96%
and,the,4.59%,i,3.78%,that,1.33%
the,most,1.38%,first,1.26%,same,1.09%
this,time,5.53%,is,3.86%,was,2.92%
was,a,7.31%,the,5.63%,not,3.44%
from,the,21.86%,a,3.98%,h,2.86%
made,a,7.55%,me,6.92%,up,6.29%
life,in,14.62%,and,14.62%,of,7.91%
of,the,21.06%,a,3.85%,her,2.75%
harriet,beecher,21.25%,was,6.25%,and,3.75%
her,husband,4.44%,own,3.36%,brother,3.26%
letters,from,26.56%,to,17.97%,and,8.59%
son,of,12.5%,charles,10.71%,henry,7.14%
boston,and,18.46%,she,4.62%,i,4.62%
new,york,19.38%,england,18.06%,orleans,5.29%
h,b,84.87%,w,6.72%,o,1.68%
letter,to,28.62%,from,19.2%,written,5.8%
it,is,18.83%,was,14.22%,has,3.14%
seems,to,47.44%,as,6.41%,almost,3.85%
but,i,10.35%,the,8.18%,in,4.51%
that,i,10.32%,the,9.25%,it,4.46%
i,have,11.78%,am,9.27%,was,5.34%
should,be,27.7%,have,14.55%,not,5.63%
story,of,20.18%,was,7.02%,is,6.14%
my,dear,8.55%,own,3.53%,mind,3.44%
with,the,12.88%,a,9.1%,her,4.32%
a,little,2.74%,great,2.22%,very,2.09%
few,moments,9.41%,days,7.06%,minutes,7.06%
to,the,8.97%,be,6.94%,me,3.85%
me,to,10.01%,and,6.15%,that,6.01%
some,of,16.99%,time,4.25%,one,3.09%
has,been,27.79%,a,4.87%,not,4.46%
been,a,4.63%,in,3.16%,so,2.74%
for,the,18.22%,a,5.3%,my,3.76%
many,of,15.38%,years,8.24%,more,4.4%
years,of,15.2%,ago,8.8%,old,8.0%
or,two,6.63%,the,4.14%,to,2.49%
have,been,16.01%,a,5.53%,had,3.75%
its,way,2.74%,influence,1.83%,publication,1.83%
at,the,20.14%,last,6.0%,this,5.76%
what,i,9.3%,is,8.97%,a,4.98%
is,a,11.59%,the,6.26%,to,4.91%
true,that,12.9%,story,11.29%,to,8.06%
told,me,23.33%,him,15.0%,you,10.0%
most,of,3.89%,charming,2.72%,beautiful,2.33%
part,of,60.53%,in,6.58%,i,6.58%
in,the,25.38%,a,6.1%,this,3.5%
own,country,3.57%,mind,3.57%,words,2.86%
words,of,23.44%,from,10.94%,and,7.81%
all,the,18.78%,that,5.53%,this,4.15%
an,old,4.3%,hour,3.34%,opportunity,1.91%
much,of,8.75%,more,6.67%,as,5.42%
more,than,16.52%,and,5.51%,of,4.35%
as,a,9.92%,i,7.62%,the,7.22%
than,the,13.65%,i,9.64%,in,6.43%
any,one,9.72%,other,7.87%,of,7.41%
written,to,14.95%,by,12.15%,in,10.28%
if,i,24.09%,you,13.53%,it,6.6%
these,things,8.46%,two,2.49%,were,1.99%
shall,be,14.45%,not,6.94%,have,6.36%
those,who,26.06%,of,10.91%,days,6.06%
who,had,7.22%,have,5.87%,has,5.64%
read,it,11.94%,the,8.21%,and,6.72%
them,and,7.08%,to,6.15%,in,5.23%
his,wife,3.96%,own,3.08%,family,1.47%
days,of,11.76%,and,9.41%,in,8.24%
our,own,3.13%,friends,2.09%,new,1.67%
can,be,13.58%,do,3.7%,see,3.29%
say,that,15.67%,it,5.22%,the,4.48%
am,going,4.95%,glad,4.24%,sure,3.89%
going,to,48.78%,on,13.41%,with,4.88%
great,deal,6.06%,britain,3.03%,and,2.27%
