word type,number
everything,271321
adult,6
hate,0
function,151980
normal,number
the,22079
of,13662
and,9537
to,8113
in,5989
a,5413
was,4267
his,3979
he,3882
that,3739
by,2230
it,2171
with,2165
for,2122
had,1958
were,1832
at,1795
as,1789
their,1784
they,1727
which,1425
him,1413
be,1375
but,1345
all,1343
this,1337
on,1308
not,1284
from,1282
them,1142
who,1135
upon,1057
or,1051
so,916
an,876
is,856
one,855
i,837
have,816
her,744
been,739
no,683
great,672
into,669
would,626
more,611
time,608
when,573
some,538
made,497
de,492
could,487
other,487
she,480
any,474
than,472
if,468
himself,453
these,451
every,439
out,414
its,414
man,409
many,409
very,400
two,400
most,388
there,383
should,381
day,366
ii,366
after,364
up,357
first,351
are,342
before,338
such,336
only,329
being,324
said,323
much,314
against,309
same,309
might,304
found,302
years,291
people,290
house,288
men,282
will,282
did,282
king,274
you,274
has,268
then,259
about,257
themselves,257
those,255
long,245
took,242
year,241
own,241
without,234
three,230
still,227
death,225
last,225
persons,224
under,223
among,222
afterwards,222
france,221
life,220
several,220
hundred,219
england,216
over,216
never,216
where,215
make,212
even,208
my,205
whom,204
became,202
like,200
also,200
another,199
devil,198
law,197
while,197
place,197
witches,197
thought,196
country,194
gold,194
good,186
thousand,186
brought,182
witchcraft,182
mr,180
old,174
europe,174
we,173
what,172
may,170
st,168
both,168
means,166
whole,166
called,165
new,164
name,164
your,164
having,161
little,161
gave,161
sea,159
now,159
see,158
sent,157
down,157
too,157
soon,157
city,157
paris,156
count,156
again,155
however,155
ever,154
nothing,153
me,153
duke,152
taken,150
sir,149
body,149
each,145
age,144
well,144
general,143
put,143
stone,142
immediately,142
days,141
lord,140
five,140
world,139
says,139
others,138
between,137
set,137
few,137
south,136
went,136
popular,135
through,135
la,135
once,134
court,134
came,134
public,134
crusaders,134
during,133
army,133
left,132
money,131
latter,131
received,130
number,130
whose,128
louis,127
less,127
power,127
illustration,126
following,126
whether,125
poor,125
thus,125
company,124
work,123
london,122
philosopher's,122
four,122
evil,121
women,121
seen,119
till,118
witch,118
subject,117
trial,117
germany,116
parliament,114
part,113
way,112
off,112
state,111
fell,111
guilty,111
take,111
alchymy,111
saw,110
young,110
believed,110
named,110
away,110
known,109
manner,109
holy,108
hands,108
cause,107
until,107
began,107
how,106
john,105
do,105
hand,105
m,104
mind,104
times,104
shall,104
refused,103
cross,102
present,101
twenty,101
god,101
heard,101
jerusalem,100
crusade,100
our,99
peter,98
done,98
enough,98
far,97
course,97
told,97
almost,96
millions,96
person,96
night,96
woman,96
history,95
appeared,95
secret,95
order,94
head,94
stock,93
pretended,93
account,93
opinion,93
find,92
emperor,92
duel,91
given,91
regent,91
six,91
months,90
continued,90
children,90
second,89
henry,89
belief,89
carried,89
passed,89
true,88
next,88
learned,88
end,87
pope,87
high,87
died,87
crime,87
fire,86
often,86
large,86
half,86
discovered,86
eyes,86
making,86
church,86
accused,86
extraordinary,85
influence,85
know,85
thing,84
master,84
royal,83
published,83
within,83
though,82
du,81
small,81
come,81
looked,81
water,81
dr,80
either,80
fortune,79
early,79
town,79
can,79
say,79
tried,79
burned,79
spirits,79
father,78
further,78
remained,78
earl,77
century,77
lady,77
us,77
aid,77
case,77
friends,77
land,76
knew,76
french,75
mother,75
full,75
possession,74
sufficient,74
certain,74
give,74
held,74
things,74
hair,73
character,73
fate,72
numbers,72
period,72
appear,72
words,72
credit,71
used,71
arrived,71
james,71
always,70
appears,70
back,70
met,70
necessary,70
famous,70
scheme,69
together,69
returned,69
prince,69
matter,69
lived,69
third,69
queen,69
bank,68
society,68
attention,68
justice,68
alone,68
common,68
execution,68
dee,67
become,67
lost,67
although,67
evidence,67
story,67
led,67
nature,67
wrote,67
palestine,67
success,66
madame,66
seven,66
war,66
honour,66
christians,66
directors,65
quite,65
reason,65
towards,65
richard,65
battle,65
favour,64
council,64
short,64
presence,64
return,64
similar,64
christian,64
magnetism,63
go,63
rich,63
ground,63
effect,63
friend,63
punishment,63
near,63
longer,63
charles,62
suddenly,62
nor,62
use,62
therefore,62
room,62
iron,62
murder,61
seized,61
heart,61
spread,61
better,61
increased,61
turned,61
ill,61
must,61
sold,61
art,60
enemy,60
supposed,60
silver,60
itself,60
besides,60
ten,60
fact,60
various,59
fear,59
hope,59
consequence,59
sight,59
english,59
greatest,59
arms,58
book,58
endeavoured,58
capital,58
generally,58
already,58
chief,58
celebrated,58
prison,58
duelling,57
strong,57
love,57
force,57
earth,57
allowed,57
wife,57
side,57
grand,57
spirit,57
executed,57
mississippi,56
blood,56
yet,56
lay,56
family,56
considerable,56
kind,56
government,56
livres,56
answer,56
let,56
sometimes,56
confessed,56
especially,56
word,56
asked,56
