word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,1.54%,them,1.17%,him,1.08%
the,of,17.27%,in,8.08%,to,6.04%
at,was,3.01%,and,1.56%,himself,1.33%
mississippi,the,74.07%,in,7.41%,or,3.7%
scheme,mississippi,34.78%,the,27.54%,sea,10.14%
of,one,1.53%,out,1.07%,duke,0.83%
de,m,11.57%,madame,10.98%,count,6.53%
extraordinary,the,17.65%,most,16.47%,an,9.41%
popular,the,50.4%,of,8.0%,extraordinary,4.8%
i,of,4.93%,that,4.79%,james,2.53%
illustration,them,3.67%,him,2.75%,i,1.83%
arms,the,17.54%,their,15.79%,up,15.79%
london,of,34.19%,in,29.06%,to,6.84%
and,him,1.39%,them,0.73%,it,0.68%
charles,of,29.09%,by,12.73%,emperor,10.91%
with,him,2.55%,and,2.13%,them,1.61%
du,madame,23.64%,vicomte,5.45%,que,3.64%
new,the,25.62%,a,25.0%,some,4.38%
john,sir,24.18%,of,8.79%,st,5.49%
law,the,13.61%,john,7.85%,in,6.28%
his,of,17.15%,in,9.42%,to,5.51%
duel,a,39.08%,the,19.54%,his,9.2%
between,duel,7.46%,arose,3.73%,night,2.24%
escape,to,36.54%,his,17.31%,and,7.69%
from,them,2.24%,and,2.24%,him,1.84%
king's,the,88.46%,of,3.85%,a,1.92%
land,holy,44.74%,the,38.16%,a,5.26%
bank,the,68.66%,his,7.46%,a,5.97%
on,and,3.1%,carried,2.31%,him,1.67%
duke,the,87.23%,robert,2.13%,gay,0.71%
state,the,33.33%,a,14.41%,of,7.21%
france,in,37.16%,of,34.86%,to,5.96%
after,and,6.27%,day,4.27%,years,3.7%
louis,of,26.32%,and,6.14%,that,4.39%
money,of,15.62%,the,12.5%,his,5.47%
in,and,2.07%,him,1.7%,was,1.65%
that,and,6.17%,of,3.1%,in,1.79%
country,the,49.48%,that,8.25%,own,7.73%
french,the,74.32%,a,8.11%,into,4.05%
people,the,43.4%,of,8.33%,country,3.47%
given,had,18.89%,was,16.67%,is,8.89%
for,and,1.92%,him,1.77%,it,1.11%
an,of,9.77%,was,5.01%,as,4.05%
great,the,20.21%,a,16.29%,of,7.39%
stock,the,27.78%,of,11.11%,mississippi,6.67%
general,the,23.24%,a,16.2%,in,16.2%
all,of,11.91%,in,8.52%,and,6.41%
paris,of,30.41%,in,28.38%,at,11.49%
men,of,9.29%,thousand,7.5%,learned,7.14%
