word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,32.71%,a,6.92%,his,4.79%
and,the,9.04%,that,2.44%,a,1.95%
the,same,1.37%,most,1.14%,first,0.99%
illustration,the,14.81%,sir,4.63%,henry,2.78%
mississippi,scheme,42.86%,stock,10.71%,company,7.14%
scheme,i,16.67%,and,12.12%,of,7.58%
of,the,29.01%,his,5.13%,a,3.74%
de,la,27.37%,rays,10.53%,st,8.42%
extraordinary,popular,7.14%,tales,3.57%,man,3.57%
popular,belief,8.33%,mind,6.82%,admiration,6.06%
i,have,8.27%,had,6.62%,was,4.41%
arms,and,26.32%,to,8.77%,of,7.02%
london,and,15.79%,in,10.53%,to,5.26%
with,the,23.37%,a,10.14%,his,5.3%
great,numbers,2.88%,britain,2.42%,a,2.27%
new,crusade,4.29%,england,3.68%,and,3.07%
john,law,16.3%,of,15.22%,blunt,11.96%
law,and,10.58%,was,8.47%,of,5.29%
his,own,3.36%,life,1.31%,house,0.9%
duel,ii,14.44%,was,13.33%,with,13.33%
between,the,37.4%,them,18.32%,him,6.11%
escape,from,23.08%,and,13.46%,the,11.54%
from,the,31.78%,his,6.68%,a,3.54%
king's,bench,9.8%,speech,5.88%,seal,5.88%
land,and,9.46%,the,8.11%,with,6.76%
bank,of,17.91%,were,7.46%,was,5.97%
on,the,47.31%,his,7.38%,a,5.46%
duke,of,72.37%,de,9.21%,replied,0.66%
state,of,39.09%,and,7.27%,the,6.36%
france,and,20.4%,the,6.97%,he,4.48%
after,the,25.63%,a,10.58%,his,5.29%
louis,xiv,23.33%,vii,8.33%,ix,6.67%
money,and,10.69%,to,10.69%,he,4.58%
in,the,30.49%,his,6.33%,a,6.1%
that,he,16.55%,the,14.2%,they,6.41%
country,and,10.42%,in,6.77%,people,5.21%
french,people,8.33%,and,8.33%,king,8.33%
people,of,8.33%,were,5.9%,and,5.21%
at,the,31.02%,last,7.56%,a,4.57%
given,by,16.48%,in,10.99%,to,8.79%
for,the,24.65%,a,7.52%,his,5.66%
an,old,2.37%,hour,2.13%,account,1.9%
stock,jobbing,7.61%,fell,7.61%,was,6.52%
general,of,6.43%,and,5.71%,macartney,5.0%
all,the,30.69%,his,6.42%,their,3.58%
paris,and,12.0%,the,6.0%,in,6.0%
men,of,12.46%,and,8.54%,who,6.05%
sent,to,21.02%,for,13.38%,him,8.92%
out,of,34.8%,the,7.11%,and,5.88%
to,the,16.26%,be,7.77%,have,2.98%
work,on,15.79%,of,11.4%,the,7.02%
as,the,10.99%,a,10.37%,he,6.97%
a,man,2.29%,great,2.01%,few,1.71%
made,a,10.37%,the,8.94%,by,4.47%
regent,was,13.48%,to,7.87%,the,6.74%
almost,every,11.58%,as,7.37%,to,6.32%
