word type,number
everything,25053
adult,12
hate,1
function,13389
normal,number
the,1373
a,697
to,662
of,557
and,556
you,546
i,489
he,406
in,346
she,312
her,310
was,291
that,282
it,248
his,247
at,190
as,162
had,161
with,159
but,155
for,153
me,151
him,151
be,147
on,145
betty,117
all,112
not,112
said,109
by,107
from,104
i'm,98
if,94
know,90
my,86
is,84
so,84
this,83
what,83
do,83
an,82
were,81
have,80
no,80
don't,80
white,78
been,77
about,77
your,75
very,72
then,70
good,67
there,63
little,63
oh,63
they,61
out,61
man,58
down,57
now,56
up,55
over,55
time,54
are,54
you're,53
see,53
come,52
we,52
only,51
would,51
miss,49
one,49
bob,48
eyes,48
think,48
did,47
girl,46
too,46
go,45
it's,45
i'll,45
i've,44
like,44
before,44
back,43
or,43
well,43
danton,43
madge,41
here,41
night,41
when,40
yes,40
could,39
upon,38
into,38
away,38
must,37
mr,36
through,36
way,36
any,36
who,36
just,35
that's,34
may,34
rather,33
hand,33
after,33
some,33
say,33
can,33
long,33
right,32
thought,31
their,31
enough,31
afraid,30
didn't,30
even,30
last,30
water,29
cabin,29
really,29
two,29
day,29
off,29
them,28
half,27
face,27
will,27
wind,27
look,26
gave,26
much,26
again,26
o,26
course,26
want,26
made,25
how,25
than,25
more,25
sloop,25
make,24
himself,24
house,24
head,24
going,24
under,23
other,23
get,23
while,23
aunty,23
take,23
came,23
sail,23
own,22
heard,22
please,22
name,22
sure,22
first,22
mrs,22
sea,22
you'll,21
put,21
thank,21
might,21
perhaps,21
never,21
why,21
child,20
old,20
can't,20
where,20
mean,20
toward,20
tell,20
morning,19
won't,19
baltimore,19
let,19
thing,19
dear,19
yet,19
betty's,19
took,18
sort,18
polly,18
yacht,18
moment,18
because,17
hair,17
foot,17
room,17
has,17
left,17
there's,17
us,17
hands,17
talk,17
behind,17
went,17
wheel,17
find,16
hour,16
its,16
laughed,16
glance,16
isn't,16
once,16
stood,16
near,16
found,16
herself,16
we're,16
should,16
which,16
until,16
anything,16
believe,16
knew,16
world,16
afternoon,15
you've,15
better,15
maryland,15
cottage,15
still,15
bay,15
smile,15
mind,15
side,15
woman,14
ought,14
saw,14
young,14
i'd,14
another,14
arm,14
lane,14
hope,14
fell,14
almost,14
told,14
although,14
haven't,14
always,14
married,14
understand,14
great,14
remember,14
quite,14
both,14
wasn't,13
asked,13
home,13
felt,13
shore,13
road,13
ask,13
roland,13
charlie,13
real,13
she's,13
light,13
held,13
against,13
land,13
o'clock,13
door,12
met,12
rose,12
tame,12
far,12
low,12
smiled,12
suppose,12
station,12
meet,12
sight,12
soon,12
supper,12
care,12
things,12
next,12
dick,12
sent,12
seemed,12
together,12
sound,12
dinner,12
illustration,11
mouth,11
stay,11
feet,11
you'd,11
something,11
what's,11
end,11
matter,11
ever,11
returned,11
glad,11
called,11
nothing,11
charming,11
clear,11
across,11
tom,11
wanted,11
belle,11
marry,11
got,11
wife,11
coffee,11
voice,11
boy,11
full,11
above,11
lady,10
men,10
words,10
dark,10
friend,10
laugh,10
word,10
ten,10
hold,10
beyond,10
smiling,10
already,10
without,10
such,10
looked,10
brought,10
looking,10
turned,10
suddenly,10
true,10
between,10
boat,10
give,10
call,10
song,10
minute,10
hatch,10
hat,9
catch,9
ready,9
red,9
turn,9
hurt,9
ankle,9
aren't,9
poor,9
along,9
place,9
uncle,9
year,9
slipped,9
perfectly,9
silly,9
lips,9
part,9
set,9
ran,9
most,9
certain,9
person,9
struck,9
yesterday,9
point,9
declared,9
stared,9
beside,9
sun,9
line,9
telegram,9
yo,9
island,9
kitty,9
strong,8
golden,8
talked,8
george,8
am,8
thinking,8
steps,8
instant,8
throat,8
walk,8
bit,8
fairly,8
abruptly,8
sir,8
rate,8
morrow,8
country,8
pretty,8
small,8
three,8
seen,8
wet,8
envelope,8
followed,8
wouldn't,8
people,8
these,8
answered,8
others,8
presence,8
cove,8
minutes,8
love,8
company,7
sailed,7
standing,7
waved,7
stirred,7
charles,7
use,7
being,7
blue,7
showed,7
shook,7
done,7
live,7
goodness,7
does,7
arms,7
daughter,7
fancy,7
party,7
hill,7
same,7
hum,7
frightened,7
she'd,7
kind,7
spite,7
show,7
porch,7
hot,7
laughing,7
wide,7
hundred,7
swept,7
forward,7
letter,7
dare,7
randall,7
celebrated,7
landing,7
hardly,7
answer,7
reason,7
flag,7
stars,7
guess,7
ain't,7
fair,7
chance,7
mother,7
dry,7
lee,7
heart,7
gray,7
piney,7
bound,7
farmer's,7
top,7
picnic,7
air,7
jim,7
rain,7
hawk,7
frank,6
beg,6
myself,6
careful,6
fashion,6
within,6
lingered,6
hear,6
coming,6
sorry,6
cry,6
means,6
doesn't,6
riding,6
early,6
path,6
brook,6
quiet,6
making,6
lovely,6
admit,6
family,6
eastern,6
led,6
nodded,6
big,6
main,6
whole,6
hate,6
bow,6
idea,6
girl's,6
tone,6
shoulders,6
given,6
couple,6
harry,6
since,6
new,6
indeed,6
began,6
friends,6
realized,6
drew,6
breath,6
corner,6
each,6
ah,6
fingers,6
read,6
soul,6
luncheon,6
extraordinary,6
watched,6
touched,6
cape,6
delight,6
sailor,6
promise,6
themselves,6
jib,6
waters,6
closed,6
doors,6
cockpit,6
spoke,6
open,6
appeared,6
round,6
send,6
repeated,6
we'll,6
rail,6
seem,6
steamer,6
certainly,6
guitar,6
breakfast,6
hours,6
clothes,6
whip,6
lamp,6
ocean,6
black,6
women,5
j,5
b,5
gate,5
mounted,5
allow,5
gently,5
edge,5
hadn't,5
scream,5
lucky,5
pardon,5
cheeks,5
beneath,5
sudden,5
rounded,5
mine,5
dead,5
delightful,5
cold,5
easily,5
yourself,5
tried,5
swung,5
late,5
spring,5
wild,5
scarlet,5
position,5
surprised,5
south,5
likely,5
our,5
m,5
wish,5
meant,5
oak,5
allowed,5
slowly,5
relief,5
adorable,5
begin,5
other's,5
passed,5
slender,5
kiss,5
distance,5
husband,5
lay,5
master,5
train,5
couldn't,5
glass,5
he's,5
else,5
close,5
twenty,5
hard,5
club,5
stare,5
flashed,5
needed,5
ago,5
game,5
aware,5
jones,5
broke,5
secret,5
served,5
however,5
suggestion,5
lost,5
whether,5
let's,5
reached,5
boatman,5
fast,5
everything,5
aboard,5
mainsail,5
conscious,5
body,5
simply,5
sheet,5
ashore,5
figure,5
watch,5
sandy,5
beach,5
pine,5
gravely,5
mention,5
gone,5
gripped,5
eight,5
warm,5
shining,5
braid,5
stuff,5
moon,5
thomas,5
darkness,5
storm,5
return,5
bring,5
mare,5
view,5
shone,5
district,5
days,5
serious,5
stern,5
says,5
sunday,5
asleep,5
excursion,5
need,5
blow,5
swell,5
waves,5
wave,5
wake,5
bazaar,5
wedding,5
produced,4
accidental,4
honeymoon,4
story,4
broken,4
drink,4
jersey,4
molly,4
dress,4
fault,4
guessed,4
keep,4
glory,4
blushing,4
seat,4
shoulder,4
years,4
fool,4
n,4
caught,4
waist,4
flushed,4
lifted,4
refused,4
silent,4
tired,4
hills,4
peered,4
wall,4
sounds,4
best,4
war,4
fun,4
honor,4
knows,4
milk,4
girls,4
every,4
excuse,4
glanced,4
dreadful,4
happened,4
slip,4
trust,4
delicious,4
hung,4
awoke,4
able,4
evident,4
evening,4
past,4
thus,4
front,4
dozen,4
tea,4
exclaimed,4
though,4
foolish,4
challenge,4
chair,4
lord,4
funny,4
lot,4
around,4
field,4
defiant,4
perfect,4
pale,4
teeth,4
dreamed,4
response,4
learn,4
affair,4
twice,4
stretched,4
second,4
sense,4
comfort,4
protection,4
jove,4
interrupted,4
talking,4
table,4
jimmy,4
ma'am,4
here's,4
thrust,4
matters,4
they're,4
noticed,4
amusement,4
interested,4
due,4
cap,4
reasons,4
rooms,4
lockers,4
craft,4
plenty,4
cruise,4
explained,4
case,4
try,4
risk,4
besides,4
bent,4
sailing,4
wonder,4
announced,4
slight,4
reach,4
starboard,4
pushed,4
faced,4
whistle,4
seated,4
witch,4
weather,4
silence,4
rapidly,4
appointment,4
content,4
beat,4
impossible,4
important,4
knowledge,4
demanded,4
longer,4
recognized,4
fact,4
eyed,4
hello,4
dusk,4
window,4
somebody,4
outside,4
gentle,4
whom,4
sweet,4
softly,4
nine,4
day's,4
steadied,4
snatched,4
bed,4
hollow,4
presently,4
calash,4
school,4
salt,4
gemman,4
sah,4
shad,4
short,4
infinite,4
cried,4
horse,4
yours,4
sat,4
hotel,4
snapped,4
nor,4
instantly,4
atlantic,4
pier,4
clouds,4
north,4
wharf,4
cover,4
we've,4
anchor,4
discovered,4
drowned,4
locker,4
boatswain,4
few,4
sand,4
mist,4
knife,4
david,3
potter,3
fine,3
character,3
decorated,3
cloth,3
philadelphia,3
color,3
pair,3
undertone,3
patience,3
monument,3
health,3
wine,3
chivalry,3
nature,3
rock,3
stumbled,3
bite,3
stepped,3
dreaming,3
grown,3
sad,3
sparkled,3
arranged,3
bayonets,3
possessed,3
fellow,3
alive,3
crowing,3
frankly,3
rescue,3
sprang,3
sank,3
remark,3
firm,3
notice,3
leg,3
embarrassment,3
borne,3
ordered,3
tennis,3
doing,3
rest,3
injured,3
knight,3
comes,3
finished,3
cheek,3
stone,3
humble,3
colonial,3
aunt,3
eggs,3
learned,3
wading,3
straight,3
account,3
wood,3
mustn't,3
task,3
nearly,3
terribly,3
escaped,3
welcome,3
seized,3
sharp,3
having,3
carried,3
wrong,3
dust,3
worry,3
gentleman,3
helped,3
foot's,3
older,3
soaked,3
crept,3
getting,3
outright,3
six,3
blew,3
lines,3
compelled,3
dream,3
structure,3
knoll,3
chesapeake,3
trifle,3
saying,3
notions,3
cousin,3
everybody,3
who's,3
deftly,3
confidence,3
somewhere,3
queer,3
de,3
he'd,3
eh,3
thrilled,3
decided,3
wonderfully,3
trick,3
four,3
clatter,3
tears,3
seriously,3
tore,3
proud,3
touch,3
hint,3
depths,3
realize,3
steady,3
deal,3
determined,3
afterward,3
denied,3
possibility,3
thoughts,3
became,3
checked,3
shirt,3
trousers,3
pleasure,3
neither,3
casual,3
dripping,3
alone,3
note,3
maybe,3
steal,3
threw,3
progress,3
telling,3
chuckled,3
needn't,3
worth,3
keeping,3
gotten,3
stage,3
looks,3
pity,3
giving,3
bought,3
steam,3
length,3
broad,3
deck,3
suggested,3
proceeded,3
surprise,3
comfortable,3
ways,3
those,3
tongue,3
ham,3
life,3
tack,3
safe,3
ahead,3
nonsense,3
expected,3
anticipated,3
therefore,3
question,3
flannels,3
accompany,3
offer,3
taken,3
fall,3
drifting,3
board,3
entirely,3
mile,3
breeze,3
sang,3
merely,3
wondered,3
eye,3
flattening,3
horizon,3
post,3
double,3
distinctly,3
flung,3
situation,3
intend,3
force,3
mere,3
won,3
dwelt,3
commanded,3
proved,3
strength,3
five,3
east,3
growing,3
leave,3
thanks,3
follow,3
joined,3
ridiculous,3
passion,3
exactly,3
amazement,3
tossed,3
possession,3
floor,3
whatever,3
mark,3
prisoner,3
leaped,3
crossed,3
quail,3
glow,3
notes,3
extended,3
hammock,3
living,3
received,3
suit,3
plain,3
help,3
forever,3
asking,3
honest,3
soft,3
rising,3
brief,3
sky,3
daylight,3
tender,3
problem,3
mysterious,3
wrought,3
launch,3
business,3
least,3
they'd,3
below,3
leaned,3
swear,3
innocent,3
eat,3
less,3
brooding,3
interesting,3
managed,3
man's,3
landau,3
wants,3
impertinent,3
forest,3
space,3
log,3
yas,3
cook,3
companion,3
bearing,3
spread,3
needs,3
different,3
mare's,3
feel,3
pulled,3
opened,3
acting,3
signed,3
remembered,3
fresh,3
flying,3
dignified,3
understood,3
dignity,3
headed,3
lower,3
weren't,3
heaven,3
speak,3
dawn,3
freshening,3
ate,3
blowing,3
chin,3
work,3
bath,3
mainland,3
speed,3
alongside,3
worst,3
running,3
string,3
piece,3
dived,3
occurred,3
fought,3
gunwale,3
inside,3
terrible,3
roll,3
run,3
order,3
inlet,3
during,3
crew,3
act,3
cup,3
mad,3
broiled,3
forecastle,3
nancy,3
shop,3
bench,3
suspicions,3
god,3
farmhouse,3
hiding,3
marriage,3
fired,3
certificate,3
warned,3
general,3
staring,3
drum,3
elizabeth,3
fasten,2
bracelet,2
colored,2
frontispiece,2
justice,2
spur,2
author,2
illustrations,2
copyright,2
permission,2
avail,2
screamed,2
eels,2
flourish,2
presumptuous,2
sympathy,2
lately,2
arrived,2
ribbon,2
blonde,2
glint,2
delicately,2
lipped,2
seek,2
greek,2
loved,2
unusual,2
bowed,2
quickly,2
finger,2
crying,2
dancing,2
vigorous,2
ye,2
es,2
awfully,2
tottering,2
anywhere,2
miles,2
tight,2
wriggle,2
carrying,2
playing,2
born,2
heroine,2
claim,2
reward,2
myrtle,2
rows,2
trees,2
overhanging,2
harmony,2
mood,2
truly,2
rested,2
piquant,2
farmer,2
ruined,2
families,2
crumbling,2
mansion,2
confederate,2
colonel,2
faithful,2
watching,2
freely,2
visit,2
named,2
butter,2
eating,2
meeting,2
disobedient,2
knowing,2
alas,2
violent,2
shouldn't,2
carry,2
ground,2
sigh,2
tenderness,2
stooped,2
anger,2
spoiled,2
quailed,2
flashing,2
humbly,2
gracious,2
dearie,2
warningly,2
woman's,2
effectually,2
pitiful,2
baby,2
leading,2
thanked,2
agreed,2
mischief,2
ample,2
blood,2
paused,2
immensely,2
hobbled,2
supported,2
clearly,2
folk,2
fancied,2
whose,2
supplied,2
strode,2
smashed,2
hearts,2
parts,2
stranger,2
rise,2
marylanders,2
known,2
fully,2
yards,2
garden,2
box,2
vis,2
hurried,2
bad,2
car,2
except,2
instead,2
tones,2
blame,2
boys,2
expect,2
manner,2
languid,2
native,2
stranded,2
empty,2
julep,2
high,2
buy,2
promised,2
telegraph,2
rattled,2
willing,2
elude,2
sitting,2
averted,2
concern,2
rejoined,2
deep,2
mellow,2
ear,2
baffling,2
beauty,2
appreciation,2
adjective,2
moreover,2
sombre,2
impelled,2
further,2
beautiful,2
downright,2
handsome,2
dodge,2
declined,2
badinage,2
idiot,2
cotillion,2
glistened,2
reminded,2
wholly,2
unwonted,2
tease,2
sunset,2
hazy,2
surface,2
interest,2
novel,2
enter,2
doorway,2
finally,2
significance,2
grateful,2
dared,2
cad,2
gesture,2
d,2
oath,2
crooked,2
scar,2
devilish,2
partly,2
weak,2
comforting,2
group,2
muffled,2
wore,2
expression,2
apparition,2
closely,2
play,2
greatly,2
rushing,2
join,2
venture,2
positively,2
declare,2
ring,2
change,2
shall,2
begun,2
acquaintance,2
particular,2
entertaining,2
bachelor,2
compliment,2
temperament,2
judge,2
charm,2
vastly,2
amused,2
recollection,2
confound,2
jealous,2
noon,2
wooded,2
tied,2
seaworthy,2
sides,2
keys,2
clambered,2
cabins,2
galley,2
oil,2
aft,2
used,2
kept,2
stores,2
potted,2
tin,2
intent,2
pathway,2
knee,2
bitter,2
confidently,2
disappointed,2
chorused,2
whimsical,2
wits,2
companionship,2
trying,2
wait,2
match,2
cast,2
acquainted,2
study,2
ruffle,2
slid,2
whistled,2
shrilly,2
aloud,2
diminished,2
motive,2
attention,2
e,2
ship,2
leaves,2
stopped,2
become,2
surveyed,2
bowsprit,2
loud,2
god's,2
framed,2
upper,2
faintly,2
obstinate,2
move,2
haul,2
warn,2
terror,2
surely,2
joke,2
conduct,2
resumed,2
powerful,2
eccentric,2
stand,2
uncertain,2
nautical,2
binnacle,2
warning,2
fear,2
