word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,23.81%,a,11.43%,jove,3.81%
and,the,7.24%,i,4.82%,then,2.23%
the,wind,1.77%,girl,1.69%,sloop,1.69%
an,hour,13.58%,accidental,4.94%,instant,4.94%
i,don't,7.26%,was,6.85%,know,4.36%
a,little,4.79%,man,2.47%,long,1.74%
of,the,28.12%,a,5.7%,course,4.04%
all,the,12.61%,this,9.91%,right,9.01%
that,he,6.47%,i,5.76%,you,5.76%
they,were,16.39%,had,8.2%,sailed,4.92%
with,the,16.03%,a,13.46%,you,11.54%
in,the,24.12%,a,11.47%,his,5.0%
at,the,34.29%,last,6.86%,a,6.29%
but,i,13.07%,you,5.23%,i'm,5.23%
been,a,5.33%,standing,4.0%,on,4.0%
this,is,11.11%,time,6.17%,afternoon,6.17%
time,to,25.0%,he,7.69%,what,5.77%
what,you,9.88%,i,8.64%,a,8.64%
he,said,8.89%,had,7.65%,was,5.93%
his,eyes,4.49%,own,3.27%,arm,2.45%
from,the,41.58%,his,5.94%,a,2.97%
i'm,afraid,15.46%,not,11.34%,going,7.22%
is,it,12.82%,the,6.41%,a,5.13%
said,i,11.83%,and,6.45%,you,4.3%
good,night,21.21%,by,10.61%,morning,9.09%
on,the,49.65%,a,6.99%,her,5.59%
betty,he,10.0%,i,6.36%,good,2.73%
me,to,6.0%,i,6.0%,that,4.67%
to,the,8.98%,be,7.74%,his,2.79%
your,pardon,6.67%,name,5.33%,health,4.0%
her,eyes,5.83%,a,2.91%,hair,2.59%
white,cottage,18.42%,she,13.16%,and,5.26%
my,own,8.24%,ankle,3.53%,way,3.53%
for,a,15.07%,the,15.07%,you,7.53%
it,was,17.48%,to,2.85%,for,2.44%
down,the,22.81%,at,10.53%,to,8.77%
there,was,19.05%,you,4.76%,and,4.76%
you,know,7.62%,to,3.35%,were,2.42%
are,you,28.3%,a,9.43%,the,5.66%
little,crowing,4.84%,girl,4.84%,cabin,4.84%
be,a,6.94%,sure,4.17%,careful,3.47%
about,her,12.0%,the,10.67%,it,10.67%
if,you,18.28%,i,12.9%,he,7.53%
was,a,5.88%,not,5.19%,only,2.77%
know,it,7.95%,that,7.95%,i,6.82%
not,at,5.45%,to,5.45%,a,3.64%
up,the,27.78%,to,7.41%,and,5.56%
so,much,6.1%,long,3.66%,i,3.66%
she,said,10.0%,was,8.39%,had,6.13%
now,and,9.09%,i,7.27%,that,5.45%
had,been,12.42%,a,7.45%,not,4.97%
as,he,16.88%,if,10.62%,she,6.88%
were,in,6.33%,as,3.8%,the,3.8%
only,a,9.8%,the,5.88%,that,5.88%
would,have,23.53%,be,21.57%,you,3.92%
have,been,16.46%,a,10.13%,you,8.86%
you're,a,16.98%,very,7.55%,the,7.55%
then,you,7.25%,all,5.8%,he,5.8%
him,to,8.0%,a,6.67%,as,6.67%
out,of,25.0%,the,10.0%,here,8.33%
no,no,11.69%,i,9.09%,o,5.19%
very,much,8.45%,well,5.63%,kind,4.23%
do,you,48.19%,that,4.82%,it,4.82%
oh,i,16.67%,yes,6.67%,please,5.0%
don't,know,13.75%,you,7.5%,think,6.25%
over,the,29.63%,to,7.41%,her,5.56%
man,of,10.34%,who,5.17%,but,5.17%
we,were,17.65%,can,9.8%,must,5.88%
