word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,good,6.8%,honeymoon,2.91%,riding,2.91%
and,you,2.05%,and,1.31%,said,1.12%
the,of,11.29%,in,6.05%,on,5.24%
at,her,3.8%,not,3.26%,down,3.26%
i,and,5.49%,but,4.22%,that,3.38%
a,in,5.69%,of,4.52%,for,3.21%
of,out,2.73%,sort,2.55%,one,1.64%
all,at,7.21%,you,7.21%,and,6.31%
that,of,4.33%,in,2.89%,me,2.53%
they,as,11.48%,afternoon,9.84%,and,4.92%
with,said,2.61%,him,2.61%,me,2.61%
in,go,2.11%,was,1.81%,himself,1.51%
but,it,2.7%,course,2.7%,her,2.03%
been,had,25.97%,i've,20.78%,have,16.88%
this,all,13.58%,like,7.41%,in,4.94%
time,the,11.11%,this,9.26%,in,9.26%
what,but,7.5%,of,6.25%,that's,5.0%
he,as,7.03%,that,4.69%,betty,2.86%
his,of,8.1%,to,7.29%,in,6.88%
from,hat,2.94%,steps,2.94%,slipped,2.94%
i'm,but,8.99%,know,4.49%,you,4.49%
is,this,11.11%,what,7.41%,it,7.41%
said,he,34.29%,she,29.52%,broken,2.86%
an,in,12.66%,for,5.06%,was,3.8%
good,a,9.38%,night,4.69%,the,4.69%
on,went,4.9%,and,3.5%,hand,2.8%
betty,of,6.19%,miss,5.31%,and,5.31%
me,to,7.33%,for,6.67%,of,4.0%
to,you,2.75%,enough,2.14%,want,2.14%
your,beg,6.76%,of,5.41%,drink,4.05%
her,of,6.84%,to,5.54%,in,4.23%
white,bob,57.89%,a,6.58%,to,5.26%
my,in,10.84%,about,4.82%,on,3.61%
for,you,3.97%,it,3.97%,and,2.65%
it,of,4.51%,that,4.51%,is,4.1%
down,me,7.02%,tore,3.51%,come,3.51%
there,and,3.23%,be,3.23%,look,3.23%
you,do,7.48%,thank,3.74%,with,3.36%
little,a,52.38%,the,14.29%,her,3.17%
be,to,34.48%,must,9.66%,would,7.59%
about,me,7.89%,you,5.26%,talking,3.95%
if,as,18.48%,even,5.43%,see,5.43%
was,it,15.87%,i,12.18%,she,9.59%
know,you,46.07%,i,23.6%,don't,12.36%
not,was,13.51%,i'm,9.91%,had,7.21%
up,giving,5.56%,grown,3.7%,come,3.7%
so,was,4.82%,thought,3.61%,or,3.61%
she,that,3.97%,as,3.64%,white,3.31%
now,just,9.09%,and,9.09%,late,3.64%
had,he,21.53%,she,13.19%,i,5.56%
as,him,6.21%,just,3.11%,soon,2.48%
have,would,15.38%,to,15.38%,must,14.1%
you're,and,5.77%,if,5.77%,that,3.85%
then,and,17.65%,sloop,4.41%,night,2.94%
him,to,6.62%,upon,5.96%,with,3.31%
out,get,4.92%,come,4.92%,her,3.28%
no,no,11.54%,was,5.13%,you,3.85%
very,the,11.11%,a,11.11%,was,6.94%
do,to,14.81%,i,11.11%,you,4.94%
oh,o,15.0%,i,5.0%,me,3.33%
don't,i,44.3%,you,15.19%,please,6.33%
over,it,5.66%,and,5.66%,her,3.77%
see,to,32.08%,you,20.75%,i,18.87%
were,you,17.11%,they,13.16%,we,11.84%
man,a,29.82%,the,12.28%,old,7.02%
we,if,13.73%,but,5.88%,then,3.92%
