word type,number
everything,2987
adult,0
hate,0
function,1681
normal,number
the,141
i,124
he,93
to,85
a,77
and,69
was,55
it,46
but,45
of,33
you,32
on,30
me,29
him,29
in,28
that,27
for,27
all,26
out,25
said,25
his,24
had,23
didn't,21
skippy,21
henry,20
what,17
got,17
we,16
at,15
with,15
have,15
not,14
about,14
so,14
my,14
don't,13
time,13
down,13
be,12
that's,12
is,12
right,12
them,11
like,11
could,11
off,10
take,10
they,10
want,10
around,10
every,10
when,10
going,10
by,9
if,9
there,9
little,9
hear,9
no,9
an,9
were,9
up,9
know,9
this,8
cards,8
are,8
card,8
some,8
only,8
can,8
or,8
looked,8
window,8
how,8
told,8
your,7
place,7
then,7
long,7
eight,7
took,7
lot,7
back,7
kid,7
glasses,7
even,7
over,7
couldn't,6
from,6
any,6
another,6
where,6
call,6
two,6
business,6
looking,6
game,6
would,6
look,6
henry's,6
chance,6
because,6
enough,6
big,6
field,6
read,6
voices,6
wasn't,5
did,5
wouldn't,5
man,5
do,5
players,5
get,5
other,5
good,5
came,5
one,5
room,5
see,5
after,5
our,5
twenty,5
now,5
made,5
wheel,5
us,5
street,5
say,5
think,5
i'll,5
people,5
black,5
make,5
give,4
play,4
thing,4
they're,4
transmitter,4
fellow,4
own,4
hand,4
knew,4
it's,4
along,4
can't,4
played,4
toward,4
go,4
thought,4
bucks,4
much,4
pretty,4
talking,4
too,4
mind,4
talk,4
everybody,4
more,4
come,4
figured,4
way,4
electronic,3
bug,3
better,3
genius,3
first,3
receiver,3
next,3
put,3
their,3
has,3
word,3
away,3
never,3
end,3
stuff,3
three,3
four,3
ten,3
fifty,3
fish,3
felt,3
being,3
day,3
well,3
laughed,3
called,3
into,3
money,3
express,3
himself,3
myself,3
before,3
red,3
something,3
fast,3
still,3
stop,3
sure,3
why,3
across,3
through,3
bed,3
old,3
as,3
getting,3
thousand,3
hadn't,3
puzzled,3
shade,3
beanery,3
counterman,3
head,3
you're,3
i'm,3
most,3
jake's,3
understand,3
smart,3
brains,3
set,3
he's,3
says,3
hears,3
produced,2
