word type,number
everything,46256
adult,0
hate,0
function,24159
normal,number
the,4239
of,2498
and,1471
to,1269
in,949
a,922
her,825
was,799
by,580
she,573
with,425
his,350
that,322
at,313
on,296
for,270
as,266
their,256
were,252
who,229
he,221
but,216
from,202
which,182
they,180
had,174
an,172
it,170
this,162
queen,158
or,146
one,146
after,144
when,141
all,131
not,126
is,121
be,118
king,116
de,112
into,111
women,106
so,102
them,97
great,92
him,90
during,89
been,85
some,84
war,83
battle,78
more,77
last,77
years,76
death,76
amazons,73
most,73
made,72
men,72
many,71
have,68
herself,67
days,66
time,66
would,65
where,65
city,64
up,62
those,62
took,62
soldiers,62
than,61
before,60
head,60
son,59
even,58
against,58
husband,58
soon,57
thousand,57
courage,56
army,56
two,55
first,55
through,54
english,53
under,53
castle,53
female,52
siege,52
woman,51
only,51
while,51
day,49
out,49
over,49
wife,48
hundred,47
several,47
daughter,46
every,46
there,46
latter,46
troops,46
own,45
its,44
upon,44
lady,43
being,43
very,43
amongst,43
countess,42
french,42
jeanne,42
said,42
though,42
no,41
compelled,41
sir,40
about,39
slain,39
military,38
same,38
three,38
however,37
place,37
another,37
between,37
year,37
charles,37
died,37
warriors,36
life,36
few,36
these,36
having,36
people,36
says,36
warlike,35
should,35
old,35
again,35
whom,35
name,35
themselves,35
throne,35
town,35
any,34
general,34
roman,33
country,33
now,33
sent,33
commanded,33
heroine,33
garrison,33
earl,33
like,32
has,32
could,32
once,32
fought,32
royal,32
walls,32
little,31
other,31
france,31
england,31
part,31
prisoner,31
camp,31
whose,30
became,30
field,30
sword,30
father,30
st,29
john,29
may,29
did,29
both,29
brave,29
till,29
set,29
command,28
emperor,28
man,28
such,28
off,28
arms,28
hands,28
defence,28
defended,28
prince,28
defeated,28
i,27
chief,27
margaret,27
never,27
then,27
together,27
marched,27
five,27
surrender,27
page,26
bravery,26
famous,26
entered,26
named,26
side,26
himself,26
various,26
changed,26
count,26
mary,25
la,25
history,25
if,25
much,25
take,25
put,25
almost,25
young,25
henry,25
down,24
without,24
fell,24
captured,24
hand,24
led,24
near,24
governor,24
left,24
duke,24
wars,23
turks,23
mother,23
might,23
government,23
are,23
held,23
romans,23
passed,23
new,23
brought,23
afterwards,23
also,23
gave,23
besiegers,23
zenobia,22
noble,22
well,22
found,22
taken,22
lived,22
nation,22
according,22
besieged,22
received,22
presence,22
spanish,21
high,21
yet,21
we,21
fight,21
followed,21
nearly,21
early,21
others,21
amazon,21
married,21
large,21
century,21
make,21
long,21
fled,21
forces,21
citizens,21
expedition,20
ancient,20
widow,20
orleans,20
illustration,20
what,20
small,20
world,20
towards,20
way,20
foe,20
children,20
accompanied,20
months,20
caused,20
attack,20
gates,20
ii,19
daughters,19
ladies,19
empress,19
house,19
laid,19
back,19
offered,19
rest,19
arrived,19
foot,19
raised,19
came,19
family,19
displayed,19
lord,19
edward,19
principal,18
proved,18
armies,18
thus,18
armour,18
victory,18
river,18
return,18
four,18
went,18
invaded,18
cut,18
remained,18
next,18
arabs,17
greek,17
europe,17
maria,17
away,17
beautiful,17
armed,17
age,17
too,17
sea,17
carried,17
save,17
alexander,17
resolved,17
land,17
possessed,17
court,17
brother,17
end,17
refused,17
louis,17
etc,16
london,16
egypt,16
arab,16
spain,16
sister,16
hungary,16
south,16
william,16
ever,16
throughout,16
frequently,16
still,16
mounted,16
terrible,16
number,16
known,16
liberty,16
horse,16
peace,16
enemy,16
close,16
dwelt,16
attacked,16
girl,16
seized,16
crown,16
valour,15
author,15
tribes,15
asia,15
knights,15
grand,15
greece,15
although,15
permitted,15
far,15
greater,15
scarcely,15
male,15
defend,15
capital,15
heard,15
assistance,15
struck,15
returned,15
prisoners,15
open,15
body,15
retired,15
following,15
second,15
soldier,15
placed,15
seen,15
despatched,15
spirit,15
nobles,15
thirty,14
rebellion,14
popular,14
within,14
power,14
twenty,14
favourite,14
dominions,14
shortly,14
home,14
storm,14
told,14
retreat,14
party,14
wild,14
joined,14
routed,14
fortress,14
german,13
title,13
blanche,13
march,13
paris,13
scotland,13
strong,13
force,13
girls,13
rome,13
times,13
tradition,13
story,13
greeks,13
our,13
called,13
rode,13
natives,13
fire,13
means,13
give,13
cities,13
beauty,13
fleet,13
gained,13
refuge,13
later,13
state,13
learned,13
assault,13
commander,13
distinguished,13
success,13
night,13
efforts,13
brittany,13
queens,12
africa,12
east,12
moors,12
robert,12
prejudice,12
good,12
sometimes,12
entirely,12
engagement,12
ten,12
each,12
cast,12
reign,12
banks,12
wives,12
equal,12
entire,12
palace,12
best,12
historians,12
aid,12
person,12
kept,12
magnificent,12
met,12
aided,12
officers,12
ruled,12
love,12
either,12
fifty,12
wounded,12
flight,12
dead,12
declared,12
assumed,12
obliged,12
pieces,12
april,12
maid,11
princess,11
fall,11
empire,11
voyage,11
personal,11
deeds,11
see,11
conduct,11
lay,11
share,11
say,11
among,11
triumph,11
leading,11
hero,11
marriage,11
italy,11
numerous,11
taking,11
surrounded,11
sailed,11
defeat,11
centuries,11
given,11
treated,11
kingdom,11
always,11
warrior,11
assembled,11
standard,11
immediately,11
indians,11
account,11
artemisia,11
escape,11
leaders,11
friends,11
leader,11
appeared,11
towns,11
styled,11
retire,11
short,10
chapter,10
cleopatra,10
british,10
regent,10
jane,10
denmark,10
north,10
bona,10
civil,10
irish,10
mrs,10
savage,10
certain,10
subjects,10
able,10
ranks,10
nations,10
advanced,10
engaged,10
victorious,10
how,10
nor,10
less,10
writers,10
blood,10
escaped,10
born,10
right,10
beyond,10
bravely,10
ships,10
fate,10
eyes,10
turned,10
ground,10
isle,10
powerful,10
saw,10
struggle,10
fierce,10
terror,10
rank,10
ordered,10
loss,10
successful,10
raise,10
former,10
order,10
ambitious,10
followers,10
terms,10
continued,10
despite,10
attire,10
stood,10
convent,10
july,10
church,10
parliament,10
vols,10
iii,9
victoria,9
west,9
iv,9
persia,9
maiden,9
origin,9
vi,9
matilda,9
black,9
montfort,9
sweden,9
isabel,9
america,9
germany,9
captain,9
mind,9
supposed,9
round,9
sex,9
rose,9
revolt,9
golden,9
battles,9
goddess,9
indeed,9
clad,9
greatly,9
slaughter,9
husbands,9
existence,9
law,9
fury,9
words,9
acquired,9
longer,9
conquered,9
desperate,9
skill,9
invasion,9
fighting,9
band,9
arrival,9
nothing,9
six,9
re,9
erected,9
stones,9
arrows,9
neighbouring,9
husband's,9
citadel,9
thought,9
strength,9
further,9
different,9
insurrection,9
began,9
leaving,9
persian,9
carry,9
alive,9
repulsed,9
probably,9
capture,9
seeing,9
wishing,9
seven,9
resistance,9
action,9
whether,9
queen's,9
granted,9
heir,9
inhabitants,9
drove,9
bishop,9
camel,9
turkish,9
finding,9
salisbury,9
street,8
modern,8
mithridates,8
heroines,8
word,8
chase,8
saint,8
barbara,8
derby,8
herodotus,8
news,8
object,8
ramparts,8
will,8
native,8
find,8
since,8
subject,8
gold,8
goths,8
half,8
directly,8
speedily,8
ascended,8
nine,8
landed,8
absence,8
suit,8
flung,8
commenced,8
afraid,8
don,8
enemies,8
important,8
public,8
island,8
use,8
tribe,8
employed,8
neither,8
sons,8
insisted,8
honours,8
unable,8
scene,8
destroyed,8
sovereign,8
believing,8
fresh,8
governed,8
rather,8
knowing,8
cried,8
thirst,8
gallant,8
headed,8
companions,8
reason,8
showed,8
concluded,8
province,8
prudence,8
generals,8
revenge,8
lasted,8
reached,8
rendered,8
spot,8
king's,8
faithful,8
rival,8
rebels,8
proclaimed,8
utmost,8
animated,8
caliph,8
infidels,8
master,8
go,8
cause,8
danes,8
charge,8
you,8
gothic,7
prophet,7
aquitaine,7
fair,7
catholic,7
lieutenant,7
holy,7
constance,7
elizabeth,7
helena,7
des,7
officer,7
heroic,7
ignorant,7
pretty,7
claim,7
decided,7
must,7
masculine,7
quarter,7
opinion,7
divided,7
do,7
lives,7
duties,7
trained,7
fatigue,7
just,7
alike,7
office,7
mail,7
lead,7
often,7
curious,7
princes,7
homes,7
riding,7
bow,7
grew,7
minor,7
conqueror,7
mount,7
course,7
treaty,7
lost,7
late,7
slew,7
corpse,7
dressed,7
ruler,7
situated,7
lofty,7
determined,7
syria,7
read,7
finally,7
placing,7
parts,7
knew,7
honour,7
moment,7
battlements,7
ensued,7
prison,7
sight,7
terminated,7
retreated,7
closed,7
performed,7
safety,7
thousands,7
crossed,7
sixty,7
forty,7
falling,7
guard,7
distance,7
enthusiasm,7
memory,7
established,7
want,7
restored,7
forth,7
respect,7
september,7
terrified,7
britain,7
weary,7
burning,7
reinforcements,7
adherents,7
bold,7
occupied,7
spirited,7
lance,7
tried,7
third,7
miles,7
favour,7
provisions,7
kind,7
behind,7
christians,7
white,7
twelve,7
keep,7
meet,7
especially,7
philip,7
invested,7
italian,7
hill,7
resolute,7
work,7
spaniards,7
produced,6
present,6
catherine,6
thrace,6
atalanta,6
ethiopia,6
abu,6
prefect,6
sorceress,6
v,6
duchess,6
barons,6
du,6
condottieri,6
cortez,6
catalina,6
toledo,6
christine,6
scottish,6
hall,6
society,6
christian,6
india,6
private,6
annual,6
justice,6
quite,6
weak,6
rule,6
poor,6
allowed,6
voice,6
hard,6
sufficient,6
enough,6
exercises,6
countrymen,6
barbarians,6
belief,6
wisdom,6
believe,6
god,6
pope,6
figure,6
weapon,6
formidable,6
swords,6
birds,6
existed,6
driven,6
bears,6
border,6
appointed,6
visited,6
breast,6
formed,6
constant,6
besides,6
common,6
caucasus,6
bestowed,6
hercules,6
succeeded,6
arm,6
troy,6
chosen,6
seemed,6
until,6
alliance,6
victors,6
resigned,6
shore,6
invaders,6
accept,6
seek,6
desert,6
therefore,6
better,6
conducted,6
making,6
shores,6
opposed,6
arose,6
presented,6
living,6
adopted,6
setting,6
example,6
influence,6
opportunity,6
campaign,6
career,6
hope,6
fallen,6
here,6
attached,6
worthy,6
satisfied,6
conquests,6
answer,6
pay,6
numbers,6
approach,6
bridge,6
heart,6
broken,6
pursuit,6
endeavoured,6
fly,6
care,6
assisted,6
stratagem,6
cyrus,6
upwards,6
addressed,6
closely,6
ship,6
hung,6
putting,6
authority,6
governors,6
maintained,6
relatives,6
regency,6
eldest,6
join,6
quarters,6
talents,6
expeditions,6
contrived,6
highly,6
unfortunate,6
legions,6
occasion,6
withdrew,6
victor,6
written,6
welsh,6
iceni,6
gaul,6
hastened,6
deserted,6
emperors,6
my,6
imperial,6
sapor,6
covered,6
reputation,6
aurelian,6
celebrated,6
reduced,6
stronghold,6
faith,6
father's,6
poetry,6
december,6
villages,6
estates,6
york,6
marquis,6
le,6
normandy,6
richard,6
august,6
june,6
crowned,6
cruelty,6
leave,6
obtained,6
huge,6
opened,6
sides,6
village,6
joan,6
rouen,6
xi,6
grace,6
m,6
mansion,6
brothers,5
madame,5
armenia,5
bohemia,5
poland,5
alfred,5
russia,5
maud,5
culm,5
norway,5
pelham,5
castile,5
confederacy,5
tuscany,5
louise,5
weal,5
abbé,5
conquest,5
republic,5
guiana,5
let,5
letter,5
prove,5
natural,5
board,5
easily,5
stand,5
things,5
ancients,5
inclined,5
athenian,5
lords,5
counsels,5
danger,5
fable,5
affairs,5
assigned,5
bear,5
enemy's,5
chariot,5
form,5
because,5
ran,5
somewhat,5
duty,5
sun,5
fact,5
barbarous,5
impossible,5
forward,5
scythian,5
settled,5
surrounding,5
childhood,5
superior,5
due,5
extended,5
renowned,5
turn,5
inherited,5
theseus,5
mouth,5
easy,5
undertook,5
squadron,5
crossing,5
ended,5
morning,5
guards,5
habits,5
retained,5
pursued,5
condemned,5
reins,5
severe,5
served,5
us,5
coast,5
captains,5
contending,5
amidst,5
escorted,5
front,5
legend,5
neighbourhood,5
religion,5
speaking,5
exercise,5
pleasure,5
kings,5
cruel,5
wood,5
dangers,5
rushed,5
moments,5
paid,5
cover,5
vast,5
oracle,5
intelligence,5
cross,5
discovered,5
committed,5
highest,5
conferred,5
energy,5
opposing,5
persians,5
weapons,5
besieging,5
previously,5
states,5
navy,5
commanders,5
advice,5
indignant,5
appear,5
customary,5
possession,5
true,5
vessels,5
red,5
hot,5
iron,5
retain,5
added,5
treasures,5
talented,5
assassinated,5
relieved,5
independence,5
monarch,5
valiant,5
euphrates,5
eight,5
antony,5
prepared,5
threw,5
active,5
egyptian,5
encamped,5
everything,5
merely,5
sovereignty,5
heavy,5
tribute,5
step,5
britons,5
commanding,5
avenge,5
used,5
marching,5
light,5
point,5
confusion,5
hurled,5
palmyra,5
genius,5
fortune,5
murder,5
wealthy,5
midst,5
separated,5
rejected,5
wrote,5
thrown,5
supported,5
cavalry,5
families,5
driving,5
captive,5
opponent,5
mohammed,5
fortunes,5
barely,5
immense,5
moslem,5
negotiations,5
skirmishes,5
hours,5
position,5
disguised,5
wished,5
directed,5
districts,5
thirteenth,5
fame,5
humble,5
proposal,5
honourable,5
prowess,5
saracens,5
gate,5
preserved,5
art,5
declaring,5
middle,5
boy,5
ammunition,5
dame,5
knight,5
orders,5
dames,5
tower,5
stephen,5
illustrious,5
sicily,5
naples,5
infant,5
returning,5
heads,5
assaults,5
renewed,5
shall,5
walter,5
burned,5
month,5
innocent,5
upper,5
october,5
frequent,5
venetians,5
event,5
francis,5
american,5
netherlands,5
parliamentary,5
novel,5
ages,4
goddesses,4
assyria,4
poetess,4
mania,4
caledonian,4
combats,4
damascus,4
infantry,4
vii,4
anjou,4
viii,4
junta,4
jewess,4
buda,4
reformation,4
scots,4
coronation,4
miss,4
et,4
mexico,4
mission,4
edinburgh,4
makes,4
blind,4
idea,4
rebel,4
company,4
wicked,4
necessity,4
drive,4
can,4
feminine,4
instances,4
pastime,4
brute,4
declined,4
publicly,4
occasionally,4
hold,4
henceforth,4
brutal,4
observes,4
generally,4
enter,4
besiege,4
egyptians,4
horses,4
pounds,4
invariably,4
believed,4
hour,4
germans,4
destined,4
confined,4
monster,4
adds,4
marvellous,4
achievements,4
speak,4
induced,4
species,4
cattle,4
destroying,4
surprised,4
massacred,4
protection,4
aside,4
murdered,4
burnt,4
whence,4
signifying,4
comes,4
skilful,4
amazonian,4
become,4
effect,4
victories,4
countries,4
snow,4
founded,4
adorned,4
conspicuous,4
bring,4
temporary,4
exchange,4
relate,4
acted,4
passing,4
streets,4
total,4
rout,4
quarrel,4
declare,4
done,4
usual,4
dragged,4
mighty,4
travelled,4
contrary,4
descended,4
historian,4
sail,4
totally,4
dress,4
language,4
consented,4
free,4
follow,4
journey,4
marry,4
die,4
monarchs,4
african,4
neighbours,4
serve,4
gigantic,4
plunder,4
perished,4
hostile,4
conclusion,4
acclamations,4
seem,4
neapolitan,4
corpses,4
portuguese,4
rear,4
esteemed,4
secure,4
successors,4
show,4
archbishop,4
asked,4
babe,4
peasants,4
bore,4
invading,4
obstinate,4
council,4
fully,4
sharing,4
reach,4
besought,4
threats,4
deprived,4
entreaties,4
doubt,4
elephants,4
haughty,4
rally,4
regard,4
perceiving,4
twice,4
minds,4
crushed,4
indian,4
arrow,4
service,4
equipped,4
greatest,4
possessing,4
supplied,4
suffering,4
spread,4
overcome,4
considerable,4
territories,4
grove,4
inspired,4
acknowledged,4
mere,4
conflict,4
statue,4
thither,4
colours,4
belonged,4
post,4
answered,4
consecrated,4
procession,4
noted,4
monument,4
plunged,4
tears,4
representing,4
view,4
expected,4
splendour,4
enterprise,4
condition,4
surrendered,4
provinces,4
malcontents,4
accepted,4
despair,4
ptolemy,4
exhorting,4
independent,4
oriental,4
exceedingly,4
attended,4
hardships,4
poison,4
fatal,4
necessary,4
weeks,4
violent,4
practised,4
purple,4
numberless,4
defied,4
rich,4
suffered,4
