word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
and,the,7.54%,her,2.7%,a,1.78%
the,city,1.18%,queen,1.13%,latter,1.04%
this,time,7.45%,war,4.35%,was,4.35%
was,the,7.28%,a,3.07%,not,2.94%
from,the,39.36%,her,7.45%,a,3.19%
made,prisoner,21.43%,a,14.29%,her,7.14%
by,the,33.08%,her,8.46%,a,7.89%
female,warriors,34.62%,condottieri,7.69%,warrior,5.77%
to,the,16.38%,be,5.08%,her,2.87%
of,the,28.79%,her,5.3%,a,3.59%
english,and,13.21%,the,5.66%,with,3.77%
in,the,29.3%,a,6.66%,his,2.78%
two,years,11.11%,hundred,9.26%,or,7.41%
queen,of,31.47%,elizabeth,3.5%,the,3.5%
is,said,15.0%,the,8.33%,not,5.83%
amazons,who,8.96%,in,7.46%,the,5.97%
more,than,38.96%,or,5.19%,modern,2.6%
king,of,33.65%,edward,5.77%,who,4.81%
great,part,8.33%,that,3.57%,cleopatra,2.38%
her,husband,5.35%,to,3.77%,son,3.41%
an,old,4.65%,expedition,4.65%,army,4.65%
woman,is,11.76%,and,11.76%,of,9.8%
at,the,32.12%,last,17.15%,her,3.65%
siege,of,32.69%,to,19.23%,the,9.62%
a,few,2.84%,woman,2.41%,large,1.53%
who,had,10.92%,was,9.17%,were,6.11%
battle,of,21.33%,field,9.33%,and,6.67%
women,of,15.24%,who,7.62%,and,7.62%
de,la,33.33%,montfort,16.67%,st,12.96%
under,the,56.86%,her,5.88%,foot,3.92%
courage,and,21.43%,of,16.07%,she,5.36%
years,after,10.67%,later,10.67%,war,6.67%
before,the,37.04%,his,5.56%,her,5.56%
with,the,20.62%,a,12.95%,her,7.91%
through,the,34.62%,her,7.69%,many,5.77%
war,was,8.64%,and,7.41%,with,6.17%
were,compelled,3.17%,in,3.17%,slain,3.17%
it,was,27.38%,is,18.45%,would,4.76%
not,only,12.0%,to,9.6%,the,4.8%
for,the,22.47%,a,10.49%,her,9.36%
head,of,51.67%,was,10.0%,quarters,10.0%
be,the,5.08%,a,5.08%,seen,5.08%
that,the,22.51%,she,8.68%,they,5.47%
up,the,29.03%,their,6.45%,arms,6.45%
on,the,54.36%,a,6.97%,her,4.53%
herself,at,11.94%,in,8.96%,and,5.97%
she,was,24.3%,had,5.07%,died,2.27%
even,the,14.04%,in,7.02%,more,5.26%
his,wife,6.02%,own,4.87%,death,2.58%
but,the,21.46%,she,6.34%,her,5.37%
he,was,21.72%,had,7.69%,would,4.52%
so,far,7.92%,long,4.95%,much,4.95%
as,the,14.45%,a,13.69%,to,5.7%
have,been,29.41%,fallen,5.88%,not,2.94%
they,were,20.56%,had,6.11%,could,2.22%
him,to,14.61%,the,8.99%,in,6.74%
all,the,30.77%,his,11.54%,her,6.15%
or,by,4.17%,even,3.33%,less,3.33%
would,have,13.85%,be,13.85%,seem,6.15%
when,the,30.65%,he,10.48%,she,10.48%
only,five,7.84%,did,5.88%,one,5.88%
been,in,3.66%,a,3.66%,one,2.44%
men,and,17.39%,the,7.25%,to,7.25%
than,once,10.0%,one,10.0%,a,8.33%
soon,became,8.93%,after,8.93%,ruled,3.57%
their,own,3.12%,homes,2.73%,husbands,2.34%
many,of,21.13%,years,9.86%,a,5.63%
during,the,75.28%,her,4.49%,his,3.37%
days,of,20.63%,in,9.52%,the,6.35%
those,days,31.15%,who,21.31%,of,11.48%
most,of,9.72%,beautiful,5.56%,important,4.17%
time,the,11.67%,to,6.67%,of,5.0%
them,to,14.74%,with,7.37%,and,6.32%
which,she,13.33%,was,10.56%,the,10.0%
into,the,30.0%,a,17.27%,prison,6.36%
city,of,12.9%,was,9.68%,with,4.84%
first,to,10.91%,husband,5.45%,battle,3.64%
where,she,31.25%,he,18.75%,the,17.19%
one,of,46.58%,hundred,8.9%,day,6.16%
some,years,9.52%,say,8.33%,time,7.14%
after,the,29.17%,a,9.03%,her,9.03%
last,the,6.85%,she,5.48%,he,4.11%
had,been,18.97%,a,4.6%,the,4.02%
death,of,43.84%,is,6.85%,she,6.85%
army,and,13.46%,of,9.62%,the,7.69%
took,the,25.42%,refuge,11.86%,place,11.86%
thousand,men,25.45%,horse,7.27%,foot,3.64%
son,of,23.53%,and,13.73%,was,5.88%
against,the,49.09%,a,7.27%,him,5.45%
husband,she,8.93%,to,7.14%,the,7.14%
soldiers,to,16.39%,and,9.84%,who,8.2%
castle,of,13.73%,and,9.8%,the,9.8%
