word type,number
everything,8981
adult,0
hate,0
function,5152
normal,number
the,386
and,382
i,328
to,257
a,220
was,184
of,172
she,161
that,148
her,142
it,135
says,112
in,108
you,94
we,92
as,88
had,83
up,82
on,72
me,69
my,64
at,63
like,62
when,59
he,56
out,55
with,52
for,51
all,50
be,47
but,46
what,46
so,45
no,38
just,38
about,37
little,36
if,36
right,34
got,34
come,34
is,32
don't,32
ain't,31
looked,31
there,30
then,30
down,29
by,28
could,28
good,27
our,27
say,27
see,27
didn't,26
go,26
day,26
into,26
i'd,26
children,25
would,25
kid,25
do,25
or,24
know,24
how,24
ever,24
him,24
they,23
doc,23
sort,22
have,22
from,22
git,22
way,21
one,21
over,21
think,20
take,20
look,20
baby,20
his,19
end,18
them,18
time,18
wasn't,18
said,18
us,17
off,17
girl,17
back,17
sleep,17
town,16
mrs,16
man,16
went,16
any,15
than,15
room,15
other,14
did,14
now,14
your,14
minute,14
papa,14
next,13
boy,13
tell,13
wouldn't,13
two,13
quiet,13
edith,13
new,12
this,12
keep,12
sat,12
can,12
murphy,12
crib,12
daddy,11
bad,11
porch,11
woman,11
more,11
has,11
it's,11
an,11
seen,11
eyes,11
turned,11
not,11
world,11
well,11
will,11
spank,11
guess,10
their,10
thought,10
night,10
asked,10
took,10
again,10
thing,10
never,10
where,10
around,10
enough,10
hand,10
l,10
been,10
neighbors,9
are,9
feel,9
home,9
every,9
too,9
still,9
fine,9
why,9
much,9
old,9
felt,9
i'm,9
knew,9
which,9
round,9
some,9
grand,9
wanted,9
bedroom,9
child,8
along,8
please,8
arm,8
away,8
put,8
face,8
kind,8
made,8
couldn't,8
long,8
she's,8
nice,8
bed,8
stood,8
i've,8
first,8
word,8
folks,7
might,7
make,7
things,7
bobby,7
bein,7
poor,7
glad,7
call,7
illustration,7
let,7
won't,7
dinner,7
done,7
we'd,7
its,7
voice,7
mama,7
very,6
better,6
together,6
most,6
n't,6
house,6
since,6
can't,6
mine,6
gone,6
until,6
set,6
silk,6
last,6
own,6
happy,6
dear,6
through,6
looks,6
want,6
road,6
who,6
pa,6
smiled,6
even,6
myself,6
feller,6
i'll,6
anything,6
here,6
only,6
kiss,6
boys,6
give,6
chair,6
stuck,6
she'll,6
hard,6
pillow,6
live,5
everybody,5
because,5
far,5
saw,5
years,5
called,5
hemingway,5
bit,5
death,5
told,5
tickled,5
hold,5
lost,5
arms,5
regular,5
cried,5
being,5
air,5
yes,5
nothing,5
lifted,5
used,5
hands,5
sure,5
straight,5
dead,5
smile,5
deep,5
walked,5
start,5
legs,5
once,5
feet,5
stern,5
uncle,5
book,4
father,4
ourselves,4
days,4
hadn't,4
something,4
heard,4
were,4
three,4
rest,4
lived,4
under,4
run,4
near,4
women,4
that's,4
talk,4
dress,4
cent,4
mind,4
full,4
pulled,4
neck,4
came,4
bother,4
while,4
window,4
yet,4
half,4
love,4
anyhow,4
what's,4
you'd,4
before,4
ten,4
pushed,4
lonesome,4
mighty,4
pretty,4
em,4
seem,4
tired,4
nerves,4
hour,4
soft,4
sit,4
without,4
always,4
widow,4
door,4
hope,4
shut,4
proud,4
brink,4
sam,4
shaft,4
worst,4
else,4
against,4
head,4
woke,4
lie,4
gittin,4
lay,4
big,4
laid,4
gentle,4
hurt,4
carpet,4
sobs,4
weaker,4
confessions,3
butler,3
anybody,3
course,3
open,3
act,3
mean,3
expense,3
mountains,3
times,3
hated,3
brought,3
five,3
married,3
care,3
joyous,3
corner,3
news,3
cut,3
both,3
usual,3
lot,3
whenever,3
mouth,3
laughed,3
believe,3
same,3
knows,3
hers,3
hit,3
account,3
hills,3
gave,3
another,3
noise,3
fun,3
soon,3
whatever,3
breakfast,3
passed,3
place,3
floor,3
stopped,3
person,3
does,3
lovely,3
wonder,3
lively,3
seems,3
turn,3
fell,3
asks,3
he'd,3
toward,3
after,3
flowers,3
brush,3
fish,3
heart,3
business,3
pole,3
fresh,3
held,3
breath,3
bring,3
real,3
fishing,3
use,3
bet,3
show,3
sudden,3
age,3
mother,3
best,3
makes,3
laugh,3
plumb,3
somehow,3
across,3
heads,3
dropped,3
ma's,3
decided,3
whole,3
everything,3
terrible,3
case,3
words,3
afraid,3
hear,3
sky,3
alone,3
blessed,3
left,3
feels,3
lady,3
daughter,3
finer,3
insult,3
interested,3
further,3
sandy,3
oh,3
chin,3
shape,3
stand,3
ought,3
must,3
perfect,3
sound,3
herself,3
white,3
family,3
clear,3
ed,3
cry,3
kept,3
heaven,3
cruel,3
edward,3
worth,3
human,3
nature,3
parker,2
y,2
york,2
pleasant,2
especial,2
fight,2
dog,2
notice,2
dogs,2
between,2
mosquitos,2
people's,2
stars,2
leave,2
fixed,2
able,2
four,2
weeks,2
summer,2
lots,2
afford,2
agreed,2
hearty,2
extra,2
worry,2
trouble,2
satisfied,2
bride,2
groom,2
nor,2
met,2
jones,2
marks,2
measles,2
slick,2
favor,2
steak,2
table,2
idee,2
shame,2
those,2
decent,2
sorry,2
bounden,2
duty,2
work,2
nights,2
ago,2
awful,2
plate,2
wander,2
inside,2
blinds,2
wet,2
haven't,2
spoil,2
sun,2
these,2
stockings,2
eyelids,2
remarked,2
surprised,2
smith,2
late,2
anyway,2
pull,2
going,2
great,2
nobody,2
re,2
missus,2
earth,2
severe,2
second,2
ice,2
cream,2
thank,2
kissed,2
he's,2
o'clock,2
field,2
covered,2
tangle,2
apart,2
bait,2
worm,2
leaned,2
natural,2
life,2
sir,2
dollar,2
sick,2
forward,2
mad,2
dad,2
likes,2
born,2
butterfly,2
butterflies,2
takes,2
rose,2
rightly,2
may,2
thoughtful,2
thinks,2
plenty,2
girls,2
forced,2
what'd,2
cross,2
speak,2
bent,2
tumbler,2
sleepy,2
gate,2
whistle,2
kids,2
slid,2
need,2
reply,2
gown,2
color,2
tellin,2
each,2
spoke,2
find,2
squeezed,2
somewhere,2
happen,2
auspicious,2
occasion,2
plain,2
walk,2
clean,2
front,2
twenty,2
trial,2
cold,2
angel,2
neither,2
chance,2
considered,2
missed,2
hopes,2
expected,2
hood,2
circumstances,2
friend,2
war,2
light,2
hat,2
eye,2
horse,2
covers,2
opinion,2
pin,2
brand,2
calculated,2
broke,2
wrinkled,2
red,2
givin,2
how's,2
o,2
hung,2
fix,2
skin,2
crowd,2
remarkable,2
absent,2
perhaps,2
ended,2
hum,2
bigger,2
help,2
grow,2
probably,2
till,2
anxious,2
cool,2
strong,2
specialist,2
horizon,2
thousand,2
swallowed,2
throat,2
bunch,2
joke,2
pounds,2
six,2
million,2
tender,2
sundown,2
foot,2
sheets,2
tradition,2
quick,2
pink,2
per,2
sweetness,2
short,2
education,2
begin,2
knee,2
slow,2
unknown,2
studied,2
sigh,2
sweet,2
begged,2
pants,2
comes,2
eager,2
stole,2
shows,2
easy,2
pleaded,2
acquainted,2
faces,2
above,2
hugged,2
spanked,2
such,2
aside,2
jumped,2
prayers,2
produced,1
david,1
illustrations,1
fanny,1
cory,1
century,1
co,1
inscribed,1
babies,1
colorado,1
get,1
colony,1
fights,1
reason,1
providence,1
gives,1
practise,1
patience,1
behind,1
screened,1
thanked,1
screen,1
doors,1
should,1
accordingly,1
uppish,1
stayed,1
pleased,1
thankful,1
am,1
t,1
happier,1
free,1
store,1
tucked,1
finger,1
stell,1
tot,1
ma,1
crazy,1
found,1
vacation,1
year,1
fred,1
school,1
fall,1
holiday,1
sprung,1
broiled,1
thick,1
burnt,1
brown,1
favorite,1
waters,1
quite,1
sunday,1
longer,1
puts,1
dig,1
hardly,1
himself,1
gits,1
supper,1
morrow,1
expensive,1
luxury,1
fellow,1
recall,1
downright,1
scandalous,1
innocent,1
mischief,1
trapped,1
honor,1
evening,1
unusual,1
tanglements,1
bias,1
gores,1
plaits,1
foller,1
wants,1
choke,1
tear,1
whimpering,1
mistake,1
beauty,1
glory,1
almost,1
jolly,1
plan,1
lunch,1
tackle,1
beyond,1
tramps,1
ran,1
holler,1
youngest,1
daisy,1
dearest,1
cutest,1
lazy,1
dawdle,1
difference,1
perfectly,1
simply,1
wistful,1
enjoy,1
foolishness,1
photographer's,1
picture,1
hill,1
morning,1
stepped,1
brisk,1
district,1
mister,1
robinson,1
chum,1
rex,1
nowheres,1
particular,1
size,1
scoot,1
ho,1
coaxing,1
polite,1
explored,1
cap,1
dusty,1
acted,1
freckled,1
scrape,1
dearer,1
sweetheart,1
looking,1
paddled,1
kicking,1
dust,1
bare,1
toes,1
dare,1
having,1
dragging,1
mite,1
lonely,1
queer,1
brook,1
trees,1
hiding,1
motioned,1
tree,1
trunk,1
teddy,1
lawrence,1
glued,1
bobber,1
fisher,1
strictly,1
moved,1
dug,1
fat,1
fairly,1
spit,1
luck,1
slipped,1
reel,1
truth,1
amounted,1
joys,1
log,1
bottle,1
cork,1
joggle,1
ripples,1
unless,1
agin,1
deserve,1
ted,1
sweeter,1
sister,1
rosy,1
amongst,1
loves,1
covet,1
forever,1
spoiled,1
appreciate,1
study,1
may's,1
chances,1
takin,1
music,1
lessons,1
spent,1
chickens,1
farm,1
studies,1
nowadays,1
kindly,1
reckless,1
special,1
panned,1
satisfactory,1
chairs,1
sounds,1
chatter,1
beside,1
street,1
coaxed,1
wait,1
caught,1
fireflies,1
rush,1
mingling,1
lap,1
unsteady,1
kissing,1
cheering,1
cheerful,1
bolster,1
squeeze,1
gaily,1
you'll,1
answer,1
ii,1
afore,1
imagination,1
convinced,1
thorough,1
disappointed,1
doubts,1
male,1
sect,1
square,1
talked,1
names,1
bushel,1
coming,1
choice,1
apologetic,1
remark,1
grandmother,1
except,1
curious,1
try,1
fool,1
theirselves,1
certainly,1
quaint,1
bone,1
setter,1
morphine,1
sly,1
manner,1
shiftiest,1
eyed,1
medic,1
gab,1
perhapses,1
similar,1
side,1
trackers,1
knowledge,1
aforesaid,1
woods,1
useful,1
ornamental,1
farthest,1
miles,1
tribulation,1
sixth,1
board,1
south,1
squeak,1
level,1
spirits,1
valleys,1
chest,1
fired,1
cave,1
frost,1
bitten,1
squash,1
creation,1
drag,1
reputation,1
humorist,1
funny,1
sayings,1
remember,1
fever,1
sweats,1
double,1
contraction,1
ornery,1
lowdown,1
critter,1
spotless,1
earthly,1
perfectionated,1
saint,1
given,1
alive,1
toilet,1
advanced,1
primping,1
ray,1
sunshine,1
percolated,1
loony,1
sense,1
flirtation,1
passing,1
rid,1
connected,1
smiling,1
desolate,1
mislaid,1
moment,1
all's,1
wife,1
becomes,1
specially,1
fancy,1
feeler,1
boosted,1
black,1
hole,1
high,1
airy,1
location,1
faced,1
baggy,1
irish,1
washing,1
fifty,1
cents,1
furnished,1
soap,1
whispered,1
finished,1
stay,1
idiotic,1
satisfaction,1
edge,1
twirled,1
edged,1
pictures,1
wall,1
visitor,1
album,1
parlor,1
sh,1
h,1
control,1
quarter,1
chills,1
clothes,1
castors,1
beautiful,1
showed,1
glance,1
formed,1
rubber,1
balloon,1
stick,1
collapse,1
bang,1
caved,1
gradual,1
step,1
blubbered,1
rank,1
amateur,1
state,1
learned,1
introduced,1
different,1
fig,1
colts,1
largely,1
critters,1
puppies,1
immediate,1
cucumber,1
water,1
melon,1
bear,1
sell,1
move,1
name,1
man's,1
power,1
handicapped,1
trot,1
sad,1
jubilant,1
k,1
orders,1
none,1
river,1
outside,1
hid,1
chatty,1
perpetual,1
wholesale,1
retail,1
agency,1
guessed,1
lock,1
cellar,1
herd,1
comers,1
admit,1
lucky,1
sample,1
bucket,1
adam,1
ground,1
caused,1
congregate,1
angle,1
killed,1
thunder,1
dream,1
