word type,number
everything,53167
adult,2
hate,0
function,29557
normal,number
the,2353
and,1479
to,1362
her,1278
of,1255
she,1155
a,1126
was,1003
in,795
it,738
that,682
i,648
he,647
you,606
jenny,548
as,507
had,495
with,451
not,448
his,443
at,403
for,384
but,347
emmy,306
all,294
they,278
him,273
have,264
so,254
were,247
be,236
alf,229
said,219
could,211
if,207
been,206
what,200
from,196
me,187
by,179
there,170
like,166
no,166
would,164
upon,158
do,157
when,147
about,145
is,143
then,141
out,140
on,140
more,140
this,138
don't,132
it's,129
pa,126
which,125
think,123
or,122
one,122
only,121
into,118
know,117
did,116
go,116
an,115
i'm,114
well,113
thought,111
them,109
eyes,109
little,108
up,104
see,103
come,101
made,100
never,96
again,95
got,95
because,94
face,93
own,92
now,92
their,91
love,91
my,89
say,88
time,88
such,86
man,82
still,82
back,82
might,81
herself,80
old,79
very,79
too,79
other,78
looked,78
any,77
away,76
who,74
how,73
good,72
that's,72
heart,70
long,69
way,68
head,68
down,66
want,66
against,64
are,64
much,64
oh,64
went,64
you're,64
life,62
something,61
some,60
than,60
though,59
seemed,59
going,59
hand,58
look,58
cried,58
before,57
moment,57
nothing,54
jenny's,54
night,54
after,54
felt,54
saw,54
both,54
why,53
over,53
i've,53
just,51
should,50
its,50
always,50
wanted,50
right,49
done,49
mind,48
can,48
get,48
girl,48
your,48
voice,47
will,46
every,46
came,46
once,45
here,45
take,45
first,45
water,44
knew,44
quite,43
another,43
even,42
home,42
asked,42
can't,42
she's,42
we,41
two,41
hands,40
while,40
things,40
off,40
didn't,40
kitchen,40
there's,40
ever,39
pa's,39
gave,39
quickly,39
until,39
sure,39
took,39
em,39
door,39
being,38
through,38
each,38
yes,38
work,37
darkness,37
feel,37
sense,37
must,37
mean,36
table,36
half,36
girls,36
tell,36
told,36
happy,35
anything,35
bit,35
house,34
light,34
stood,34
looking,34
sort,33
thing,33
evening,33
where,33
enough,33
sat,33
he's,33
without,32
side,32
you'd,32
make,31
same,31
day,31
between,31
thinking,31
began,31
people,30
turned,30
yet,30
self,30
really,30
different,29
hat,29
everything,29
moved,29
you've,29
give,28
perhaps,28
couldn't,28
heard,28
you'll,28
gone,28
has,27
words,27
together,27
shall,27
left,27
these,27
arm,27
yourself,27
far,26
also,26
last,26
word,26
lips,26
kind,26
thoughts,26
drew,26
loved,26
fire,26
under,26
understand,25
those,25
happiness,25
lay,25
yacht,25
free,25
bed,25
feeling,25
put,25
may,24
true,24
keep,24
slowly,24
fool,24
quick,24
sometimes,24
what's,24
forward,24
men,24
almost,23
talk,23
set,23
course,23
let,23
else,23
i'd,23
afraid,23
dear,23
suppose,22
us,22
better,22
full,22
having,22
car,22
cold,22
arms,22
wouldn't,22
within,22
place,22
shook,22
tone,22
breath,22
they're,22
won't,22
help,21
seen,21
alone,21
three,21
instant,21
small,21
fact,21
days,21
clock,21
rose,21
woman,21
meant,20
most,20
above,20
world,20
air,20
lost,20
room,20
glance,20
along,20
himself,20
found,20
round,20
suddenly,20
part,19
doing,19
matter,19
trying,19
theatre,19
holding,19
eye,19
speak,19
mouth,19
rather,19
ready,19
i'll,19
held,19
answer,18
strong,18
great,18
quiet,18
used,18
nobody,18
cheeks,18
nice,18
leave,18
letter,18
cabin,18
mr,17
am,17
read,17
common,17
find,17
ease,17
years,17
expression,17
boy,17
sharply,17
lot,17
many,16
earlier,16
hard,16
chapter,16
continued,16
open,16
care,16
deeply,16
colour,16
pale,16
silly,16
tears,16
play,16
women,16
big,16
hear,16
chair,16
stand,16
father,16
somebody,16
brought,16
steps,16
behind,15
making,15
isn't,15
real,15
less,15
does,15
clear,15
closed,15
sitting,15
presently,15
caught,15
white,15
became,15
end,15
ought,15
front,15
trembling,15
straight,15
pride,15
given,15
funny,15
joy,15
happened,15
pudding,15
whispered,15
desire,15
myself,15
returned,15
gently,15
married,15
times,14
use,14
among,14
general,14
called,14
whole,14
further,14
fine,14
ii,14
followed,14
hardly,14
deep,14
impulse,14
getting,14
across,14
gas,14
grew,14
hair,14
cry,14
bread,14
during,14
appeared,14
hold,14
wasn't,14
anybody,14
eh,14
cheek,14
we're,14
we'll,14
new,13
beyond,13
others,13
goes,13
point,13
needed,13
iii,13
passed,13
however,13
memory,13
hour,13
dark,13
beside,13
few,13
black,13
secret,13
minutes,13
tried,13
poor,13
pressed,13
laid,13
themselves,13
strength,13
sister,13
supper,13
nature,13
unhappy,13
wrong,13
trust,13
nearer,13
he'd,13
smile,13
nearly,13
towards,13
hadn't,13
urged,13
sit,12
short,12
five,12
coming,12
idea,12
truth,12
live,12
iv,12
lights,12
moon,12
hours,12
pipe,12
glass,12
stupid,12
body,12
kept,12
stew,12
sick,12
saying,12
candle,12
remained,12
sharp,12
although,12
red,12
aren't,12
ah,12
close,12
satisfied,12
fell,12
wine,12
bad,12
spoke,12
teeth,12
near,12
shouldn't,12
breast,12
pleasure,12
haven't,12
taken,12
coat,12
months,12
soft,12
met,12
