word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
and,the,6.25%,then,3.5%,her,3.09%
the,kitchen,1.59%,table,1.25%,same,1.16%
by,the,29.71%,her,9.14%,a,6.29%
to,the,9.45%,be,5.95%,her,4.76%
this,was,5.88%,moment,5.88%,evening,5.88%
but,she,9.06%,the,7.6%,he,5.26%
do,you,11.18%,it,8.55%,what,7.89%
i,don't,7.92%,was,7.61%,thought,3.65%
see,you,8.0%,her,7.0%,what,6.0%
me,to,6.78%,she,5.65%,go,5.08%
him,to,5.97%,and,5.22%,in,4.1%
as,she,9.92%,if,9.33%,though,7.74%
with,a,16.18%,the,12.58%,her,8.31%
in,the,24.04%,a,11.7%,her,9.77%
his,head,4.76%,own,3.4%,face,3.17%
of,the,17.68%,her,7.62%,his,4.22%
might,have,40.74%,be,11.11%,happen,3.7%
he,was,14.76%,had,11.77%,said,5.49%
not,a,3.18%,the,2.73%,to,2.5%
know,what,15.45%,you,5.45%,it,5.45%
why,i,11.32%,should,7.55%,don't,5.66%
be,a,6.41%,the,3.42%,able,2.56%
so,that,14.46%,much,5.22%,long,3.61%
if,you,14.22%,she,11.27%,he,9.8%
at,the,27.3%,her,12.5%,all,7.14%
when,she,19.44%,i,15.28%,the,12.5%
down,at,9.09%,the,9.09%,and,7.58%
a,little,4.29%,bit,2.95%,moment,2.32%
come,to,16.16%,here,5.05%,and,5.05%
out,of,21.74%,with,7.97%,and,4.35%
it,was,24.66%,is,5.1%,and,2.62%
is,it,12.77%,a,7.09%,he,5.67%
that,she,12.09%,was,7.16%,he,5.37%
there,was,24.85%,were,6.06%,it,3.03%
against,the,37.1%,her,16.13%,his,8.06%
which,she,14.63%,he,8.13%,had,7.32%
own,heart,4.4%,that,3.3%,reflection,3.3%
for,a,13.26%,the,10.61%,her,7.69%
hand,and,10.34%,the,8.62%,in,6.9%
have,been,18.25%,to,7.22%,done,6.08%
good,boy,8.45%,of,7.04%,girl,7.04%
only,a,8.4%,the,5.04%,she,4.2%
what,you,8.33%,it,7.81%,a,6.77%
never,seen,5.38%,be,5.38%,have,4.3%
from,the,32.47%,her,13.4%,his,5.67%
man,who,11.25%,of,6.25%,and,5.0%
how,many,8.33%,the,6.94%,it,5.56%
are,you,26.23%,all,6.56%,a,3.28%
other,girls,12.99%,jenny,3.9%,and,3.9%
or,the,7.56%,that,5.04%,a,5.04%
been,a,5.34%,in,3.88%,there,3.88%
say,it,10.47%,you,8.14%,he,5.81%
you,know,5.63%,don't,5.46%,think,4.27%
an,instant,6.96%,old,6.09%,hour,5.22%
old,man,10.67%,em,10.67%,girl,9.33%
all,the,18.49%,right,8.22%,that,5.14%
my,own,6.9%,word,5.75%,dear,4.6%
one,of,18.03%,to,7.38%,another,5.74%
them,and,9.35%,to,7.48%,all,6.54%
now,the,4.4%,and,3.3%,what,3.3%
think,of,14.88%,it,7.44%,i,7.44%
