word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,only,1.69%,away,1.69%,it,1.69%
the,of,9.3%,in,7.98%,to,5.42%
but,it,2.66%,her,2.37%,all,2.07%
do,to,29.14%,you,11.92%,i,10.6%
i,and,4.31%,when,3.51%,well,3.51%
see,to,22.68%,could,18.56%,you,12.37%
me,to,12.9%,about,6.99%,for,5.91%
him,to,12.13%,with,6.99%,at,4.78%
as,was,4.62%,and,2.41%,long,2.21%
with,and,2.7%,out,2.47%,him,2.47%
in,was,3.17%,and,2.28%,said,1.65%
his,of,11.79%,in,10.2%,and,5.67%
of,out,2.41%,sense,2.09%,sort,1.92%
and,her,2.14%,it,1.31%,love,1.03%
this,in,12.59%,at,7.41%,of,6.67%
might,he,17.95%,she,11.54%,it,10.26%
he,that,5.68%,as,4.42%,and,3.47%
not,could,16.06%,did,11.99%,was,11.09%
know,you,28.7%,don't,22.61%,i,13.04%
why,know,9.43%,jenny,5.66%,was,3.77%
be,to,34.33%,would,10.73%,could,5.15%
so,and,5.12%,was,4.33%,do,3.15%
if,as,23.04%,and,3.43%,her,2.94%
at,looked,5.47%,look,3.98%,and,2.49%
down,sit,9.38%,sat,6.25%,looked,4.69%
to,want,2.84%,seemed,2.39%,her,2.17%
a,in,8.18%,with,6.47%,was,5.67%
come,to,21.65%,you,9.28%,had,9.28%
out,go,11.51%,it,4.32%,went,3.6%
it,of,4.5%,as,2.72%,is,2.45%
is,it,26.24%,that,7.09%,what,5.67%
that,so,5.32%,and,3.25%,like,2.66%
there,been,4.76%,is,3.57%,was,2.98%
against,face,6.25%,cheek,6.25%,close,4.69%
which,in,8.87%,of,4.84%,upon,4.03%
own,her,59.78%,his,16.3%,your,7.61%
for,was,2.09%,that,2.09%,it,1.83%
hand,his,25.45%,her,18.18%,the,5.45%
have,would,13.74%,might,12.6%,to,10.31%
good,a,22.22%,no,20.83%,very,8.33%
only,if,10.83%,was,9.17%,could,7.5%
what,know,8.76%,that's,8.76%,do,6.19%
never,had,12.63%,i,12.63%,i've,5.26%
from,away,10.82%,him,3.09%,back,2.06%
man,a,26.25%,the,23.75%,old,10.0%
how,see,6.94%,know,6.94%,exactly,2.78%
are,you,14.06%,they,12.5%,who,7.81%
other,the,18.18%,each,15.58%,no,7.79%
or,once,4.2%,you,3.36%,other,1.68%
been,had,45.1%,have,23.53%,i've,4.9%
say,to,25.58%,i,20.93%,you,6.98%
you,if,4.92%,tell,2.88%,do,2.88%
old,the,21.52%,an,8.86%,his,6.33%
all,at,9.59%,it,5.14%,was,5.14%
my,to,6.82%,of,6.82%,you,4.55%
one,the,7.5%,as,5.83%,of,5.83%
them,of,23.85%,between,9.17%,about,4.59%
now,and,10.87%,not,5.43%,could,3.26%
think,to,23.21%,you,22.32%,i,8.04%
over,all,5.77%,and,5.77%,it,3.85%
life,of,16.13%,her,12.9%,a,8.06%
on,went,15.44%,go,5.15%,it,5.15%
had,she,27.42%,he,15.46%,jenny,5.36%
don't,i,38.46%,you,24.62%,they,6.15%
they,and,7.69%,as,6.59%,that,5.49%
though,as,66.1%,it,3.39%,even,3.39%
more,once,10.0%,and,6.43%,her,5.0%
like,you,9.49%,was,6.96%,not,6.33%
were,they,21.31%,eyes,6.97%,you,6.15%
such,of,10.59%,in,7.06%,at,5.88%
little,a,44.44%,the,12.96%,so,4.63%
about,talk,5.67%,think,5.67%,thinking,5.67%
much,as,20.63%,so,20.63%,too,17.46%
when,and,9.72%,but,2.78%,that,2.08%
still,was,11.25%,emmy,5.0%,she,3.75%
long,a,26.09%,so,13.04%,as,10.14%
something,do,5.0%,of,5.0%,there,5.0%
some,for,10.0%,of,8.33%,have,5.0%
again,once,10.64%,was,7.45%,said,3.19%
upon,was,2.55%,back,2.55%,were,2.55%
no,was,10.43%,had,8.59%,it's,6.75%
look,to,40.35%,a,8.77%,not,5.26%
nothing,there's,7.41%,was,5.56%,him,5.56%
would,she,21.38%,he,13.21%,it,8.18%
want,you,25.81%,don't,19.35%,i,17.74%
any,of,7.89%,as,6.58%,by,3.95%
who,man,13.24%,emmy,11.76%,one,8.82%
she,that,7.14%,as,4.41%,and,3.97%
very,a,10.13%,been,6.33%,all,5.06%
her,of,7.38%,in,5.97%,to,5.02%
too,was,14.1%,it's,7.69%,her,6.41%
jenny,and,5.59%,that,4.28%,cried,2.42%
emmy,and,6.62%,to,3.31%,of,2.98%
alf,and,7.02%,said,4.82%,with,3.95%
than,more,21.67%,older,6.67%,better,6.67%
could,she,42.65%,he,8.06%,jenny,6.16%
was,it,18.28%,she,17.36%,he,9.6%
into,back,3.39%,and,2.54%,came,2.54%
their,of,17.58%,in,9.89%,that,4.4%
jenny's,of,13.21%,at,5.66%,upon,3.77%
pa,of,6.35%,at,5.56%,with,3.97%
made,that,12.24%,it,12.24%,had,6.12%
an,with,11.4%,in,10.53%,for,7.02%
before,as,3.64%,still,3.64%,back,3.64%
night,to,35.19%,the,18.52%,at,9.26%
after,look,14.81%,well,5.56%,day,5.56%
heart,her,63.08%,the,6.15%,own,6.15%
thought,i,20.72%,she,16.22%,the,9.91%
moment,a,45.61%,this,14.04%,the,12.28%
eyes,her,56.44%,his,12.87%,pa's,3.96%
way,the,20.0%,his,7.69%,gave,6.15%
seemed,it,27.59%,he,6.9%,they,5.17%
did,she,24.35%,he,11.3%,what,6.96%
herself,to,15.0%,for,6.25%,upon,3.75%
felt,she,37.04%,jenny,18.52%,he,12.96%
then,and,36.17%,but,4.26%,her,3.55%
looked,he,22.08%,she,18.18%,emmy,9.09%
got,i've,17.02%,i,9.57%,you've,8.51%
said,she,23.67%,he,16.91%,jenny,10.63%
head,her,51.47%,his,30.88%,from,1.47%
went,she,17.46%,jenny,11.11%,i,7.94%
back,the,15.85%,went,8.54%,come,4.88%
face,her,45.78%,his,16.87%,the,6.02%
saw,she,39.62%,jenny,11.32%,i,9.43%
time,the,27.27%,this,6.82%,that,5.68%
up,it,4.85%,go,2.91%,buck,2.91%
away,far,6.67%,ticked,4.0%,turned,4.0%
going,not,19.3%,was,12.28%,you,8.77%
go,to,32.43%,you,10.81%,me,8.11%
oh,and,3.39%,more,3.39%,head,3.39%
because,just,7.45%,her,4.26%,me,3.19%
love,her,14.94%,the,6.9%,i,6.9%
cried,she,19.23%,he,11.54%,jenny,9.62%
well,as,11.11%,very,5.56%,it,5.56%
that's,me,7.04%,it,5.63%,her,4.23%
it's,but,7.09%,and,5.51%,think,4.72%
i'm,think,5.5%,you,4.59%,what,4.59%
both,they,18.52%,for,9.26%,were,9.26%
you're,think,8.06%,what,4.84%,because,3.23%
i've,and,9.43%,it,3.77%,because,3.77%
