word type,number
everything,174674
adult,1
hate,31
function,101010
normal,number
the,10887
of,6979
and,6333
to,5971
i,3797
a,3668
in,3409
was,2753
my,2027
that,1958
it,1614
he,1570
as,1566
his,1510
for,1465
with,1463
me,1313
is,1267
this,1152
not,1097
had,1088
be,1067
by,1046
at,920
from,907
on,894
but,877
which,837
have,815
were,753
all,722
slave,681
him,665
they,648
their,607
or,592
her,581
one,573
slavery,565
no,554
would,553
we,512
are,504
them,495
there,480
master,476
when,472
an,463
been,445
man,445
than,429
mr,426
slaves,415
could,413
so,407
upon,389
who,382
time,372
you,369
very,362
any,359
our,355
now,352
more,344
its,334
if,334
what,313
such,309
she,304
out,298
most,291
up,285
old,283
us,281
will,278
do,278
every,274
only,269
these,268
made,259
other,257
well,251
may,249
some,247
own,240
must,240
has,238
did,238
about,237
men,235
new,234
before,233
after,231
into,230
life,229
little,227
great,220
without,211
first,206
never,205
said,203
much,202
those,202
being,201
covey,199
work,198
should,197
like,197
can,190
myself,190
people,183
while,181
where,180
good,177
day,177
against,169
go,168
free,168
make,165
might,164
am,164
house,163
under,162
how,160
children,160
baltimore,158
among,155
say,155
many,154
white,152
then,151
slaveholders,151
here,151
himself,148
over,148
found,147
thought,147
home,145
years,145
even,144
down,144
your,144
get,144
see,143
too,142
ever,141
came,141
long,140
place,140
away,138
way,138
colored,137
plantation,135
same,134
hands,134
went,132
take,129
state,127
two,127
few,126
thus,126
yet,125
almost,125
told,125
know,125
part,124
off,120
power,119
god,114
heart,114
called,114
hand,114
having,112
nothing,112
left,112
enough,112
soon,111
again,111
friends,110
blood,110
right,110
human,109
three,109
come,109
through,109
back,108
fact,108
give,107
gave,107
freedom,107
states,106
condition,106
slaveholder,106
felt,105
name,105
seemed,105
thomas,105
american,104
shall,104
just,104
whole,104
however,104
during,104
always,102
let,101
thing,101
nor,101
something,100
another,99
escape,98
mind,98
think,98
got,98
whom,97
done,97
young,97
between,97
read,97
often,97
liberty,95
country,95
poor,94
reader,94
toward,94
anti,91
col,91
character,90
given,90
hugh,90
nature,89
though,88
night,88
matter,87
large,86
once,86
took,86
saw,86
field,85
world,85
themselves,85
spirit,85
side,85
better,85
year,84
far,84
therefore,84
each,84
whip,84
head,83
point,83
public,82
law,82
soul,81
mother,80
kind,80
st,80
others,79
because,79
death,79
means,79
words,79
full,79
auld,79
knew,78
quite,78
end,77
manner,77
south,76
case,76
experience,75
less,75
overseer,75
masters,75
going,75
look,75
both,74
week,74
seen,74
morning,74
things,73
still,72
religion,72
north,71
family,71
church,71
brought,70
hard,70
woman,69
heard,68
religious,68
put,68
word,68
mrs,68
black,67
lived,67
days,67
cause,66
already,66
taken,66
brother,66
best,66
moment,65
hope,65
making,65
woods,65
land,64
hold,64
henry,64
also,63
known,63
sometimes,63
chapter,62
course,62
since,62
knowledge,62
generally,62
seldom,62
times,62
mistress,62
whose,61
system,61
cannot,61
find,61
half,61
single,59
last,59
cruel,59
light,59
dear,59
stand,59
wife,59
love,58
moral,58
facts,58
united,58
ship,58
become,57
maryland,57
keep,57
met,57
william,57
getting,57
money,57
set,56
view,56
subject,55
natural,55
society,55
sense,55
person,54
blow,54
four,54
within,54
father,54
latter,54
justice,54
present,54
whipped,54
fellow,53
indeed,53
child,53
colonel,53
frederick,52
high,52
regard,52
grandmother,52
feeling,51
stood,51
property,51
school,51
true,51
rather,51
does,51
held,51
cruelty,51
truth,51
around,51
circumstances,51
leaving,51
run,50
necessary,50
learn,50
speak,50
used,50
yard,50
why,49
presence,49
tell,49
city,49
feel,49
near,49
face,49
believe,48
class,48
became,48
friend,47
general,47
early,47
common,47
aunt,47
question,47
either,46
write,46
lash,46
slaveholding,46
england,46
care,46
succeeded,46
meeting,46
reason,46
nearly,45
kept,45
easily,45
hear,45
live,45
spent,45
able,45
ground,45
humanity,44
feelings,44
food,44
remember,44
boy,44
miles,44
body,43
speech,43
short,43
living,43
persons,43
ready,43
probably,43
until,43
interest,43
bill,43
sandy,43
book,42
especially,42
union,42
dark,42
heavy,42
nation,42
want,42
labor,42
farm,42
women,42
sure,42
allowed,42
distance,42
return,42
party,42
neither,41
result,41
cold,41
door,41
deep,41
months,41
several,41
learning,41
purpose,40
horses,40
gone,40
strong,40
looked,40
passed,40
southern,39
thoughts,39
allow,39
bay,39
eye,39
idea,39
received,39
began,39
till,39
longer,39
learned,39
asked,39
guilty,39
movement,39
negro,38
whether,38
john,38
york,38
age,38
dollars,38
eat,38
supposed,38
sort,38
bondage,37
fugitive,37
order,37
number,37
conduct,37
twenty,37
opinion,37
five,37
whipping,37
looking,37
pass,37
coming,37
call,37
object,37
bread,37
leave,37
change,37
entirely,36
perhaps,36
itself,36
fear,36
rights,36
committed,36
glad,36
kitchen,36
eyes,36
use,36
bring,36
behind,36
forward,35
strength,35
least,35
chains,35
broken,35
privilege,35
company,35
sold,35
wild,35
boys,35
answer,35
gore,35
doubt,35
running,35
america,35
although,35
piece,34
form,34
existence,34
possible,34
feet,34
placed,34
compelled,34
bad,34
expected,34
horse,34
remained,34
hamilton,34
wrong,34
meet,34
six,34
together,34
sabbath,34
marked,33
effect,33
regarded,33
treatment,33
flesh,33
relation,33
son,33
prayer,33
forever,33
taking,33
saying,33
finding,33
trade,33
respect,33
open,33
color,33
prejudice,32
subjected,32
sight,32
laws,32
seven,32
eight,32
farms,32
direction,32
business,32
trouble,32
fully,32
following,31
outrage,31
voice,31
noble,31
hour,31
names,31
water,31
evidence,31
hunger,31
mine,31
led,31
edward,31
employment,31
account,31
painful,31
attempt,31
holidays,31
happiness,30
northern,30
lot,30
greatly,30
bitter,30
alone,30
considered,30
seem,30
board,30
none,30
besides,30
thousand,30
sir,30
second,30
giving,30
kindly,30
strange,30
help,30
written,29
bound,29
history,29
deeply,29
crime,29
county,29
former,29
corn,29
story,29
bear,29
frequently,29
appearance,29
next,29
ten,29
advantage,29
kindness,29
wood,29
street,29
act,28
minds,28
understand,28
influence,28
else,28
need,28
severe,28
bloody,28
named,28
immediately,28
garrison,28
lay,28
sent,28
escaped,28
different,28
pleased,28
certain,28
covered,28
neighborhood,28
shoulders,28
allowance,28
favor,28
joy,28
rule,28
fell,28
reaching,28
really,28
anything,28
except,28
born,27
acquainted,27
prison,27
equal,27
opportunity,27
show,27
iron,27
suffered,27
evil,27
heaven,27
whatever,27
standing,27
rich,27
pleasure,27
move,27
paper,27
turn,27
songs,27
mere,27
impossible,27
hungry,27
proper,27
send,27
duty,27
engaged,27
sunday,27
thinking,27
ask,27
resolved,27
nine,27
capt,27
according,26
month,26
principles,26
abolitionists,26
occasion,26
small,26
race,26
personal,26
position,26
ignorance,26
self,26
abroad,26
difficulty,26
rest,26
worse,26
died,26
enjoyed,26
husband,26
hundred,26
failed,26
scarcely,26
instead,26
duties,26
christian,26
wages,26
massachusetts,25
clear,25
nevertheless,25
carried,25
shore,25
terrible,25
shocking,25
freeman,25
desire,25
disposed,25
entire,25
reached,25
sleep,25
cut,25
tied,25
plan,25
easy,25
laid,25
keeping,25
finally,25
pay,25
darkness,25
wretched,25
oxen,25
johnson,25
scene,25
peace,25
boston,24
sympathy,24
warm,24
highest,24
mental,24
ability,24
greatest,24
overseers,24
victim,24
reasons,24
fire,24
telling,24
reach,24
tuckahoe,24
childhood,24
hired,24
wicked,24
greater,24
thirty,24
literally,24
gate,24
horrid,24
meal,24
coarse,24
altogether,24
road,24
speaking,24
simple,24
served,24
exercise,24
wished,24
sisters,24
