word type,number
everything,133876
adult,0
hate,19
function,77171
normal,number
the,8631
of,5431
and,4957
to,4477
a,2812
i,2761
in,2672
was,2012
my,1570
that,1551
as,1212
it,1196
for,1132
his,1122
is,1094
with,1084
he,1043
me,978
this,904
not,881
had,833
by,813
be,801
from,728
on,715
but,676
have,660
which,654
at,643
all,574
were,562
slave,536
they,476
slavery,471
him,465
or,462
their,455
her,434
are,427
no,412
one,390
them,379
there,378
an,375
would,372
been,357
master,353
when,352
man,349
we,328
could,317
than,313
so,296
you,294
its,291
who,288
now,285
slaves,283
upon,271
any,262
more,262
very,259
our,259
mr,258
time,246
if,244
such,236
will,235
old,222
what,219
only,219
out,215
may,214
these,214
she,214
every,205
up,203
well,201
has,201
made,200
most,196
us,196
must,194
some,192
men,191
life,189
do,188
other,185
own,180
new,179
into,178
little,176
about,175
great,173
before,172
did,171
people,165
first,163
like,160
much,159
without,158
after,155
can,154
work,147
never,147
said,146
should,143
good,142
against,140
those,139
being,138
covey,138
where,138
am,136
while,134
free,132
myself,131
children,127
here,127
day,127
say,125
under,124
might,123
among,123
slaveholders,121
your,120
house,119
over,118
make,117
go,117
baltimore,114
thought,114
how,113
years,113
even,112
state,112
see,110
many,110
too,109
colored,108
white,108
away,107
place,107
down,107
way,107
long,105
power,105
home,103
ever,103
found,100
plantation,99
himself,99
states,99
then,98
two,97
human,96
came,96
yet,96
american,96
take,96
know,95
same,95
friends,94
hands,93
right,93
get,93
almost,92
reader,92
part,92
col,91
thus,91
fact,89
god,89
hand,88
heart,88
through,87
toward,86
few,85
another,84
nor,84
country,84
shall,84
slaveholder,84
off,84
thomas,84
nature,83
back,83
liberty,82
often,82
told,82
something,81
having,81
condition,80
went,80
however,80
freedom,78
anti,78
felt,77
world,77
mind,77
called,77
soon,77
three,77
name,76
whom,76
public,75
between,75
blood,75
nothing,75
character,74
escape,74
whole,74
again,74
just,73
done,73
during,73
young,72
hugh,72
give,72
think,71
always,71
let,71
come,71
poor,71
given,70
left,70
seemed,69
themselves,69
spirit,68
therefore,68
point,68
far,68
better,67
enough,67
though,67
thing,66
experience,66
matter,66
law,66
