word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,26.61%,a,6.31%,his,2.85%
my,own,3.69%,old,2.27%,life,2.14%
and,the,6.54%,i,3.23%,to,2.49%
freedom,and,10.53%,of,7.89%,i,7.89%
a,slave,5.97%,man,3.19%,few,1.79%
to,the,13.08%,be,7.15%,me,2.31%
is,the,8.39%,a,8.3%,not,6.83%
from,the,27.93%,a,5.03%,his,4.19%
thing,to,12.12%,i,7.58%,is,6.06%
so,far,6.42%,much,6.42%,that,3.72%
that,i,10.55%,the,8.32%,he,7.14%
the,slave,2.32%,first,1.08%,same,1.04%
of,the,23.1%,my,5.67%,a,4.0%
human,nature,13.68%,flesh,7.37%,family,6.32%
being,a,15.33%,the,5.84%,in,3.65%
in,the,29.94%,a,5.31%,my,4.09%
new,york,22.66%,home,10.94%,england,6.25%
as,a,12.8%,i,10.13%,well,6.86%
for,the,21.35%,a,5.23%,his,3.78%
his,own,5.47%,master,3.1%,wife,1.73%
character,of,39.19%,and,14.86%,in,4.05%
but,the,10.74%,i,7.87%,to,4.84%
most,of,8.72%,successful,2.05%,effective,2.05%
an,overseer,4.35%,old,2.99%,anti,2.45%
people,of,17.18%,in,7.98%,to,4.91%
slavery,and,10.41%,is,5.86%,in,4.77%
with,the,18.57%,a,10.49%,my,3.9%
it,is,19.86%,was,19.78%,and,2.87%
or,to,4.81%,the,4.16%,two,3.06%
this,was,4.69%,is,3.57%,i,2.9%
life,and,11.89%,in,8.65%,of,8.11%
slave,is,6.87%,and,5.15%,system,4.39%
i,was,15.64%,had,8.88%,have,6.76%
first,time,5.62%,of,3.75%,six,3.12%
into,the,45.2%,a,12.99%,his,3.95%
slaves,and,11.15%,to,4.32%,of,3.6%
great,house,15.29%,britain,4.12%,and,2.94%
spirit,of,36.76%,and,8.82%,which,5.88%
religious,and,13.21%,slaveholders,7.55%,man,7.55%
nature,and,19.51%,of,14.63%,the,3.66%
experience,and,13.64%,in,12.12%,i,9.09%
covey,and,14.71%,was,8.82%,he,3.68%
another,may,9.76%,and,6.1%,to,4.88%
away,to,13.46%,and,10.58%,from,10.58%
escape,from,21.92%,i,8.22%,of,5.48%
liberty,and,16.05%,to,8.64%,which,6.17%
one,of,26.03%,day,3.35%,and,3.09%
old,master,36.92%,man,7.69%,grandmother,4.1%
what,is,12.5%,i,10.65%,was,10.65%
anti,slavery,93.59%,abolitionist,5.13%,republican,1.28%
if,i,17.28%,he,12.76%,the,8.64%
now,to,3.51%,for,2.81%,the,2.81%
public,opinion,20.0%,mind,4.0%,and,4.0%
were,not,5.24%,all,4.16%,the,3.07%
work,of,7.59%,in,6.9%,and,6.21%
its,own,4.12%,power,1.37%,name,1.37%
might,be,31.71%,have,17.89%,well,3.25%
be,a,5.24%,the,2.94%,made,1.79%
two,years,9.57%,days,5.32%,of,5.32%
very,little,8.98%,well,4.3%,much,3.91%
words,of,22.81%,and,7.02%,to,5.26%
too,much,6.42%,was,5.5%,that,4.59%
have,been,16.08%,no,3.98%,a,3.22%
been,a,4.23%,so,2.54%,in,2.54%
almost,as,9.89%,a,4.4%,every,4.4%
after,the,15.48%,my,6.45%,this,6.45%
field,and,15.25%,hand,11.86%,to,8.47%
while,i,18.66%,the,8.21%,we,5.22%
those,who,18.71%,of,10.07%,to,2.88%
are,the,5.95%,not,5.0%,in,2.38%
yet,i,9.47%,to,5.26%,there,5.26%
he,was,13.29%,had,8.19%,is,7.9%
who,had,11.46%,was,6.94%,would,4.86%
would,have,16.58%,be,13.59%,not,5.98%
must,be,23.83%,have,10.88%,not,4.66%
something,of,14.81%,more,13.58%,like,11.11%
than,the,12.3%,a,10.03%,that,5.18%
reader,will,27.78%,may,8.89%,has,6.67%
therefore,i,7.35%,was,2.94%,no,2.94%
all,the,19.26%,my,3.15%,his,2.8%
not,only,6.51%,a,4.11%,to,3.42%
may,be,30.66%,have,6.6%,not,5.66%
am,not,12.5%,i,5.88%,now,5.15%
say,that,27.27%,i,7.44%,it,4.96%
there,was,24.93%,is,17.24%,were,11.94%
name,of,33.78%,was,8.11%,and,8.11%
nor,did,7.5%,to,7.5%,the,6.25%
place,of,13.08%,in,9.35%,to,6.54%
whole,thing,5.48%,year,4.11%,volume,2.74%
given,to,21.74%,me,18.84%,up,5.8%
every,man,3.98%,time,3.48%,one,2.99%
best,of,10.91%,for,5.45%,i,5.45%
such,a,23.73%,as,5.93%,is,5.51%
dear,reader,23.53%,old,9.8%,friends,9.8%
long,in,10.58%,and,7.69%,as,5.77%
you,have,6.99%,will,6.64%,are,4.9%
well,as,33.5%,be,3.5%,to,2.5%
know,that,13.68%,not,10.53%,the,9.47%
which,i,18.34%,he,7.24%,they,4.47%
could,not,26.03%,be,8.25%,have,5.08%
any,one,9.62%,other,8.08%,of,5.77%
make,a,12.82%,the,8.55%,them,8.55%
me,to,10.48%,and,8.61%,the,4.88%
own,experience,2.79%,good,2.79%,mind,2.23%
quite,a,8.93%,as,7.14%,worth,3.57%
when,i,24.93%,the,11.46%,he,9.74%
do,not,21.39%,so,11.76%,this,5.35%
friends,of,11.7%,and,10.64%,in,7.45%
generally,in,7.41%,from,3.7%,treated,3.7%
upon,the,25.28%,me,15.24%,my,5.95%
making,the,11.32%,a,9.43%,his,9.43%
no,longer,4.91%,doubt,3.69%,one,3.19%
more,than,20.46%,of,5.02%,and,2.32%
fact,that,32.95%,of,7.95%,is,6.82%
seemed,to,46.38%,almost,5.8%,a,4.35%
never,to,5.48%,been,5.48%,be,3.42%
on,the,34.63%,my,6.06%,this,4.18%
system,of,25.45%,i,7.27%,and,7.27%
felt,that,18.42%,as,7.89%,a,6.58%
was,a,7.6%,not,7.0%,the,6.5%
having,been,11.25%,no,7.5%,the,7.5%
hands,of,31.18%,were,5.38%,on,3.23%
other,slaves,8.2%,children,4.37%,and,4.37%
their,masters,4.74%,own,4.51%,slaves,2.93%
manner,of,40.62%,and,6.25%,in,6.25%
few,of,7.06%,moments,7.06%,in,4.71%
little,tommy,5.2%,children,3.47%,of,2.89%
these,were,6.73%,the,2.88%,i,2.88%
full,of,34.43%,and,6.56%,account,3.28%
see,the,13.08%,that,10.28%,her,5.61%
many,of,7.41%,other,5.56%,who,3.7%
some,of,17.71%,one,4.69%,day,3.12%
man,and,8.96%,to,5.78%,of,4.91%
just,as,19.44%,and,6.94%,what,5.56%
family,of,15.0%,and,10.0%,in,8.33%
at,the,30.19%,least,3.57%,a,3.41%
only,to,7.34%,a,5.05%,by,3.21%
country,and,9.52%,to,8.33%,in,4.76%
world,and,10.39%,to,9.09%,was,5.19%
made,to,8.04%,a,7.54%,me,7.54%
case,of,18.97%,i,12.07%,with,6.9%
slaveholders,and,7.5%,of,5.83%,the,4.17%
mind,and,10.53%,to,10.53%,that,7.89%
can,be,14.47%,easily,5.26%,make,3.95%
should,be,24.82%,have,8.51%,not,5.67%
they,were,14.35%,are,12.66%,would,6.96%
then,the,7.22%,too,6.19%,i,4.12%
your,hands,2.61%,neighbors,2.61%,name,2.61%
point,of,23.53%,in,10.29%,i,7.35%
think,that,17.91%,of,13.43%,i,7.46%
go,to,23.68%,on,7.02%,and,6.14%
