word type,number
everything,40798
adult,1
hate,12
function,23839
normal,number
the,2256
of,1548
to,1494
and,1376
i,1036
a,856
was,741
in,737
he,527
my,457
it,418
that,407
his,388
with,379
as,354
me,335
for,333
at,277
be,266
had,255
this,248
by,233
not,216
but,201
him,200
were,191
we,184
which,183
one,183
would,181
from,179
on,179
is,173
they,172
mr,168
have,155
their,152
all,148
her,147
slave,145
no,142
slaves,132
or,130
time,126
master,123
when,120
upon,118
them,116
than,116
so,111
very,103
there,102
any,97
our,96
man,96
could,96
most,95
slavery,94
who,94
what,94
if,90
do,90
she,90
an,88
been,88
us,85
out,83
more,82
up,82
are,77
after,76
you,75
such,73
other,72
every,69
now,67
did,67
being,63
those,63
about,62
old,61
before,61
covey,61
own,60
made,59
myself,59
never,58
said,57
new,55
some,55
should,54
these,54
without,53
then,53
into,52
went,52
work,51
go,51
little,51
get,51
only,50
day,50
well,50
himself,49
make,48
while,47
great,47
found,47
how,47
must,46
came,45
enough,45
house,44
many,44
men,44
white,44
baltimore,44
much,43
gave,43
first,43
its,43
will,43
told,43
colonel,43
home,42
left,42
where,42
might,41
few,41
hands,41
life,40
same,39
ever,38
under,38
come,38
has,37
nothing,37
down,37
like,37
called,37
again,37
free,36
can,36
plantation,36
off,36
seemed,36
give,35
good,35
may,35
long,35
thus,35
blood,35
thing,35
got,35
soon,34
almost,33
took,33
thought,33
read,33
place,33
children,33
see,33
too,33
take,33
even,32
among,32
part,32
three,32
years,32
death,32
having,31
just,31
away,31
way,31
always,31
during,31
lived,31
whole,30
let,30
over,30
two,30
slaveholders,30
say,30
know,30
used,30
yet,29
against,29
colored,29
freedom,29
name,29
whip,29
large,28
once,28
others,28
am,28
felt,28
think,27
week,27
seen,27
year,26
heart,26
condition,26
night,26
hand,26
field,25
god,25
young,25
back,25
each,25
escape,24
done,24
soul,24
however,24
side,24
your,24
here,24
morning,24
chapter,23
poor,23
head,23
masters,23
half,23
hold,23
getting,23
between,22
run,22
slaveholder,22
knew,22
quite,22
saw,22
whipped,22
through,22
henry,22
whom,21
though,21
mind,21
course,21
north,21
both,21
matter,21
times,21
live,21
lloyd's,21
thomas,21
st,21
frederick,20
shall,20
end,20
given,20
short,20
seldom,20
near,20
whipping,20
word,20
words,20
sometimes,20
eat,20
succeeded,20
whose,19
fact,19
cruel,19
immediately,19
put,19
ready,19
going,19
something,19
things,19
moment,18
people,18
hope,18
number,18
hard,18
better,18
within,18
learn,18
find,18
because,18
means,18
frequently,18
woods,18
mrs,18
