word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,28.33%,his,6.01%,a,5.15%
an,overseer,4.55%,hour,4.55%,anti,3.41%
and,the,4.04%,in,2.57%,i,2.35%
from,the,24.14%,his,5.17%,that,4.6%
the,most,2.32%,same,1.65%,slaves,1.61%
this,time,8.1%,was,3.24%,is,2.83%
is,a,8.09%,the,8.09%,not,4.05%
being,a,9.68%,the,6.45%,in,3.23%
at,the,31.27%,once,5.45%,times,4.0%
time,i,13.49%,to,7.94%,in,6.35%
to,the,9.52%,be,7.38%,do,2.41%
of,the,20.57%,a,4.25%,my,4.25%
slave,was,6.9%,and,4.83%,i,4.83%
slavery,i,11.7%,and,9.57%,was,3.19%
in,the,27.75%,a,5.49%,my,3.3%
i,was,13.9%,had,7.24%,have,5.12%
a,slave,8.22%,very,2.93%,man,2.82%
which,i,24.73%,he,12.09%,was,6.59%
it,was,25.96%,is,11.78%,would,4.81%
was,a,8.53%,the,5.01%,not,3.92%
my,master,5.04%,own,4.82%,old,3.51%
he,was,18.41%,would,7.21%,had,7.02%
every,thing,7.25%,one,5.8%,moment,4.35%
that,i,12.13%,he,9.9%,the,5.2%
but,a,8.96%,i,6.97%,to,5.97%
made,a,8.47%,to,8.47%,him,8.47%
his,own,4.13%,master,3.62%,slaves,3.36%
had,been,12.2%,the,5.12%,not,4.33%
on,the,34.86%,my,6.86%,this,4.0%
most,of,7.37%,frightful,4.21%,horrid,4.21%
for,the,19.76%,a,6.08%,me,3.65%
their,masters,5.92%,own,5.26%,slaves,5.26%
so,that,10.81%,many,9.01%,he,6.31%
those,who,26.98%,of,9.52%,songs,6.35%
who,had,18.09%,was,5.32%,could,4.26%
are,in,3.95%,you,3.95%,to,3.95%
as,i,11.05%,the,8.5%,well,7.65%
with,the,17.2%,a,10.58%,his,6.35%
them,to,9.48%,as,4.31%,with,4.31%
our,own,4.21%,masters,4.21%,house,3.16%
have,been,19.35%,seen,5.16%,said,4.52%
been,a,6.82%,in,5.68%,accustomed,4.55%
or,the,5.43%,no,3.88%,too,3.88%
him,to,12.5%,i,6.0%,that,5.5%
into,the,34.62%,a,11.54%,his,7.69%
man,who,8.33%,to,7.29%,and,7.29%
work,in,9.8%,of,7.84%,with,7.84%
go,to,21.57%,on,9.8%,back,5.88%
never,forget,5.17%,seen,5.17%,felt,5.17%
own,mind,3.39%,masters,3.39%,i,3.39%
upon,the,32.2%,me,11.02%,his,8.47%
more,than,21.95%,to,4.88%,of,3.66%
than,the,14.66%,a,7.76%,to,5.17%
there,was,24.51%,were,10.78%,is,6.86%
one,of,23.2%,and,3.31%,year,3.31%
little,while,7.84%,white,3.92%,else,3.92%
could,do,12.5%,not,9.38%,be,8.33%
be,a,4.92%,the,3.79%,free,3.79%
would,be,18.99%,not,5.59%,at,3.35%
all,the,16.89%,of,4.73%,his,4.05%
such,a,21.92%,as,12.33%,was,9.59%
after,i,13.16%,the,10.53%,a,7.89%
some,of,12.73%,time,7.27%,one,3.64%
we,were,30.98%,had,6.52%,have,4.89%
now,i,5.97%,we,5.97%,to,4.48%
they,would,12.21%,were,12.21%,are,9.3%
no,matter,5.67%,one,5.67%,longer,4.96%
you,have,6.85%,are,6.85%,scribes,5.48%
old,master,18.03%,master's,6.56%,and,6.56%
not,to,6.02%,only,5.09%,know,4.17%
out,of,28.92%,and,6.02%,farms,4.82%
should,be,27.78%,have,11.11%,not,9.26%
do,not,14.44%,so,12.22%,this,7.78%
were,not,3.68%,to,3.68%,all,2.63%
very,soon,10.68%,little,9.71%,well,6.8%
before,i,22.95%,the,14.75%,my,9.84%
any,thing,25.77%,one,14.43%,other,10.31%
other,slaves,5.56%,and,5.56%,the,4.17%
without,a,11.32%,being,11.32%,the,11.32%
slaves,of,8.33%,and,8.33%,the,6.06%
what,i,15.96%,he,13.83%,was,8.51%
if,i,22.47%,he,12.36%,we,10.11%
these,were,7.41%,very,3.7%,words,3.7%
when,i,31.67%,the,10.0%,he,9.17%
then,to,5.66%,he,5.66%,and,3.77%
us,to,10.59%,and,8.24%,in,5.88%
her,to,7.48%,husband,4.08%,hands,4.08%
she,was,30.0%,had,14.44%,seemed,3.33%
me,to,12.24%,i,7.16%,and,6.87%
about,the,11.29%,three,8.06%,twelve,6.45%
up,to,15.85%,the,15.85%,in,9.76%
went,to,25.0%,there,13.46%,on,7.69%
master,hugh,13.56%,and,10.17%,thomas,10.17%
mr,covey,36.61%,gore,11.61%,covey's,5.36%
get,a,11.76%,the,7.84%,rid,5.88%
myself,and,15.25%,in,11.86%,to,10.17%
did,not,46.27%,so,10.45%,this,5.97%
said,to,12.73%,he,12.73%,that,9.09%
covey,was,11.48%,he,6.56%,and,6.56%
