word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,3.91%,me,2.17%,called,1.74%
an,of,9.52%,as,7.14%,with,5.95%
and,me,1.72%,it,0.9%,master,0.9%
from,miles,4.49%,escape,2.81%,me,2.25%
the,of,14.06%,in,9.01%,to,6.34%
this,of,12.35%,in,9.05%,at,4.12%
is,it,28.49%,he,12.21%,there,4.07%
being,of,23.81%,as,12.7%,without,9.52%
at,and,5.47%,was,4.01%,would,2.19%
time,this,15.87%,same,11.9%,the,11.11%
to,me,2.76%,enough,2.02%,him,1.68%
of,one,2.73%,part,1.62%,out,1.56%
slave,a,48.61%,the,24.31%,fugitive,4.17%
slavery,of,45.74%,anti,13.83%,in,9.57%
no,was,8.51%,had,4.26%,or,3.55%
in,and,4.83%,succeeded,2.21%,was,2.07%
i,that,4.82%,which,4.43%,as,3.84%
a,of,7.66%,was,7.42%,with,4.71%
which,of,11.11%,with,8.89%,for,3.89%
it,of,3.39%,as,2.66%,that,2.66%
was,i,19.75%,it,14.81%,he,13.31%
my,of,14.35%,to,6.18%,in,5.3%
with,me,4.76%,and,3.7%,live,3.17%
he,that,7.71%,which,4.24%,as,3.47%
every,in,14.49%,at,8.7%,almost,7.25%
that,and,5.91%,of,4.43%,but,2.96%
but,me,4.59%,so,2.55%,of,2.04%
made,was,12.07%,i,10.34%,he,6.9%
his,of,15.25%,to,7.49%,with,6.2%
had,i,30.24%,he,14.92%,who,6.85%
on,go,2.87%,hold,2.87%,slave,2.3%
new,in,14.81%,to,14.81%,my,14.81%
most,the,54.74%,a,8.42%,and,6.32%
for,and,2.42%,but,2.11%,fortunate,1.81%
their,of,16.45%,to,9.87%,in,6.58%
so,do,10.0%,was,6.36%,did,6.36%
those,of,26.98%,to,11.11%,and,7.94%
who,those,18.48%,man,8.7%,one,5.43%
are,they,20.78%,you,6.49%,who,3.9%
as,well,5.71%,and,4.0%,such,2.57%
them,of,16.38%,to,6.9%,with,5.17%
our,of,21.88%,in,8.33%,upon,4.17%
have,i,34.42%,to,16.88%,we,5.84%
been,had,35.23%,have,34.09%,not,6.82%
or,two,3.12%,three,3.12%,home,2.34%
him,to,8.5%,told,8.0%,let,5.0%
into,him,3.85%,himself,3.85%,crawl,3.85%
man,a,25.0%,white,10.42%,young,7.29%
work,to,17.65%,at,9.8%,the,7.84%
go,to,45.1%,me,5.88%,could,5.88%
never,i,13.79%,had,13.79%,was,12.07%
own,my,36.67%,his,26.67%,their,13.33%
upon,in,3.42%,on,3.42%,and,3.42%
more,no,6.17%,much,6.17%,the,4.94%
than,more,15.65%,rather,9.57%,less,7.83%
there,and,12.0%,went,7.0%,that,5.0%
one,the,8.2%,any,7.65%,and,5.46%
little,very,19.61%,a,13.73%,but,7.84%
could,i,41.3%,he,14.13%,they,5.43%
be,to,41.35%,would,12.78%,should,5.64%
would,he,21.23%,they,11.73%,it,11.17%
all,of,18.49%,in,5.48%,at,4.11%
such,in,12.33%,of,12.33%,but,4.11%
after,and,13.33%,soon,8.0%,time,5.33%
some,by,5.45%,of,5.45%,to,5.45%
we,if,5.06%,that,4.49%,when,4.49%
now,was,19.4%,i,7.46%,had,5.97%
they,that,8.19%,which,2.92%,as,2.92%
you,if,8.0%,for,5.33%,unto,5.33%
old,my,26.23%,years,14.75%,of,9.84%
if,as,10.0%,and,10.0%,that,8.89%
not,did,14.42%,was,13.49%,do,6.05%
out,the,4.82%,come,3.61%,me,3.61%
should,i,49.06%,we,11.32%,he,9.43%
do,to,40.0%,could,13.33%,i,11.11%
were,we,30.16%,they,11.11%,there,5.82%
very,a,24.27%,was,8.74%,the,6.8%
before,long,10.0%,days,5.0%,than,5.0%
any,of,9.28%,with,6.19%,to,4.12%
other,the,38.89%,each,18.06%,any,13.89%
without,and,7.84%,nothing,5.88%,it,3.92%
slaves,the,27.69%,his,10.0%,fellow,6.92%
said,he,23.21%,have,12.5%,and,10.71%
what,with,7.45%,to,6.38%,come,4.26%
these,of,25.0%,all,7.69%,that,5.77%
when,them,3.39%,and,2.54%,that,2.54%
then,and,13.46%,he,13.46%,would,11.54%
us,of,12.94%,gave,8.24%,with,5.88%
her,of,8.16%,to,6.12%,in,4.76%
she,that,6.82%,night,3.41%,as,2.27%
me,to,9.25%,gave,5.07%,told,4.18%
about,was,16.13%,lived,4.84%,in,4.84%
up,came,4.88%,tie,3.66%,get,3.66%
went,i,49.02%,we,13.73%,and,9.8%
master,my,18.85%,his,11.48%,old,9.02%
mr,of,11.59%,with,7.32%,to,5.49%
get,to,49.02%,could,13.73%,and,7.84%
myself,found,11.86%,of,10.17%,and,10.17%
did,i,38.81%,he,17.91%,we,8.96%
covey,mr,67.21%,edward,4.92%,while,3.28%
