word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,26.99%,a,6.05%,his,3.55%
an,overseer,4.39%,old,3.07%,anti,2.63%
and,the,5.99%,i,3.04%,to,2.29%
from,the,27.19%,a,4.72%,his,4.38%
the,slave,2.16%,most,1.26%,same,1.17%
this,was,4.37%,is,3.41%,time,3.24%
is,the,8.35%,a,8.27%,not,6.44%
being,a,13.57%,the,6.03%,in,3.52%
at,the,30.53%,once,4.04%,a,3.48%
time,i,12.5%,to,7.88%,and,7.88%
to,the,12.18%,be,7.21%,me,2.25%
of,the,22.54%,my,5.35%,a,4.05%
life,and,14.22%,of,8.89%,in,7.11%
slave,is,5.68%,and,5.08%,system,3.59%
himself,and,11.64%,in,6.85%,to,6.85%
slavery,and,10.27%,is,5.41%,i,5.41%
in,the,29.46%,a,5.35%,my,3.91%
i,was,15.16%,had,8.43%,have,6.31%
a,slave,6.5%,man,3.1%,few,1.93%
which,i,19.74%,he,8.3%,was,4.33%
it,was,21.39%,is,17.76%,and,2.88%
was,a,7.85%,not,6.17%,the,6.09%
my,own,3.95%,old,2.55%,master,2.25%
he,was,15.02%,had,7.8%,is,6.58%
every,man,4.07%,one,3.7%,thing,3.7%
that,i,10.88%,he,7.72%,the,7.67%
but,the,9.28%,i,7.66%,a,5.34%
having,been,9.91%,the,7.21%,no,7.21%
made,to,8.14%,a,7.75%,the,6.59%
his,own,5.12%,master,3.23%,slaves,1.95%
house,of,13.21%,and,10.69%,farm,9.43%
had,been,13.39%,not,5.17%,a,4.71%
while,i,18.78%,the,6.63%,he,5.52%
give,me,13.21%,a,10.38%,it,7.55%
on,the,34.68%,my,6.22%,this,4.15%
most,of,8.28%,successful,2.07%,horrid,2.07%
for,the,20.99%,a,5.42%,me,3.68%
yet,i,8.06%,a,4.84%,to,4.84%
their,masters,5.04%,own,4.71%,slaves,3.53%
has,been,20.68%,no,5.49%,the,5.49%
so,much,6.14%,that,5.65%,many,5.16%
much,to,13.37%,as,7.92%,of,7.43%
friends,of,10.91%,and,10.0%,in,8.18%
many,of,10.6%,other,3.97%,who,3.31%
ever,been,4.26%,to,4.26%,venture,3.55%
those,who,21.29%,of,9.9%,songs,3.96%
who,had,13.09%,was,6.54%,would,4.19%
are,the,5.65%,not,4.44%,in,2.62%
as,a,11.56%,i,10.34%,the,7.17%
with,the,18.21%,a,10.52%,his,4.26%
them,to,8.94%,the,4.88%,in,4.88%
our,house,2.86%,own,2.86%,masters,2.57%
have,been,16.71%,no,3.59%,a,2.97%
been,a,4.74%,in,3.16%,so,2.48%
or,the,4.44%,to,4.44%,two,2.39%
against,the,25.6%,me,7.14%,us,5.95%
men,and,12.82%,who,4.7%,in,4.7%
him,to,12.21%,and,6.26%,in,5.34%
into,the,42.79%,a,12.66%,his,4.8%
gave,me,41.9%,us,9.52%,his,5.71%
man,and,8.6%,to,6.11%,of,5.43%
great,house,16.59%,britain,3.23%,and,2.76%
work,of,7.65%,in,7.65%,i,5.61%
go,to,23.03%,on,7.88%,and,5.45%
free,colored,11.45%,state,9.64%,and,7.83%
shall,be,17.31%,never,9.62%,not,8.65%
never,to,4.9%,been,4.41%,forget,3.43%
first,time,6.9%,of,4.43%,six,3.94%
own,mind,2.52%,words,2.1%,experience,2.1%
upon,the,27.39%,me,13.95%,my,5.68%
its,own,3.59%,victims,1.5%,power,1.2%
more,than,20.82%,of,4.69%,to,2.05%
than,the,12.94%,a,9.41%,to,4.94%
there,was,24.84%,is,15.03%,were,11.69%
one,of,25.13%,day,3.16%,and,3.16%
little,tommy,4.02%,hut,3.12%,of,2.68%
white,man,23.65%,men,9.46%,person,5.41%
could,not,22.14%,be,8.27%,do,5.6%
be,a,5.16%,the,3.15%,free,1.82%
found,myself,12.93%,in,12.24%,it,6.8%
would,be,15.36%,have,12.07%,not,5.85%
all,the,18.78%,his,3.06%,my,2.78%
god,and,23.89%,that,5.31%,of,5.31%
nothing,to,12.5%,but,9.82%,of,8.93%
make,a,15.15%,the,10.3%,him,7.88%
people,of,16.57%,in,7.73%,and,4.97%
only,to,7.84%,a,4.48%,by,3.73%
came,to,23.36%,the,7.3%,up,5.84%
such,a,23.3%,as,7.44%,is,5.18%
after,the,13.85%,i,6.49%,my,6.49%
human,nature,12.04%,flesh,8.33%,being,7.41%
heart,of,14.04%,and,12.28%,i,4.39%
some,of,16.6%,one,4.45%,time,2.43%
soon,as,14.41%,after,11.71%,learned,4.5%
we,were,24.95%,had,8.06%,have,5.89%
just,as,21.36%,what,7.77%,in,4.85%
now,to,3.69%,i,3.12%,for,2.84%
even,in,7.75%,the,7.75%,to,7.04%
among,the,48.05%,them,9.09%,slaves,5.19%
they,were,13.78%,are,11.76%,would,8.36%
back,to,22.43%,again,8.41%,and,7.48%
no,longer,4.93%,one,3.83%,matter,3.1%
will,be,12.27%,not,10.11%,take,3.25%
you,have,6.96%,will,5.85%,are,5.29%
old,master,32.42%,man,6.64%,barney,4.3%
state,of,42.52%,the,5.51%,and,4.72%
whole,of,4.85%,year,3.88%,thing,3.88%
might,be,32.32%,have,16.46%,as,3.05%
almost,as,11.29%,every,7.26%,a,4.84%
part,of,72.58%,in,4.84%,i,4.03%
same,time,21.05%,age,2.26%,and,2.26%
colored,people,32.12%,man,18.98%,men,9.49%
not,only,6.23%,a,4.03%,to,3.94%
out,of,29.19%,and,6.04%,to,5.37%
should,be,25.64%,have,9.23%,not,6.67%
do,not,19.13%,so,11.91%,this,6.14%
good,to,4.57%,old,4.0%,man,3.43%
however,was,9.62%,i,6.73%,the,5.77%
under,the,57.41%,a,5.56%,which,3.7%
were,not,4.85%,all,3.77%,the,2.83%
may,be,31.58%,have,6.07%,not,5.26%
