word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,3.88%,me,2.03%,him,1.26%
an,of,9.23%,as,7.47%,was,6.59%
and,me,1.72%,slavery,0.93%,it,0.75%
from,escape,2.35%,and,2.13%,miles,1.91%
the,of,14.37%,in,9.17%,to,6.7%
this,of,12.47%,in,11.23%,to,6.01%
is,it,22.87%,he,8.29%,there,5.8%
being,of,28.0%,as,6.5%,without,6.0%
at,was,3.66%,and,3.44%,me,2.89%
time,the,13.98%,this,9.95%,a,8.33%
to,and,2.42%,me,2.4%,him,1.35%
of,one,2.07%,part,1.3%,out,1.26%
life,my,20.09%,of,8.93%,a,8.04%
american,the,39.81%,of,12.62%,an,6.8%
slave,a,34.57%,the,34.12%,fugitive,3.26%
himself,for,9.03%,to,4.86%,of,4.17%
slavery,of,35.36%,anti,15.36%,from,5.54%
no,was,7.88%,had,6.23%,have,5.31%
in,and,4.24%,was,1.79%,me,1.55%
i,that,5.66%,and,5.12%,which,4.42%
a,of,7.68%,was,5.91%,as,4.95%
which,to,7.36%,of,6.39%,with,5.79%
it,and,3.53%,that,3.47%,of,3.15%
was,i,21.42%,it,12.81%,he,8.8%
my,of,18.36%,in,6.55%,to,6.1%
with,me,3.48%,and,3.34%,acquainted,1.74%
he,that,9.69%,which,4.49%,and,4.42%
every,in,12.55%,at,7.01%,of,6.27%
that,and,5.62%,of,3.2%,in,2.58%
but,me,2.97%,was,1.43%,it,1.43%
having,of,11.71%,for,8.11%,and,7.21%
made,was,7.45%,had,7.06%,be,6.67%
his,of,17.85%,in,6.48%,to,5.95%
house,the,32.68%,great,23.53%,his,7.84%
had,i,29.94%,he,11.49%,who,4.71%
while,and,12.28%,that,5.85%,a,3.51%
give,to,46.15%,can,4.81%,will,4.81%
on,and,1.82%,me,1.59%,go,1.48%
new,in,19.57%,my,16.09%,a,11.74%
most,the,46.37%,a,7.61%,and,4.84%
for,and,2.43%,but,1.87%,me,1.8%
yet,and,23.39%,not,11.29%,was,6.45%
their,of,17.64%,to,9.82%,in,7.82%
has,he,20.0%,it,9.13%,slave,5.65%
so,do,8.19%,and,4.96%,was,3.47%
much,as,15.84%,so,12.38%,very,5.94%
friends,my,15.24%,the,6.67%,and,5.71%
many,so,13.82%,the,9.87%,of,6.58%
ever,i,14.29%,was,10.0%,had,6.43%
those,of,20.6%,to,11.56%,and,6.03%
who,those,11.72%,man,6.54%,and,4.09%
are,they,15.45%,there,6.71%,we,6.1%
as,well,5.67%,and,2.87%,me,2.8%
them,of,13.62%,to,7.11%,with,4.47%
our,of,22.88%,in,8.19%,to,6.21%
have,i,29.42%,to,10.63%,would,8.16%
been,had,32.66%,have,30.41%,has,11.04%
or,word,1.72%,three,1.54%,two,1.2%
against,prejudice,8.33%,and,3.57%,as,3.57%
men,of,12.77%,white,5.96%,colored,5.53%
him,to,9.39%,told,4.55%,with,4.55%
into,me,4.78%,it,3.91%,went,3.48%
gave,he,21.9%,and,15.24%,i,7.62%
man,a,25.11%,white,7.92%,the,7.69%
great,the,37.27%,a,14.09%,of,5.91%
work,to,15.71%,at,8.38%,of,6.81%
go,to,39.39%,must,4.85%,me,4.24%
free,the,21.56%,a,16.77%,be,11.38%
shall,i,31.73%,you,4.81%,never,3.85%
never,i,12.81%,had,11.33%,was,8.87%
first,the,56.59%,my,7.32%,at,6.34%
own,my,33.19%,his,31.93%,their,11.76%
upon,called,4.66%,and,3.11%,look,2.59%
its,of,15.32%,in,12.91%,and,8.41%
more,the,7.1%,a,4.14%,no,4.14%
than,more,16.82%,rather,7.11%,less,4.5%
there,and,6.72%,that,6.72%,went,3.04%
one,any,6.89%,the,4.59%,of,4.42%
