word type,number
everything,26358
adult,0
hate,0
function,14670
normal,number
the,1912
of,1494
and,857
to,741
in,575
a,542
it,319
which,305
is,294
that,266
our,222
by,212
with,207
was,193
for,182
this,172
all,167
on,160
as,156
their,156
they,148
at,145
its,141
his,138
not,137
from,130
has,129
or,129
but,128
we,127
are,125
had,124
an,123
have,112
one,111
he,101
there,99
us,97
so,94
been,91
these,81
most,79
be,78
were,75
who,71
no,70
them,67
more,65
what,65
i,61
only,56
life,55
day,53
would,53
when,50
into,47
social,43
time,43
if,42
man,39
out,39
than,39
up,38
such,37
like,36
very,36
love,35
ever,35
will,34
new,34
sun,34
last,34
still,33
even,33
now,33
never,31
human,31
let,31
every,30
first,30
ancient,30
many,29
say,29
great,28
after,28
well,28
those,28
earth,28
become,28
work,27
any,27
being,27
without,27
same,27
itself,27
another,27
order,26
certain,25
yet,25
can,25
own,25
other,25
between,25
public,24
through,24
some,24
could,24
place,24
thus,24
longer,24
tarde,23
art,23
world,23
must,23
single,23
him,22
may,22
about,22
once,22
make,22
true,22
nature,22
little,21
less,21
men,21
few,21
under,21
former,21
each,20
did,20
humanity,20
left,20
then,20
stars,20
here,20
do,20
fact,20
again,19
far,19
idea,19
made,19
formerly,19
beauty,19
how,18
natural,18
themselves,18
society,18
moment,18
called,18
general,18
however,18
perhaps,17
kind,17
nothing,17
whose,17
several,17
almost,17
whole,16
over,16
mankind,16
much,16
you,16
charm,16
might,16
against,16
death,16
therefore,16
above,16
since,16
alone,16
himself,16
energy,16
two,16
light,16
her,16
rather,15
know,15
among,15
shall,15
immense,15
seen,15
thought,14
m,14
people,14
always,14
common,14
within,14
past,14
long,14
too,14
heart,14
underground,13
give,13
should,13
upon,13
entirely,13
speak,13
course,13
women,13
enough,13
spite,13
times,13
thousand,13
air,13
number,13
population,13
way,13
frozen,13
before,12
really,12
latter,12
hundred,12
years,12
state,12
cities,12
night,12
sight,12
snow,12
cold,12
better,12
race,12
end,12
civilisation,12
henceforth,12
three,12
full,12
millions,12
least,12
name,12
beautiful,12
eye,12
city,12
profound,12
language,11
self,11
vast,11
simple,11
good,11
case,11
think,11
solar,11
different,11
sky,11
days,11
found,11
point,11
centuries,11
progress,11
