word type,number
everything,95291
adult,0
hate,0
function,53670
normal,number
the,3895
and,3846
of,2822
to,2647
a,2571
she,1976
her,1834
i,1554
in,1472
that,1297
you,1213
it,1193
was,1190
he,1109
with,920
said,852
had,803
ann,715
for,697
at,679
veronica,642
as,614
his,590
but,531
all,495
on,490
one,478
not,466
be,447
is,437
this,428
have,412
an,369
they,364
him,363
what,319
me,308
we,306
do,303
are,303
from,300
about,300
by,294
so,292
up,292
very,273
then,263
were,263
would,262
if,260
no,259
my,257
things,255
out,248
there,247
little,246
think,236
or,234
into,232
some,225
go,213
like,210
life,206
your,206
them,205
been,190
more,188
love,186
time,185
man,183
know,179
did,175
now,172
miss,171
when,170
mr,168
upon,164
want,164
could,162
capes,162
thought,159
their,155
just,153
world,151
went,150
made,149
father,147
herself,146
seemed,146
will,146
never,143
these,143
mind,141
can,138
see,138
down,137
women,136
came,135
part,134
who,133
which,132
over,132
any,131
well,127
only,123
again,123
come,122
than,121
ramage,121
something,121
thing,120
after,120
before,119
how,119
must,118
why,118
am,118
people,117
other,114
good,114
way,113
home,112
back,112
stanley,111
going,109
quite,108
face,108
manning,108
aunt,107
get,107
through,106
got,106
say,105
much,101
eyes,100
day,98
its,97
girl,95
found,95
even,92
young,92
most,92
sort,91
rather,91
being,90
last,88
room,88
here,87
woman,87
talk,87
suppose,87
hand,86
us,86
still,86
put,85
nothing,85
own,84
men,83
has,81
work,81
first,80
tell,80
make,80
felt,79
might,77
anything,76
always,75
perhaps,74
every,73
should,73
our,73
sat,71
long,71
two,70
asked,70
stood,69
off,69
began,69
really,69
great,68
under,67
looked,67
old,67
looking,67
too,67
miniver,67
such,66
became,66
moment,66
look,65
away,64
everything,64
new,63
because,63
let,63
dear,62
right,62
ever,61
better,60
understand,60
voice,60
hands,59
took,59
between,58
beautiful,58
almost,57
done,57
night,57
side,56
oh,56
park,55
same,54
take,54
place,53
wanted,53
matter,53
until,53
mean,53
indeed,53
ought,53
once,52
though,52
may,52
thinking,52
yes,52
table,51
each,51
door,51
against,51
clear,50
else,50
wonder,49
manner,49
hair,49
sense,49
yet,49
toward,49
idea,49
fact,48
another,48
without,48
shall,48
while,47
air,47
turned,47
altogether,47
together,47
course,47
care,47
knew,47
vee,46
end,46
self,45
told,45
london,44
give,44
talked,44
white,43
feel,43
next,43
beyond,42
fine,42
keep,42
light,42
those,42
free,42
myself,42
afternoon,41
heard,41
house,40
girls,40
lady,39
live,39
coming,39
head,39
hard,39
among,38
position,38
tried,38
suddenly,38
person,38
saw,38
spoke,38
pounds,38
days,37
best,37
question,37
doing,37
ideas,37
find,37
dinner,36
himself,36
set,36
god,36
tea,36
half,35
black,35
left,35
seen,35
business,35
talking,35
heart,35
cried,35
morning,34
full,34
letter,34
gave,34
also,34
does,34
many,34
open,34
whole,34
street,34
abruptly,34
behind,33
certain,33
fire,33
far,33
help,33
wish,33
both,32
where,32
gone,32
friends,32
believe,32
bit,32
anyhow,32
beauty,32
walked,31
making,31
presently,31
school,31
friend,31
expression,30
three,30
across,30
times,30
college,30
money,30
round,30
trying,30
state,29
evening,29
twenty,29
opened,29
seem,29
married,29
feeling,29
high,29
small,29
quality,29
human,29
garden,29
possible,29
different,29
nor,28
feet,28
regarded,28
getting,28
met,28
laboratory,28
point,28
arm,28
standing,28
living,28
afraid,28
movement,28
train,27
eye,27
avenue,27
window,27
note,27
teddy,27
freedom,27
decided,27
read,27
words,27
large,27
case,27
thoughts,26
glad,26
loved,26
means,26
followed,26
wife,26
blue,26
order,25
reason,25
remarked,25
dress,25
difficult,25
except,25
wrong,25
makes,25
situation,25
hold,25
marry,25
beside,25
itself,25
alice,25
mother,24
gray,24
bright,24
doubt,24
corner,24
years,24
quiet,24
conversation,24
happened,24
interest,24
become,24
enough,24
exactly,24
beginning,24
bed,24
splendid,24
either,23
appeared,23
since,23
sorts,23
liked,23
slowly,23
impossible,23
saying,23
hat,23
whether,23
hear,23
pause,23
begin,23
music,23
word,22
sometimes,22
whatever,22
interested,22
general,22
brought,22
remained,22
clean,22
daughter,22
wonderful,22
sister,22
four,22
taken,22
mrs,22
affair,22
alone,22
ask,22
letters,22
view,21
sent,21
already,21
less,21
real,21
fell,21
please,21
second,21
seems,21
stopped,21
hope,21
marriage,21
deep,21
least,21
explain,21
lover,21
attitude,20
along,20
ran,20
walk,20
kept,20
simply,20
near,20
glasses,20
strong,20
dark,20
happen,20
confused,20
paused,20
change,20
sure,20
curious,20
poor,20
sitting,20
within,20
forty,20
neck,20
ten,20
art,19
neither,19
mouth,19
big,19
red,19
age,19
personal,19
family,19
dance,19
children,19
passionate,19
dressed,19
yours,19
odd,19
breath,19
higher,19
answer,19
silence,19
social,19
chair,19
themselves,19
given,19
dream,19
shining,19
rest,19
prison,18
certainly,18
measure,18
past,18
goes,18
easy,18
passed,18
carried,18
lips,18
study,18
desire,18
hotel,18
present,18
paper,18
bad,18
sit,18
comes,18
glanced,18
