word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,19.1%,a,12.85%,her,4.86%
and,the,4.04%,then,3.19%,a,2.95%
ann,veronica,99.84%,veronicas,0.16%
veronica,was,5.91%,had,4.79%,i,3.83%
a,little,5.89%,man,2.69%,time,2.65%
love,you,15.68%,with,10.27%,and,5.41%
i,am,7.89%,have,6.84%,want,6.24%
to,be,8.67%,the,7.83%,her,5.42%
her,and,4.6%,father,4.26%,mind,3.81%
father,and,12.06%,she,7.8%,in,3.55%
of,the,17.47%,her,5.99%,a,4.94%
the,world,2.49%,same,1.35%,other,0.98%
in,the,26.73%,a,11.46%,her,7.11%
things,i,6.2%,and,6.2%,are,5.79%
last,she,4.71%,week,4.71%,with,4.71%
at,the,24.81%,last,8.62%,her,8.17%
home,she,12.26%,and,11.32%,that,4.72%
is,the,8.33%,a,8.1%,not,2.55%
one,of,11.84%,has,3.73%,another,3.29%
every,one,38.36%,well,2.74%,girl,2.74%
well,i,11.02%,and,10.17%,she,5.93%
girl,of,7.61%,is,6.52%,can,5.43%
so,much,8.65%,that,6.57%,far,4.84%
that,she,8.09%,was,3.73%,he,3.65%
she,had,13.68%,was,10.91%,said,8.86%
can,be,10.14%,you,7.97%,do,6.52%
even,in,6.52%,the,6.52%,know,5.43%
own,way,6.02%,room,4.82%,she,4.82%
first,time,12.66%,the,3.8%,you,3.8%
stanley,and,9.09%,he,3.64%,was,2.73%
came,to,22.96%,into,8.89%,in,5.19%
down,the,16.91%,and,12.5%,in,6.62%
from,the,30.9%,her,11.46%,a,4.17%
quite,a,6.54%,so,3.74%,another,2.8%
have,been,11.41%,to,10.92%,a,5.58%
out,of,33.06%,into,7.35%,with,5.31%
with,a,17.52%,the,11.39%,her,8.65%
very,much,7.33%,well,5.13%,good,4.76%
had,been,8.34%,a,5.85%,to,5.23%
on,the,25.15%,her,7.63%,a,5.98%
such,a,21.21%,as,9.09%,things,9.09%
before,her,14.29%,she,12.61%,the,8.4%
but,i,10.51%,she,6.67%,the,5.25%
this,is,8.47%,time,3.39%,was,2.42%
time,she,9.44%,he,6.11%,and,6.11%
made,a,18.79%,her,8.72%,the,6.04%
it,was,17.06%,is,8.21%,seemed,3.56%
been,thinking,5.79%,a,4.74%,in,2.63%
was,a,9.26%,the,5.39%,not,2.95%
almost,as,8.77%,equal,3.51%,the,3.51%
up,to,12.5%,and,9.72%,the,6.25%
mind,was,9.35%,she,5.76%,and,5.76%
should,be,15.07%,have,9.59%,say,5.48%
be,a,8.6%,the,2.71%,in,2.49%
for,a,24.31%,the,12.16%,her,8.25%
there,was,28.45%,is,13.81%,are,9.21%
its,own,6.32%,way,4.21%,predecessor,2.11%
has,to,16.05%,been,16.05%,given,3.7%
tell,me,30.38%,you,22.78%,him,10.13%
herself,in,8.45%,to,7.75%,and,5.63%
park,and,20.37%,society,5.56%,she,5.56%
sat,down,26.76%,on,12.68%,with,5.63%
an,air,4.9%,expression,1.91%,old,1.91%
would,be,12.98%,have,12.98%,not,7.63%
see,how,11.36%,the,7.58%,what,6.06%
hands,and,14.04%,in,10.53%,with,5.26%
them,and,10.05%,with,4.52%,she,4.52%
thought,of,23.53%,that,8.5%,and,6.54%
only,a,8.2%,one,4.92%,the,4.1%
said,ann,24.26%,i,6.56%,miss,5.32%
once,and,7.69%,or,7.69%,to,5.77%
again,and,18.33%,i,6.67%,she,5.83%
as,a,12.54%,she,9.12%,if,6.68%
young,man,30.0%,people,10.0%,and,10.0%
two,days,10.0%,and,5.71%,things,4.29%
under,the,33.33%,her,12.12%,a,7.58%
world,of,8.9%,and,6.16%,she,5.48%
stood,up,26.09%,a,7.25%,in,5.8%
no,more,7.48%,one,7.48%,doubt,5.51%
man,in,9.09%,of,8.52%,with,8.52%
who,had,14.96%,was,9.45%,are,6.3%
he,said,17.47%,was,10.7%,had,7.78%
became,aware,12.12%,a,9.09%,more,6.06%
his,eyes,4.27%,own,3.07%,hand,2.73%
though,she,17.65%,it,15.69%,i,9.8%
may,be,19.23%,i,11.54%,not,9.62%
here,and,10.47%,is,6.98%,he,6.98%
then,she,12.4%,he,9.3%,they,5.04%
some,of,8.97%,one,8.07%,day,4.04%
go,on,21.63%,to,18.75%,home,9.62%
him,and,13.45%,she,5.32%,as,4.48%
through,the,26.92%,her,11.54%,a,9.62%
face,and,9.35%,she,7.48%,to,7.48%
now,i,11.18%,and,5.59%,she,4.97%
or,so,5.63%,the,4.33%,other,3.03%
never,seen,5.59%,been,4.9%,to,4.2%
not,to,8.84%,a,6.25%,go,2.37%
people,and,8.77%,in,6.14%,of,4.39%
say,to,7.84%,it,6.86%,you,6.86%
come,to,25.83%,home,10.83%,and,6.67%
off,to,11.76%,at,11.76%,her,10.29%
like,a,16.27%,the,10.53%,to,6.22%
which,she,15.27%,he,9.16%,was,8.4%
into,the,30.4%,a,19.38%,her,11.01%
side,of,29.09%,by,16.36%,and,9.09%
little,old,3.28%,vee,2.46%,and,2.05%
about,her,13.06%,the,12.71%,that,4.47%
sort,of,87.78%,i,3.33%,better,1.11%
went,on,34.67%,to,15.33%,off,6.0%
over,her,15.38%,the,13.85%,his,6.15%
going,to,48.62%,on,10.09%,about,5.5%
back,to,18.02%,and,10.81%,of,8.11%
much,as,13.27%,more,9.18%,to,8.16%
got,to,16.98%,up,12.26%,a,8.49%
make,you,10.0%,it,8.75%,a,7.5%
eyes,and,13.13%,on,10.1%,were,7.07%
new,life,6.35%,set,4.76%,world,4.76%
seemed,to,56.16%,always,3.42%,a,2.74%
what,i,9.29%,you,7.37%,is,6.41%
place,and,7.55%,to,7.55%,was,7.55%
me,i,5.84%,to,5.84%,he,5.5%
when,she,19.64%,i,13.1%,he,11.31%
looked,at,29.85%,up,10.45%,down,8.96%
moment,and,16.92%,i,9.23%,as,6.15%
oh,my,7.55%,god,5.66%,no,5.66%
great,and,8.82%,deal,7.35%,portland,2.94%
old,lady,15.62%,fashioned,4.69%,world,4.69%
their,very,3.25%,relationship,2.6%,talk,2.6%
work,and,17.72%,at,6.33%,of,3.8%
between,them,19.3%,the,10.53%,his,7.02%
life,and,7.46%,is,6.97%,of,6.47%
wanted,to,45.28%,you,9.43%,her,5.66%
did,not,40.8%,you,12.07%,i,5.75%
know,what,9.58%,i,8.98%,said,5.99%
do,you,16.27%,it,7.12%,not,4.75%
all,the,20.5%,that,6.83%,this,6.63%
how,can,11.02%,things,7.63%,it,6.78%
put,her,15.29%,the,14.12%,it,8.24%
were,in,4.56%,a,4.18%,the,3.42%
could,not,19.14%,be,8.02%,have,5.56%
these,things,15.38%,were,4.2%,places,2.1%
ever,and,13.11%,so,4.92%,had,4.92%
thinking,of,21.57%,about,17.65%,and,7.84%
most,of,23.08%,beautiful,7.69%,part,4.4%
being,a,6.67%,in,5.56%,interested,2.22%
aunt,and,10.78%,i,6.86%,she,6.86%
other,and,5.56%,things,4.63%,she,3.7%
must,be,19.49%,not,8.47%,have,7.63%
think,of,19.91%,i,14.16%,it,7.08%
upon,the,33.54%,her,18.9%,a,9.15%
they,were,14.12%,had,7.78%,are,6.34%
any,one,14.84%,of,5.47%,man,4.69%
found,herself,25.53%,it,11.7%,her,7.45%
away,from,31.67%,at,6.67%,in,6.67%
just,a,12.42%,as,10.46%,the,3.92%
rather,a,12.09%,than,5.49%,i,3.3%
nothing,to,9.64%,else,7.23%,of,7.23%
better,than,18.64%,said,5.08%,and,5.08%
table,and,27.45%,he,7.84%,she,5.88%
thing,is,8.85%,to,6.19%,that,6.19%
woman,and,9.64%,i,8.43%,who,6.02%
began,to,43.48%,a,5.8%,ann,5.8%
because,of,22.03%,i,18.64%,she,13.56%
took,up,10.34%,a,10.34%,her,10.34%
might,be,23.38%,have,15.58%,do,5.19%
good,of,6.25%,deal,4.46%,to,4.46%
asked,her,10.45%,ann,8.96%,you,7.46%
until,she,21.15%,the,21.15%,we,7.69%
men,and,14.46%,are,9.64%,in,6.02%
done,and,8.77%,in,5.26%,i,5.26%
night,she,14.29%,and,7.14%,after,5.36%
after,a,21.85%,all,20.17%,the,6.72%
my,dear,11.72%,god,5.08%,father,4.69%
dear,she,11.86%,said,6.78%,veronica,5.08%
you,are,7.48%,know,4.69%,i,3.97%
get,a,8.41%,away,8.41%,into,6.54%
look,at,24.62%,here,21.54%,for,6.15%
really,very,7.25%,a,4.35%,and,2.9%
if,you,18.4%,i,16.4%,she,10.4%
looking,at,26.87%,for,10.45%,up,4.48%
perhaps,she,8.22%,i,6.85%,a,5.48%
more,than,14.52%,and,11.29%,of,3.76%
than,a,14.29%,the,6.72%,she,5.88%
room,and,14.94%,with,5.75%,she,4.6%
beautiful,things,15.79%,and,10.53%,woman,5.26%
why,should,11.76%,did,8.82%,she,7.84%
day,and,8.51%,she,8.51%,to,7.45%
too,was,7.58%,much,6.06%,far,4.55%
women,in,6.67%,who,5.19%,are,4.44%
are,you,6.62%,not,6.62%,the,4.64%
always,everywhere,9.33%,been,5.33%,to,4.0%
felt,that,11.39%,she,10.13%,as,6.33%
your,father,11.65%,aunt,6.31%,own,3.4%
mr,manning,36.67%,stanley,33.33%,ramage,15.33%
indeed,she,11.76%,i,7.84%,to,5.88%
way,of,16.82%,to,14.95%,and,3.74%
everything,she,7.94%,was,7.94%,that,7.94%
am,i,14.41%,a,5.93%,glad,5.93%
anything,to,10.96%,else,8.22%,but,8.22%
understand,the,9.26%,she,5.56%,what,5.56%
long,time,12.68%,and,9.86%,as,8.45%
will,you,11.89%,be,11.19%,not,4.9%
same,time,12.96%,thing,3.7%,questions,3.7%
miss,miniver,52.99%,stanley,41.88%,brett,2.56%
talk,to,16.28%,of,15.12%,about,6.98%
hand,and,26.74%,on,5.81%,to,4.65%
our,little,2.78%,young,2.78%,lot,2.78%
we,are,18.96%,have,8.55%,can,7.06%
want,to,56.71%,you,10.37%,of,4.88%
ramage,she,9.4%,and,8.55%,was,4.27%
right,said,7.27%,in,7.27%,and,7.27%
ought,to,80.77%,never,5.77%,she,3.85%
us,i,5.95%,to,4.76%,have,3.57%
suppose,i,16.67%,a,6.41%,he,5.13%
still,more,7.32%,the,6.1%,with,4.88%
something,that,7.5%,of,5.0%,more,5.0%
voice,that,8.33%,of,8.33%,and,6.67%
take,it,14.81%,you,9.26%,a,7.41%
let,me,34.92%,us,17.46%,you,9.52%
capes,was,7.59%,had,6.33%,and,5.7%
miniver,and,10.94%,with,6.25%,she,4.69%
manning,and,8.49%,she,8.49%,in,6.6%
