word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,side,3.06%,up,2.04%,was,2.04%
veronica,ann,97.5%,dear,0.47%,now,0.31%
a,for,6.74%,in,6.66%,with,6.42%
love,in,19.55%,i,14.53%,of,7.82%
ann,said,27.96%,to,4.56%,and,3.42%
to,want,3.53%,seemed,3.11%,going,2.01%
her,of,9.08%,to,7.77%,in,5.63%
father,her,52.78%,your,16.67%,my,8.33%
of,out,2.88%,sort,2.81%,one,1.92%
the,of,12.7%,in,10.15%,to,5.38%
and,her,2.17%,him,1.27%,said,0.9%
in,and,2.61%,was,2.13%,her,1.37%
things,of,13.39%,these,8.66%,the,5.51%
last,at,64.77%,the,12.5%,a,4.55%
at,looked,2.98%,looking,2.68%,and,2.68%
home,go,18.02%,at,16.22%,come,11.71%
is,it,20.69%,that,8.51%,this,8.05%
one,every,6.05%,any,4.1%,no,4.1%
every,of,9.59%,thought,5.48%,to,2.74%
well,very,11.76%,as,8.4%,a,2.52%
girl,a,38.95%,the,10.53%,this,3.16%
so,and,11.7%,or,4.61%,was,4.26%
that,and,3.43%,of,3.19%,to,2.96%
she,that,5.24%,and,4.83%,as,2.88%
can,i,18.12%,you,13.77%,we,13.77%
even,not,13.41%,and,7.32%,can,2.44%
own,her,42.5%,his,22.5%,my,12.5%
first,the,37.97%,at,13.92%,his,5.06%
part,most,2.99%,things,2.99%,her,2.24%
stanley,mr,45.05%,miss,44.14%,mrs,4.5%
came,it,11.45%,he,8.4%,she,7.63%
down,sat,14.07%,put,5.19%,looked,4.44%
from,away,6.35%,different,2.01%,back,2.01%
quite,a,7.92%,and,5.94%,not,5.94%
have,i,23.51%,to,15.25%,you,9.3%
out,it,4.86%,things,3.24%,went,2.43%
with,and,3.17%,on,2.3%,love,2.08%
very,a,10.98%,the,7.95%,and,4.55%
had,she,34.14%,he,10.87%,that,4.73%
on,went,10.68%,go,9.24%,going,2.26%
such,of,9.23%,and,9.23%,on,4.62%
before,things,3.42%,him,3.42%,out,2.56%
but,it,1.93%,veronica,1.74%,you,1.54%
this,all,7.48%,of,6.31%,in,5.84%
time,a,36.81%,the,9.34%,this,7.69%
made,she,17.36%,and,12.5%,he,12.5%
it,of,5.03%,that,2.81%,and,2.81%
been,had,40.61%,have,28.48%,has,7.88%
was,she,18.05%,it,15.85%,he,9.92%
almost,and,8.93%,an,7.14%,was,5.36%
up,stood,6.19%,got,4.47%,made,2.75%
mind,her,56.2%,his,9.92%,of,7.44%
should,i,21.92%,why,16.44%,she,13.7%
be,to,53.79%,would,8.06%,must,5.45%
for,and,2.78%,her,1.61%,care,1.17%
there,and,8.37%,that,4.6%,but,3.77%
its,of,15.46%,in,6.19%,and,5.15%
has,one,21.25%,she,11.25%,it,10.0%
tell,to,31.17%,i,10.39%,you,10.39%
herself,found,16.44%,to,10.96%,of,6.16%
sat,she,28.17%,and,18.31%,veronica,14.08%
an,with,18.68%,in,8.24%,of,6.32%
would,she,24.23%,he,10.38%,it,10.0%
see,you,34.23%,to,30.63%,i,8.11%
