word type,number
everything,65602
adult,31
hate,0
function,36276
normal,number
the,3741
and,2477
a,2096
of,1951
he,1821
to,1678
was,1207
his,989
in,959
it,881
that,805
had,661
with,606
said,557
you,513
for,496
i,439
at,436
him,419
she,387
but,377
as,340
on,335
not,316
be,304
then,304
there,302
her,291
all,262
up,249
this,244
an,236
little,235
they,230
by,229
from,229
mr,228
one,227
were,212
so,205
about,205
is,197
lord,197
out,195
would,187
have,184
very,180
if,176
man,170
into,166
no,163
been,159
some,158
what,154
go,145
more,145
like,143
got,142
captain,137
came,135
did,133
do,130
now,130
tramp,128
could,127
upon,125
after,124
me,122
when,120
time,119
or,115
over,113
boy,112
my,112
things,111
them,109
which,106
went,105
get,104
just,104
these,102
know,101
down,98
who,95
something,95
himself,95
made,94
douglas,92
away,91
going,91
see,91
seemed,90
well,89
only,88
are,87
through,87
good,86
than,86
back,86
great,85
way,85
your,85
mrs,84
thought,83
quite,83
thing,83
old,82
before,82
chancellor,82
any,81
young,80
might,80
first,79
come,79
off,78
much,77
professor,77
two,76
william,76
other,74
how,73
too,72
head,72
lady,72
caravan,72
we,71
their,70
sort,70
moment,70
its,69
hand,69
voice,69
say,68
again,68
mind,67
face,66
still,66
bowles,66
sir,65
last,64
rather,63
eyes,63
almost,62
must,62
tell,60
large,60
think,60
here,60
asked,59
nothing,59
madeleine,59
suddenly,58
under,57
door,57
world,57
found,57
long,55
people,54
house,54
e,54
right,54
saw,54
night,54
such,53
darling,53
where,53
never,53
should,53
side,52
even,52
end,51
why,51
im,51
felt,51
ever,50
left,49
became,48
cried,48
room,48
day,47
those,46
thomas,46
look,46
life,45
looked,45
ought,45
behind,45
miss,45
can,44
has,44
men,44
road,43
knew,42
round,42
across,41
put,41
peter,41
feet,41
done,41
anything,40
better,40
want,39
also,39
place,39
most,39
because,38
woman,38
will,38
morning,38
three,38
took,37
against,37
open,37
wanted,37
always,37
white,36
sat,36
own,36
without,36
looking,36
candler,36
bit,36
half,35
already,35
turned,35
let,34
being,34
once,34
along,33
make,33
manner,33
presently,32
work,32
small,31
gave,31
perhaps,31
eye,31
lost,31
dick,31
week,30
until,30
towards,30
yet,30
set,29
enough,29
few,29
red,29
yes,29
gone,29
while,29
doing,29
dog,28
black,28
high,28
held,28
love,28
between,28
new,27
told,27
remained,27
everything,27
heart,27
fire,27
coming,27
though,27
course,27
stood,27
every,27
keep,27
far,27
idea,27
seen,27
suppose,27
among,26
anyhow,26
