word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,4.07%,lit,2.26%,up,2.26%
the,of,10.85%,in,8.76%,to,6.06%
at,up,3.11%,looked,2.63%,and,1.91%
was,he,23.62%,it,18.12%,there,9.33%
from,away,7.17%,him,2.69%,up,1.79%
made,he,20.22%,and,11.24%,had,8.99%
of,out,4.29%,sort,2.74%,one,1.76%
sir,said,17.74%,you,6.45%,of,4.84%
up,got,3.7%,stood,2.88%,get,2.88%
and,it,1.3%,up,1.22%,him,1.22%
i,if,6.14%,and,3.84%,said,3.32%
young,the,15.58%,fair,12.99%,said,9.09%
to,seemed,3.06%,ought,2.39%,going,2.14%
a,was,7.83%,with,6.89%,of,6.54%
tramp,the,96.88%,a,1.56%,this,0.78%
how,and,10.0%,but,8.57%,just,4.29%
is,it,13.68%,there,9.47%,that,6.84%
but,nothing,2.25%,it,1.4%,yes,1.4%
do,to,41.07%,i,5.36%,and,5.36%
not,did,19.59%,was,16.84%,could,9.28%
their,of,13.04%,with,5.8%,from,5.8%
they,that,6.39%,and,5.02%,when,4.11%
have,to,22.42%,would,16.97%,could,7.88%
other,the,35.62%,any,10.96%,each,5.48%
so,and,12.63%,was,8.42%,or,4.74%
be,to,46.57%,would,14.8%,must,7.94%
on,went,5.02%,go,4.39%,going,4.08%
great,a,24.71%,the,23.53%,with,7.06%
are,there,13.25%,you,13.25%,they,9.64%
under,the,9.26%,it,5.56%,from,3.7%
people,other,9.26%,of,7.41%,good,5.56%
too,was,7.46%,been,5.97%,only,5.97%
this,of,9.52%,all,6.93%,in,5.19%
came,he,21.54%,and,6.15%,they,5.38%
mr,said,30.73%,of,10.55%,and,3.67%
darling,mr,90.57%,mrs,9.43%
two,the,13.33%,or,9.33%,these,6.67%
with,and,2.74%,him,2.57%,then,1.72%
away,run,10.23%,get,7.95%,go,5.68%
now,and,14.4%,was,8.8%,but,7.2%
in,was,2.91%,him,2.27%,and,1.83%
which,in,9.52%,of,5.71%,to,4.76%
it,of,4.3%,about,3.1%,but,2.51%
for,him,2.29%,there,1.66%,still,1.25%
old,the,20.99%,an,7.41%,that,4.94%
had,he,41.33%,she,7.5%,it,5.67%
last,at,58.73%,the,19.05%,his,3.17%
long,a,38.18%,the,7.27%,had,7.27%
any,at,17.81%,than,8.22%,in,5.48%
boy,a,18.27%,the,11.54%,my,11.54%
his,of,13.27%,in,7.14%,to,5.0%
an,of,11.11%,with,10.26%,was,8.12%
only,not,14.81%,the,13.58%,was,9.88%
sort,the,18.75%,that,17.19%,a,14.06%
he,that,5.0%,and,3.96%,then,3.66%
did,he,35.71%,she,10.32%,it,7.14%
said,he,21.66%,she,8.51%,it,3.29%
that,of,3.26%,and,3.0%,him,2.35%
would,he,31.25%,it,11.93%,she,9.09%
go,to,33.91%,would,11.3%,not,6.96%
good,a,26.25%,the,7.5%,quite,5.0%
very,the,10.92%,a,9.2%,and,9.2%
him,to,9.49%,of,4.87%,at,4.62%
these,of,16.16%,all,7.07%,in,5.05%
suddenly,then,15.09%,and,11.32%,was,3.77%
as,and,4.26%,was,3.04%,soon,2.74%
she,and,4.85%,that,4.58%,but,3.23%
little,a,41.23%,the,10.96%,his,3.95%
all,and,10.0%,at,7.92%,it,6.67%
face,his,37.93%,the,20.69%,her,8.62%
way,the,19.05%,his,11.9%,a,8.33%
been,had,56.52%,have,17.39%,not,3.62%
going,was,11.59%,were,7.25%,you,5.8%
house,the,48.15%,public,12.96%,new,9.26%
if,as,8.07%,and,5.59%,not,2.48%
you,if,6.17%,tell,3.52%,do,2.64%
tell,to,30.19%,i,26.42%,you,7.55%
me,tell,11.32%,to,7.55%,let,3.77%
about,something,5.03%,all,3.52%,think,2.01%
no,was,16.11%,had,7.38%,made,4.03%
her,to,10.84%,in,8.74%,of,7.34%
then,and,50.35%,stuff,1.06%,it,1.06%
head,his,51.47%,the,17.65%,her,5.88%
one,was,5.69%,on,4.74%,and,4.74%
side,one,23.08%,the,15.38%,other,13.46%
your,of,8.75%,for,7.5%,keep,6.25%
door,the,45.61%,baize,10.53%,his,3.51%
see,you,35.06%,to,24.68%,could,9.09%
got,he,20.72%,had,13.51%,you,10.81%
rather,was,14.04%,a,8.77%,and,7.02%
out,get,3.65%,came,3.65%,was,3.12%
large,a,42.37%,the,8.47%,his,6.78%
man,a,18.67%,young,15.66%,the,12.65%
hand,his,23.53%,her,11.76%,a,8.82%
what,but,3.55%,know,3.55%,and,3.55%
say,to,35.48%,i,12.9%,you,9.68%
asked,he,32.76%,she,12.07%,i,3.45%
mrs,said,29.63%,and,12.35%,of,4.94%
moment,a,71.01%,the,4.35%,any,2.9%
something,was,12.9%,do,5.38%,be,4.3%
or,one,4.55%,him,3.64%,moment,2.73%
first,the,35.14%,at,21.62%,his,2.7%
get,to,39.33%,you,6.74%,i,5.62%
there,and,10.28%,that,3.9%,but,2.48%
thought,he,30.26%,the,18.42%,i,7.89%
world,the,75.93%,this,3.7%,a,3.7%
know,you,41.1%,i,20.55%,to,16.44%
well,so,8.43%,as,8.43%,very,4.82%
