word type,number
everything,55295
adult,0
hate,0
function,30944
normal,number
the,3126
and,2058
of,2045
a,1681
to,1213
in,941
is,887
it,730
i,717
that,620
with,473
for,443
he,412
at,404
as,394
his,378
but,344
you,340
be,328
was,323
this,323
not,305
are,299
have,295
all,290
or,287
so,263
one,258
they,257
there,252
an,245
my,243
on,240
we,212
by,205
me,193
she,188
your,187
her,186
no,184
has,170
then,166
some,162
will,161
from,153
him,151
if,150
may,147
their,146
little,143
would,141
these,140
do,138
man,137
had,137
upon,134
were,133
about,133
out,126
things,120
like,117
our,115
even,115
very,113
them,112
its,112
now,111
when,111
people,110
what,110
can,108
thing,106
who,105
more,103
into,100
up,95
way,94
only,92
been,90
after,90
such,87
should,86
must,85
us,83
which,83
time,83
most,78
than,77
other,74
know,74
see,74
too,73
think,72
never,70
go,70
any,69
say,68
last,68
over,68
how,66
yet,65
might,65
again,63
down,62
much,61
life,60
good,60
men,60
just,59
indeed,59
new,58
day,58
kind,56
world,55
find,55
cannot,54
well,53
before,53
certain,52
without,52
old,52
house,51
literary,51
ever,51
said,50
still,50
am,50
always,50
through,49
every,49
hand,49
first,48
something,48
could,47
once,47
get,47
come,47
another,47
why,47
perhaps,46
here,46
young,45
own,45
make,45
those,44
among,43
great,43
away,43
place,43
really,43
book,42
take,42
least,41
sometimes,41
being,41
though,40
far,40
mere,39
two,39
where,39
let,39
does,38
same,38
thought,38
end,38
himself,38
look,37
quite,37
mr,36
mind,36
spelling,35
nothing,35
while,35
comes,35
years,34
matter,34
long,34
says,34
home,34
full,34
came,34
days,33
almost,33
made,33
human,33
imagine,33
because,33
however,32
work,32
off,32
reason,32
chess,31
three,31
many,31
four,31
white,31
altogether,31
seems,31
art,30
back,30
sea,30
went,29
goes,29
doubt,29
blade,29
conversation,28
part,28
paper,28
keep,28
instance,28
common,28
wife,27
until,27
simply,27
face,27
write,27
lady,26
poor,26
enough,26
water,26
blue,26
going,26
presently,26
course,26
red,25
want,25
myself,25
times,25
rather,25
against,25
one's,25
whole,25
suddenly,25
green,25
head,24
seaside,24
beauty,24
since,24
left,24
black,24
light,24
half,24
woman,24
eye,24
next,24
set,24
scarcely,23
under,23
true,23
nor,23
hair,23
read,23
better,23
found,23
literature,23
food,23
flowers,22
did,22
don't,22
less,22
case,22
business,22
tell,22
reader,22
person,22
name,22
coal,21
having,21
books,21
known,21
dead,21
towards,21
show,21
rest,21
friends,21
possible,21
professor,21
game,21
aunt,20
dear,20
love,20
hat,20
room,20
understand,20
put,20
begin,20
fancy,20
sweet,20
few,20
saw,20
nature,19
best,19
live,19
gone,19
delightful,19
between,19
morning,19
looking,19
done,19
it's,19
thoughts,18
remember,18
vast,18
each,18
possibly,18
plain,18
feel,18
fire,18
living,18
instead,18
round,18
gloves,18
eyes,18
certainly,18
began,18
natural,18
dinner,18
words,18
others,18
creature,18
right,18
beyond,18
sky,18
small,17
knows,17
shall,17
neither,17
air,17
country,17
give,17
seem,17
turn,17
fact,17
pretty,17
talk,17
public,17
earth,17
large,17
pen,17
essay,17
london,16
di,16
novel,16
staying,16
proper,16
suppose,16
passed,16
flower,16
getting,16
needs,16
anything,16
becomes,16
self,16
story,16
seen,16
also,16
play,16
grey,16
present,16
animal,16
trouble,15
language,15
lover,15
got,15
lost,15
boy,15
together,15
heart,15
above,15
either,15
called,15
impossible,15
taste,15
hands,15
hard,15
letters,15
respect,15
sit,15
everything,15
except,15
social,15
hour,15
heard,15
along,15
sun,15
suggestion,15
surely,15
ago,15
personal,14
theory,14
word,14
change,14
alone,14
past,14
year,14
beautiful,14
line,14
street,14
quiet,14
given,14
fellow,14
clever,14
different,14
across,14
often,14
simple,14
future,14
artistic,14
cleverness,13
writing,13
museum,13
pleasure,13
fine,13
extremely,13
early,13
buy,13
six,13
deep,13
price,13
turned,13
houses,13
use,13
took,13
probably,13
boots,13
lot,13
hear,13
perfect,13
yourself,13
girl,13
ordinary,13
making,13
themselves,13
anyone,13
written,13
dark,13
friend,13
body,13
door,13
humanity,13
gentleman,13
playing,13
clay,13
train,13
pose,12
makes,12
colour,12
else,12
cheap,12
women,12
ten,12
heaven,12
told,12
tried,12
general,12
mine,12
wind,12
trying,12
believe,12
worse,12
none,12
coloured,12
wrong,12
excellent,12
real,12
beginning,12
easy,12
happy,12
creatures,12
point,12
forgotten,12
box,12
question,12
hundred,12
moment,12
sir,12
road,12
score,12
delight,12
stick,12
tea,12
subtle,12
growing,12
ask,12
vision,12
bright,12
leaves,12
seemed,12
became,12
soon,12
charlotte,11
household,11
blades,11
shopman,11
quotation,11
quarrelling,11
close,11
speak,11
call,11
escape,11
knew,11
window,11
strange,11
side,11
bother,11
age,11
practice,11
energy,11
unless,11
pipe,11
truth,11
voice,11
glow,11
wild,11
coming,11
twenty,11
man's,11
become,11
sat,11
sorrow,11
existence,11
station,11
looked,11
taken,11
particular,11
fashion,11
remote,11
scientific,11
middle,11
class,11
means,11
view,11
ought,11
further,11
clearly,11
near,11
land,11
space,11
size,11
trees,11
dabbler,11
page,10
essays,10
forest,10
used,10
youth,10
curse,10
secret,10
quality,10
played,10
piece,10
stand,10
high,10
leave,10
care,10
garden,10
hall,10
whether,10
curious,10
phase,10
top,10
try,10
bye,10
lives,10
doing,10
walk,10
brain,10
gives,10
remains,10
foolish,10
style,10
husband,10
