word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
and,the,7.4%,a,3.48%,then,2.84%
the,most,1.29%,same,1.2%,thing,1.2%
certain,personal,7.69%,lady,3.85%,flagrant,1.92%
on,the,28.99%,a,10.5%,one,2.52%
my,own,8.71%,aunt,4.15%,mind,2.9%
of,the,19.14%,a,5.91%,his,2.34%
a,little,4.14%,certain,2.04%,man,1.8%
in,the,29.15%,a,9.54%,this,3.86%
literary,household,15.69%,men,11.76%,person,7.84%
as,the,11.99%,a,11.73%,i,5.61%
an,art,2.89%,hour,2.48%,essay,2.48%
new,entertainment,6.9%,and,6.9%,hat,3.45%
for,the,17.51%,a,10.14%,instance,5.99%
at,the,21.65%,last,9.28%,least,9.02%
from,the,35.14%,a,4.05%,my,3.38%
how,to,9.23%,much,7.69%,i,4.62%
i,have,10.5%,am,6.58%,was,3.92%
world,to,5.45%,and,5.45%,of,5.45%
people,who,8.18%,and,6.36%,i,5.45%
some,of,6.17%,day,3.09%,such,3.09%
will,be,17.39%,not,6.83%,presently,3.11%
it,is,27.43%,was,10.29%,may,4.39%
to,the,10.21%,be,6.03%,a,3.26%
one,of,13.33%,may,6.67%,might,5.1%
or,so,7.83%,a,7.47%,the,4.63%
other,things,6.76%,hand,6.76%,people,5.41%
all,the,22.76%,that,4.48%,these,4.48%
such,a,27.59%,an,6.9%,as,6.9%
us,with,7.32%,say,7.32%,and,6.1%
were,not,6.82%,the,6.06%,it,3.79%
very,well,7.08%,much,4.42%,good,2.65%
had,a,13.14%,been,12.41%,no,2.92%
no,doubt,11.54%,more,4.95%,reason,4.4%
have,been,9.18%,to,7.14%,a,4.76%
was,a,14.69%,the,5.62%,not,4.06%
by,the,24.49%,a,7.14%,some,4.08%
that,is,7.54%,i,6.39%,the,5.74%
think,of,20.0%,it,12.86%,that,12.86%
there,is,32.54%,are,16.27%,was,15.08%
now,and,13.76%,i,5.5%,the,5.5%
when,the,18.18%,i,15.45%,he,10.0%
her,in,2.15%,i,1.61%,own,1.61%
way,of,18.09%,and,10.64%,to,6.38%
she,had,7.98%,is,7.45%,was,5.32%
not,a,4.93%,know,4.28%,the,4.28%
like,a,20.87%,the,14.78%,that,7.83%
say,the,8.96%,that,7.46%,a,4.48%
them,and,8.93%,in,6.25%,they,5.36%
been,a,4.49%,able,3.37%,something,2.25%
which,he,7.41%,i,6.17%,is,6.17%
they,are,13.33%,were,9.41%,have,8.24%
me,to,9.33%,and,7.25%,i,6.74%
is,a,12.12%,the,9.4%,not,4.76%
are,the,4.01%,not,3.34%,a,3.01%
our,vicar,4.35%,lives,2.61%,own,2.61%
kind,of,83.93%,the,5.36%,all,1.79%
good,things,6.67%,example,5.0%,and,3.33%
most,of,21.79%,delightful,3.85%,impossible,2.56%
thing,to,11.32%,is,6.6%,that,6.6%
little,boy,7.09%,while,3.55%,things,2.13%
only,a,8.7%,one,6.52%,the,4.35%
with,a,18.55%,the,15.57%,his,4.26%
things,in,8.47%,that,7.63%,i,5.93%
too,much,10.96%,late,5.48%,the,4.11%
last,to,4.41%,we,4.41%,i,4.41%
ever,and,7.84%,so,5.88%,been,5.88%
can,see,9.26%,be,7.41%,do,3.7%
if,you,16.22%,it,11.49%,i,9.46%
you,are,6.82%,have,5.34%,will,4.75%
this,is,11.78%,way,4.14%,kind,2.55%
do,not,39.86%,it,7.97%,with,5.07%
these,things,7.86%,are,3.57%,days,2.14%
their,way,2.78%,lives,2.08%,minds,2.08%
who,has,7.62%,have,7.62%,is,5.71%
know,the,8.33%,not,5.56%,that,5.56%
life,and,13.56%,the,10.17%,is,8.47%
more,than,15.53%,or,2.91%,and,2.91%
than,the,15.79%,a,10.53%,that,3.95%
out,of,45.6%,the,3.2%,to,3.2%
never,to,5.71%,been,5.71%,have,4.29%
but,the,8.82%,i,7.06%,a,7.06%
we,have,8.02%,are,8.02%,were,5.66%
then,the,7.45%,it,5.59%,there,4.97%
even,the,10.43%,now,8.7%,when,6.09%
so,far,8.08%,much,6.54%,to,6.15%
would,be,21.99%,have,11.35%,not,7.09%
about,the,18.4%,with,4.8%,and,4.0%
what,is,13.76%,he,6.42%,it,5.5%
without,a,11.76%,any,11.76%,the,5.88%
old,boot,11.54%,boots,7.69%,days,5.77%
well,to,9.62%,known,5.77%,meaning,5.77%
men,in,10.34%,and,10.34%,who,8.62%
time,the,7.59%,and,6.33%,it,6.33%
has,been,14.2%,a,8.88%,to,5.92%
man,who,6.62%,is,5.88%,of,5.88%
be,the,5.18%,a,4.57%,in,2.13%
again,and,16.39%,the,6.56%,i,4.92%
day,of,10.71%,and,7.14%,in,5.36%
just,as,28.81%,a,8.47%,to,6.78%
upon,the,22.14%,a,7.63%,me,6.87%
may,be,40.82%,have,4.76%,even,2.72%
your,common,2.14%,guests,2.14%,way,1.6%
its,own,3.57%,last,2.68%,place,1.79%
he,is,6.81%,was,6.57%,has,5.35%
should,be,20.0%,not,10.59%,have,7.06%
into,the,28.57%,a,19.39%,his,6.12%
indeed,to,10.34%,that,6.9%,a,6.9%
cannot,be,12.96%,imagine,3.7%,say,3.7%
after,all,21.11%,a,17.78%,the,13.33%
must,be,28.24%,have,14.12%,not,8.24%
see,the,20.55%,a,5.48%,it,4.11%
find,it,12.96%,a,7.41%,some,7.41%
any,other,5.88%,more,2.94%,chance,2.94%
up,the,12.63%,and,8.42%,in,6.32%
yet,it,10.94%,i,7.81%,the,6.25%
might,be,25.0%,have,14.06%,do,6.25%
over,the,35.29%,a,10.29%,his,4.41%
his,way,2.38%,own,2.12%,face,1.85%
much,as,11.48%,for,8.2%,of,6.56%
him,and,8.67%,with,6.0%,to,5.33%
go,to,21.43%,on,14.29%,about,8.57%
before,the,31.37%,he,7.84%,i,7.84%
down,to,12.9%,the,9.68%,and,9.68%
