word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,2.94%,matters,1.96%,staying,1.47%
and,now,0.74%,me,0.69%,him,0.64%
the,of,12.44%,in,8.79%,and,4.88%
at,and,4.02%,staying,3.27%,look,2.51%
on,go,4.31%,keep,2.59%,it,2.16%
my,of,15.83%,in,6.67%,for,4.58%
of,out,2.81%,kind,2.32%,one,1.68%
life,of,25.0%,my,8.33%,human,5.0%
a,of,7.11%,is,6.4%,in,5.32%
literary,the,27.45%,a,21.57%,of,13.73%
as,far,4.87%,just,4.36%,is,2.56%
an,is,9.05%,of,7.82%,with,6.58%
man,a,21.9%,of,6.57%,the,6.57%
in,and,2.9%,is,1.72%,things,1.07%
i,and,7.18%,that,5.49%,but,3.38%
world,the,61.82%,a,7.27%,whole,5.45%
people,of,9.09%,scientific,4.55%,the,4.55%
some,of,8.64%,for,6.79%,in,6.79%
will,you,10.06%,he,9.43%,it,8.18%
it,of,3.9%,and,3.06%,but,3.06%
to,have,1.75%,is,1.58%,me,1.5%
one,and,4.67%,is,3.5%,no,3.11%
or,three,2.87%,this,1.43%,one,1.08%
other,the,27.03%,or,10.81%,each,8.11%
all,at,9.41%,and,8.36%,after,6.62%
such,of,6.9%,for,5.75%,with,5.75%
us,let,15.66%,of,10.84%,to,4.82%
were,they,18.32%,it,14.5%,we,9.16%
very,a,16.81%,the,15.93%,all,3.54%
had,i,18.66%,she,11.19%,he,8.96%
no,is,16.48%,have,4.95%,are,4.95%
have,i,25.6%,to,7.85%,they,7.17%
was,it,23.51%,there,11.91%,i,8.78%
that,and,5.73%,of,3.27%,all,2.13%
think,i,30.56%,to,29.17%,not,8.33%
there,and,10.4%,that,4.8%,then,3.2%
now,even,9.01%,but,8.11%,is,6.31%
when,even,6.36%,that,3.64%,and,3.64%
her,of,12.37%,in,11.29%,with,4.84%
way,this,13.83%,the,9.57%,his,9.57%
she,and,6.38%,when,4.79%,if,4.79%
not,do,18.09%,is,13.82%,does,5.26%
like,is,5.17%,the,3.45%,not,2.59%
say,i,29.41%,to,20.59%,us,8.82%
them,of,15.18%,with,5.36%,to,3.57%
been,have,30.68%,has,27.27%,had,19.32%
which,in,13.25%,with,6.02%,of,4.82%
they,and,8.66%,that,4.72%,as,4.33%
me,to,11.92%,upon,4.66%,for,4.15%
is,it,23.04%,there,9.45%,that,5.3%
are,there,13.95%,they,11.56%,you,7.82%
how,and,7.69%,think,4.62%,show,4.62%
our,of,13.16%,and,5.26%,in,5.26%
kind,a,39.29%,this,14.29%,the,14.29%
good,a,16.67%,the,8.33%,as,5.0%
most,the,51.95%,and,7.79%,their,2.6%
thing,the,34.91%,a,12.26%,of,7.55%
for,not,2.73%,me,1.14%,that,1.14%
little,a,48.25%,the,10.49%,this,2.8%
only,the,26.09%,is,8.7%,not,7.61%
with,and,4.73%,me,2.37%,him,1.94%
things,these,9.24%,the,7.56%,of,7.56%
too,is,16.44%,was,8.22%,so,5.48%
last,at,52.94%,the,20.59%,its,4.41%
ever,has,17.65%,for,11.76%,and,7.84%
can,i,17.59%,you,12.04%,one,11.11%
if,as,5.52%,and,4.14%,even,3.45%
you,if,7.14%,and,3.57%,as,3.57%
this,of,11.84%,in,11.21%,to,3.43%
do,i,19.71%,to,16.79%,they,12.41%
these,of,12.14%,all,9.29%,in,6.43%
their,in,12.33%,of,10.96%,and,10.27%
who,those,13.0%,man,9.0%,people,9.0%
know,i,24.66%,not,17.81%,you,16.44%
new,a,31.48%,the,20.37%,some,5.56%
more,no,8.74%,the,6.8%,nothing,3.88%
than,more,21.05%,rather,10.53%,better,6.58%
out,find,2.38%,him,2.38%,blotted,1.59%
never,and,7.25%,i,5.8%,he,5.8%
but,it,2.05%,anything,1.46%,perhaps,1.17%
we,that,7.18%,as,4.31%,if,4.31%
then,and,35.8%,me,1.23%,them,1.23%
even,and,12.17%,may,3.48%,are,2.61%
so,and,18.6%,or,8.53%,is,5.43%
would,it,9.85%,i,9.09%,she,7.58%
about,go,4.62%,goes,3.08%,set,3.08%
what,of,10.19%,and,7.41%,not,5.56%
without,and,7.69%,but,3.85%,be,3.85%
