word type,number
everything,339476
adult,33
hate,0
function,188135
normal,number
the,19859
and,13502
of,11101
a,9764
to,8119
in,5378
i,4973
he,4823
was,4375
it,4152
that,4050
his,3076
with,2933
she,2740
had,2540
you,2498
her,2495
at,2400
for,2394
as,2183
said,2159
is,2018
but,1901
on,1797
be,1536
not,1519
all,1471
this,1460
one,1431
my,1393
him,1363
they,1355
have,1340
there,1279
by,1254
an,1227
then,1194
from,1190
were,1144
so,1121
me,1109
up,1066
out,1027
or,1007
we,976
no,958
about,955
are,942
little,920
man,915
into,894
if,837
what,835
would,813
some,768
very,763
do,734
them,723
been,720
ann,715
upon,683
like,668
mr,660
their,642
veronica,642
more,622
down,621
things,617
now,615
came,608
time,608
over,602
could,569
when,565
these,559
go,554
after,533
went,526
your,526
its,518
did,511
which,506
who,489
again,485
men,485
will,484
people,484
made,464
know,463
see,451
only,447
way,446
must,445
through,439
any,436
just,434
think,433
back,422
has,413
two,411
thing,409
than,401
can,401
before,401
seemed,389
get,388
other,384
still,380
thought,378
first,376
got,366
how,359
even,359
something,355
may,355
come,354
life,354
our,351
last,350
well,347
face,337
door,328
saw,328
good,322
going,319
hand,318
might,316
mind,316
world,316
us,316
quite,315
away,313
never,313
much,311
day,310
here,310
too,305
such,304
found,299
off,298
room,293
most,292
say,290
house,287
great,283
should,280
nothing,274
want,270
under,269
eyes,267
being,261
moment,259
suddenly,259
old,255
stood,254
every,253
why,253
night,251
voice,248
three,247
own,246
part,244
long,243
am,243
young,240
himself,238
put,238
side,236
love,236
black,235
another,233
began,230
heard,228
towards,228
place,227
tell,227
miss,227
head,225
lord,225
left,221
across,220
those,220
right,220
make,218
once,217
road,214
sort,214
almost,214
kemp,213
against,211
white,211
behind,208
looked,208
without,207
work,207
perhaps,206
mrs,205
where,205
end,205
turned,204
rather,204
feet,204
invisible,203
yet,201
until,199
ever,199
between,196
while,195
home,195
asked,194
round,192
women,192
felt,190
let,189
red,188
sat,185
far,185
fire,182
herself,181
became,181
take,179
light,179
woman,179
hall,178
look,178
open,178
always,178
air,177
indeed,176
took,175
done,174
new,174
because,174
looking,172
half,170
window,169
though,167
among,166
seen,164
better,164
along,164
martians,163
suppose,162
capes,162
hands,161
myself,161
each,160
anything,159
four,158
father,158
matter,153
really,151
street,150
same,150
find,150
move,150
boy,150
coming,149
water,149
course,148
everything,147
london,147
presently,146
lady,146
morning,146
tramp,146
days,144
captain,144
keep,143
talk,143
certain,142
also,140
next,140
idea,139
altogether,138
large,138
told,137
understand,136
already,136
beyond,136
gun,136
blue,134
within,134
cried,132
girl,132
set,132
game,131
full,130
human,129
knew,129
table,128
aunt,128
many,127
gone,126
clear,125
whole,125
sir,123
near,123
common,122
shall,122
enough,121
ramage,121
it's,120
gave,120
possible,120
ought,120
green,119
country,119
guns,119
give,118
marvel,116
together,116
brother,116
tried,115
manner,114
yes,114
paper,114
dear,114
houses,114
bit,113
slowly,113
hill,113
strange,112
six,112
small,112
passed,112
mean,112
position,111
stanley,111
fact,109
eye,109
high,108
both,108
manning,108
running,107
few,107
corner,107
kind,107
second,106
seem,105
wife,105
wanted,105
least,104
dark,103
hair,103
doing,103
smoke,103
professor,103
lay,102
hard,102
business,102
trees,102
else,101
beautiful,101
cavalry,101
does,100
dead,99
ran,99
making,99
standing,98
stopped,98
sometimes,98
doubt,98
