word type,number
everything,15456
adult,0
hate,0
function,8401
normal,number
the,972
of,655
and,569
a,436
to,408
in,237
it,178
is,176
be,165
his,159
men,155
for,137
one,130
with,125
or,121
move,120
that,119
gun,115
at,108
as,106
by,100
are,100
cavalry,100
we,94
he,93
if,88
infantry,84
on,83
i,79
not,79
two,79
game,77
have,76
but,73
was,70
little,68
guns,68
this,64
man,63
an,58
there,58
up,55
six,55
will,54
may,54
they,52
out,49
force,49
within,49
any,48
farm,47
its,47
into,47
from,46
each,46
more,45
can,45
has,45
then,45
fire,45
must,45
country,44
moves,42
player,42
side,42
all,41
so,41
which,41
four,39
battle,38
would,38
our,37
three,37
prisoners,37
made,36
line,36
them,34
time,33
no,33
had,33
war,32
their,32
feet,32
right,32
every,31
now,31
left,31
back,30
upon,30
than,30
position,29
other,29
who,28
rules,28
soldiers,28
were,28
these,28
over,28
red,28
my,28
first,27
could,27
inches,27
red's,27
about,26
do,26
hook's,24
end,24
melee,24
only,23
own,23
shall,23
down,22
five,22
after,22
wars,21
very,21
moved,21
kriegspiel,20
players,20
such,20
foot,20
put,20
open,20
number,20
between,19
behind,19
blue,19
church,19
been,18
take,18
also,18
when,18
next,18
before,18
isolated,18
half,18
less,17
both,17
go,17
here,17
fight,17
second,17
get,17
you,17
let,16
illustration,16
too,16
should,16
either,16
action,16
forces,15
last,15
shot,15
still,15
what,15
charging,15
blue's,15
like,14
seven,14
me,14
him,14
decided,14
cover,14
off,14
taken,14
figure,14
played,13
until,13
make,13
us,13
possible,13
long,13
fired,13
set,13
dead,13
while,13
much,13
middle,13
without,13
general,13
killed,13
how,12
most,12
toy,12
ten,12
distance,12
contact,12
large,12
found,12
some,12
order,12
enemy,12
charged,12
troops,12
better,11
point,11
small,11
least,11
minutes,11
just,11
course,11
supplies,11
forward,11
fig,11
points,11
given,11
field,11
kills,11
hand,10
under,10
another,10
play,10
once,10
came,10
battles,10
yet,10
did,10
come,10
attack,10
moving,10
ammunition,10
eight,10
retreat,10
available,10
exactly,10
b,10
charge,10
warfare,9
wood,9
advance,9
floor,9
got,9
might,9
houses,9
cut,9
see,9
because,9
whole,9
