word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,31.0%,a,12.0%,one,5.0%
and,the,7.58%,so,2.71%,then,2.53%
little,wars,30.88%,war,10.29%,warfare,4.41%
a,gun,6.21%,move,3.91%,game,2.3%
game,of,6.58%,was,6.58%,is,6.58%
for,the,17.52%,every,11.68%,each,9.49%
of,the,24.77%,a,5.76%,his,4.83%
to,the,13.3%,be,6.65%,a,4.43%
one,foot,11.54%,move,10.0%,man,6.92%
that,the,5.04%,if,4.2%,a,4.2%
with,the,17.89%,a,15.45%,his,6.5%
an,inch,12.07%,infantry,6.9%,ordinary,5.17%
on,the,27.71%,a,10.84%,his,8.43%
i,have,21.52%,am,8.86%,think,6.33%
the,game,2.89%,gun,2.68%,country,2.58%
move,to,8.62%,of,8.62%,the,6.03%
is,a,8.52%,the,5.68%,not,5.68%
in,the,27.12%,a,8.05%,its,2.97%
it,is,21.91%,was,8.43%,and,3.93%
be,made,5.49%,moved,4.88%,played,3.05%
if,there,15.91%,it,13.64%,the,11.36%
this,is,7.81%,little,6.25%,in,4.69%
but,if,12.33%,the,6.85%,not,6.85%
there,is,32.76%,are,18.97%,was,13.79%
was,to,8.57%,a,5.71%,not,5.71%
his,men,6.92%,right,6.92%,left,5.66%
they,are,30.77%,can,7.69%,must,7.69%
up,to,20.0%,a,10.91%,the,7.27%
men,and,10.39%,of,7.14%,within,6.49%
we,found,9.57%,decided,7.45%,made,6.38%
as,to,12.75%,the,10.78%,a,6.86%
gun,and,10.62%,is,9.73%,fire,4.42%
at,the,37.38%,least,10.28%,a,7.48%
are,not,8.0%,made,3.0%,the,3.0%
guns,and,14.29%,are,6.35%,were,3.17%
or,in,3.48%,four,3.48%,five,2.61%
man,for,10.0%,and,8.33%,kills,6.67%
he,has,7.53%,had,6.45%,must,6.45%
not,be,8.86%,only,6.33%,a,5.06%
have,been,9.21%,to,5.26%,a,3.95%
six,inches,38.18%,moves,12.73%,or,5.45%
two,feet,16.46%,men,10.13%,moves,7.59%
infantry,man,14.63%,in,8.54%,and,4.88%
cavalry,and,16.49%,man,8.25%,charges,6.19%
will,be,38.89%,find,3.7%,see,3.7%
may,be,46.3%,put,3.7%,take,3.7%
