word type,number
everything,48667
adult,0
hate,0
function,25789
normal,number
the,3325
and,2064
a,1370
of,1319
to,1001
he,968
i,920
in,769
was,735
his,710
said,531
it,524
that,443
with,360
you,347
at,331
had,326
but,284
my,284
as,283
for,278
on,269
him,262
then,249
man,243
mr,223
kemp,213
up,210
me,206
invisible,181
an,180
there,177
out,176
all,176
down,172
by,170
door,169
is,168
not,162
have,155
this,153
she,151
into,150
hall,149
be,146
no,145
came,144
one,143
were,143
went,141
so,135
from,133
what,133
they,133
over,119
again,118
room,117
little,116
her,115
marvel,114
about,114
it's,101
very,97
or,96
if,96
some,94
been,93
voice,92
back,91
like,91
face,90
could,90
do,90
did,86
would,86
mrs,85
saw,84
made,80
them,79
suddenly,79
window,78
stood,78
heard,76
after,76
must,75
house,74
hand,74
through,72
when,72
get,70
see,69
now,69
don't,69
time,68
are,68
still,67
more,65
know,64
stranger,63
things,63
just,63
two,63
moment,62
open,60
upon,59
before,59
go,59
off,57
turned,57
feet,57
began,56
white,55
himself,55
round,55
got,55
first,54
put,54
only,54
i'm,54
who,53
behind,53
glass,53
head,52
way,52
thought,50
three,50
something,49
street,48
away,48
air,48
any,48
last,47
another,47
seemed,46
will,46
quite,46
books,46
found,46
well,45
we,45
which,44
light,44
people,44
he's,44
come,44
towards,43
bunting,43
left,42
here,42
eyes,42
thing,42
tell,42
table,41
under,41
your,41
being,41
going,41
asked,41
took,40
can,40
looked,40
its,40
men,40
sat,39
nothing,39
too,38
how,38
old,38
where,38
may,37
place,37
empty,37
parlour,36
good,36
sir,36
am,36
right,36
other,36
mariner,35
while,34
cuss,33
day,33
road,33
myself,33
ran,33
than,32
hands,32
these,32
once,32
corner,32
might,32
opened,32
coming,32
running,31
hat,31
bar,31
mind,31
think,31
great,30
cried,30
looking,30
across,30
most,30
should,30
want,30
paper,30
strange,29
chapter,29
every,29
staring,29
work,29
such,29
has,29
bottles,28
own,28
front,28
stopped,28
night,28
those,28
i've,28
upstairs,28
until,27
done,27
idea,27
stared,27
village,27
yes,27
along,27
huxter,27
griffin,27
black,26
against,26
indeed,26
make,26
say,26
four,26
doors,26
their,26
hill,26
take,25
why,25
enough,25
arm,25
outside,25
tried,25
figure,25
rushed,25
story,25
downstairs,25
visible,25
felt,24
bit,24
kitchen,24
gave,24
chair,24
understand,24
half,24
steps,24
shop,24
study,24
let,23
keep,23
sound,23
everything,23
between,23
clothes,23
course,23
that's,23
passed,23
became,23
policeman,23
teddy,22
flung,22
help,22
mouth,22
whole,22
though,22
even,22
sort,22
caught,22
world,22
appeared,22
revolver,22
certain,21
much,21
inn,21
give,21
curious,21
i'll,21
abruptly,21
shut,21
bed,21
money,21
ground,21
near,21
vanished,21
without,20
long,20
didn't,20
never,20
certainly,20
presently,20
told,20
quiet,20
possible,20
struck,20
locked,20
there's,20
slowly,20
morning,20
windows,20
full,20
thomas,19
dr,19
visitor,19
foot,19
suppose,19
perhaps,19
ain't,19
because,19
sleep,19
side,18
rest,18
floor,18
boots,18
remained,18
closed,18
matter,18
second,18
seen,18
cold,18
close,18
can't,18
gone,18
fell,18
fool,18
save,18
almost,18
ever,18
terror,18
man's,17
horses,17
fire,17
lay,17
coat,17
shoulder,17
sitting,17
part,17
fact,17
dark,17
stranger's,17
afternoon,17
you're,17
look,17
manner,17
seeing,17
together,17
minute,17
end,17
straight,17
already,17
eye,17
hit,17
days,17
staircase,17
mean,17
unseen,17
food,17
port,16
followed,16
yard,16
minutes,16
started,16
hold,16
says,16
better,16
what's,16
next,16
business,16
box,16
violently,16
slammed,16
trying,16
stand,16
sleeve,16
forward,16
doubt,16
blood,16
nose,15
alone,15
standing,15
blue,15
turn,15
also,15
quietly,15
hard,15
beginning,15
dog,15
listening,15
nor,15
broken,15
aside,15
find,15
ten,15
happened,15
dressing,15
poker,15
bolts,15
far,15
invisibility,15
shall,15
cat,15
coach,14
snow,14
show,14
big,14
entered,14
taken,14
pulled,14
red,14
space,14
five,14
i'd,14
point,14
six,14
past,14
passage,14
bedroom,14
extraordinary,14
ordinary,14
crowd,14
fingers,14
country,14
struggle,14
burdock,14
mad,13
marvel's,13
human,13
couple,13
noticed,13
seem,13
sent,13
altogether,13
person,13
really,13
shot,13
sheet,13
dozen,13
legs,13
everyone,13
blow,13
landing,13
anything,13
silence,13
among,13
young,13
read,13
lord,13
smashed,13
short,13
shouting,13
rush,13
aware,13
thud,13
barman,13
stop,12
turning,12
spectacles,12
returned,12
rather,12
same,12
repeated,12
putting,12
bandaged,12
rose,12
walked,12
clear,12
talking,12
clock,12
whatever,12
set,12
hear,12
odd,12
faint,12
beyond,12
scared,12
both,12
shutters,12
forthwith,12
stuff,12
tramp,12
years,12
wonderful,12
cabman,12
gas,12
remember,12
itself,11
guest,11
lit,11
feeling,11
called,11
girl,11
muffled,11
blind,11
cut,11
answered,11
o'clock,11
weather,11
wide,11
huge,11
clearly,11
getting,11
none,11
green,11
woman,11
hall's,11
sight,11
headlong,11
en,11
forth,11
bottle,11
others,11
view,11
blinds,11
silly,11
pocket,11
except,11
candle,11
someone,11
arms,11
run,11
beard,11
hesitated,11
doctor,11
watching,11
plans,11
game,11
imagine,11
transparent,11
plan,10
walking,10
station,10
carried,10
name,10
cloth,10
glasses,10
collar,10
above,10
neck,10
bandages,10
holding,10
speaking,10
glanced,10
resumed,10
lips,10
yet,10
you'd,10
hardly,10
believe,10
kill,10
doing,10
however,10
hour,10
hours,10
worked,10
position,10
police,10
home,10
twenty,10
sprang,10
wouldn't,10
smash,10
extra,10
neither,10
vicar,10
drink,10
devil,10
gown,10
realised,10
heavy,10
dropped,10
gripped,10
em,10
you'll,10
sharply,10
fools,10
become,10
square,10
town,10
tram,10
dining,10
movement,10
water,10
axe,10
thousand,9
furniture,9
jolly,9
cricketers,9
surprised,9
answer,9
rapped,9
moved,9
raised,9
brought,9
hidden,9
reason,9
nerves,9
luggage,9
opening,9
ago,9
painful,9
silent,9
state,9
rage,9
wasn't,9
middle,9
straw,9
swiftly,9
stairs,9
children,9
angry,9
life,9
sudden,9
knew,9
led,9
within,9
footsteps,9
oh,9
feel,9
seems,9
bare,9
action,9
screamed,9
always,9
heaven,9
rolled,9
making,9
else,9
body,9
grip,9
gravel,9
lying,9
expression,9
gate,9
counter,9
clothing,9
begin,9
landlord,9
death,9
temper,8
portland,8
year,8
soon,8
burning,8
sure,8
ill,8
closing,8
quickly,8
leave,8
bandage,8
bright,8
appearance,8
ask,8
hurt,8
having,8
