word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,24.55%,a,19.16%,his,5.39%
the,invisible,3.06%,door,2.97%,room,2.03%
invisible,man,62.98%,man's,3.87%,and,2.76%
man,with,7.82%,and,4.94%,in,4.12%
a,man,3.89%,little,3.67%,moment,2.35%
i,had,7.28%,was,6.73%,could,4.75%
mr,marvel,35.87%,bunting,14.13%,thomas,10.33%
first,time,5.56%,impressions,3.7%,principles,3.7%
and,the,7.54%,then,5.29%,a,3.18%
one,of,19.01%,another,4.93%,to,3.52%
stranger,had,7.94%,with,4.76%,stood,4.76%
at,the,34.37%,last,8.05%,his,7.12%
that,the,7.5%,he,7.05%,i,7.05%
went,to,19.86%,into,7.09%,on,4.96%
of,the,27.73%,a,7.86%,his,6.7%
in,the,31.82%,a,14.04%,his,6.15%
marvel,and,5.41%,he,5.41%,was,4.5%
his,face,4.51%,hand,4.09%,feet,2.68%
who,was,18.87%,had,16.98%,would,3.77%
was,a,10.53%,the,4.24%,in,2.19%
house,in,10.96%,and,10.96%,door,5.48%
came,a,11.81%,in,8.33%,to,6.94%
through,the,60.56%,his,5.63%,and,5.63%
over,the,38.66%,and,11.76%,his,10.08%
down,the,26.16%,and,9.3%,a,4.65%
little,while,3.45%,room,3.45%,and,3.45%
hand,and,16.22%,he,5.41%,on,5.41%
he,said,10.58%,was,10.06%,had,6.54%
up,the,22.97%,and,12.92%,to,4.31%
from,the,37.5%,his,8.59%,a,7.03%
head,and,21.57%,was,7.84%,on,7.84%
to,the,14.13%,be,3.76%,his,3.46%
face,and,16.67%,was,8.89%,of,6.67%
but,the,11.07%,i,9.64%,it,4.29%
had,been,12.96%,to,4.63%,a,3.7%
white,and,16.36%,cloth,3.64%,glass,3.64%
into,the,54.42%,a,12.24%,his,5.44%
more,than,6.56%,i,4.92%,about,4.92%
room,and,14.53%,was,6.84%,in,3.42%
off,the,12.5%,his,8.93%,at,7.14%
himself,in,7.27%,then,5.45%,with,5.45%
mrs,hall,80.0%,bunting,11.76%,hall's,5.88%
hall,and,11.03%,was,6.9%,had,4.83%
her,visitor,7.02%,and,6.14%,she,3.51%
