word type,number
everything,59165
adult,2
hate,0
function,33055
normal,number
the,4800
and,2488
of,2309
a,1610
i,1264
to,1172
in,1000
was,850
that,766
it,646
had,580
my,469
with,449
as,446
at,442
he,420
on,380
were,365
for,343
from,329
they,319
but,292
me,266
by,256
his,250
we,248
this,248
there,243
out,233
have,218
their,213
all,207
into,199
one,195
not,191
so,185
them,184
about,177
no,174
upon,171
been,170
then,167
said,166
up,165
martians,163
people,158
or,154
him,154
is,153
its,153
came,150
be,146
over,142
an,139
saw,131
down,130
towards,129
through,124
black,122
time,120
man,119
some,117
could,116
these,114
little,112
again,108
road,104
what,104
night,103
men,103
now,102
us,101
after,101
our,100
which,100
would,99
went,99
way,99
across,96
still,96
like,93
seemed,91
brother,90
first,88
are,85
did,85
two,84
pit,82
water,79
very,79
martian,79
smoke,78
more,76
who,75
when,74
back,73
red,73
made,72
stood,72
under,71
even,71
heard,71
before,70
see,70
day,69
last,68
against,68
you,68
her,68
houses,68
if,67
only,67
seen,66
found,66
along,66
cylinder,65
far,63
another,63
london,62
house,62
things,61
common,61
three,61
away,61
trees,61
must,60
hill,59
any,59
heat,58
here,58
other,57
side,57
suddenly,57
began,57
than,55
those,55
might,53
near,53
myself,53
come,52
how,51
nothing,51
long,50
thing,50
place,50
go,50
guns,50
great,49
already,49
until,49
such,49
between,49
being,48
behind,48
lay,48
off,48
turned,48
do,47
thought,47
moment,47
going,47
strange,46
light,45
sky,45
face,45
looked,45
white,45
machine,45
eyes,44
has,44
every,44
just,44
mars,43
slowly,43
beyond,43
may,43
get,43
among,43
earth,42
almost,42
green,42
once,42
fire,42
most,41
know,41
passed,41
dead,40
round,40
feet,40
left,40
mind,40
coming,39
ray,39
window,39
too,39
part,39
got,39
will,39
much,38
where,38
street,38
without,38
she,38
door,38
curate,37
days,37
yet,37
while,37
something,37
crowd,37
death,36
running,36
air,35
morning,35
presently,35
station,35
body,35
dark,35
food,35
human,34
half,34
head,34
darkness,34
standing,34
bridge,34
quite,34
grew,34
many,33
fighting,32
perhaps,32
life,32
silent,32
told,32
wife,32
sound,32
sight,32
scarcely,31
rose,31
river,31
weed,31
own,30
huge,30
blue,30
few,30
four,30
within,30
pine,30
hand,30
stopped,30
planet,29
end,29
faint,29
railway,29
high,29
hundred,29
staring,29
close,29
number,29
ground,29
became,29
gone,28
think,28
clear,28
ulla,28
seem,27
second,27
sat,27
streets,27
smashed,27
artilleryman,27
world,26
sun,26
each,26
sand,26
can,26
ran,26
felt,26
horse,26
lane,26
work,25
since,25
well,25
past,25
news,25
line,25
done,25
though,25
above,25
fell,24
gave,24
nearer,24
country,24
yards,24
hands,24
save,24
idea,23
grey,23
next,23
never,23
took,23
direction,23
drove,23
cart,23
chance,23
kitchen,23
destruction,22
happened,22
fro,22
remember,22
dust,22
edge,22
five,22
should,22
burning,22
keep,22
fear,22
broken,22
steam,22
ruins,22
park,22
indeed,21
escape,21
corner,21
struck,21
heavy,21
appeared,21
find,21
soon,21
noise,21
make,21
blackened,21
machines,21
creatures,20
possible,20
same,20
early,20
third,20
looking,20
fallen,20
brought,20
top,20
couple,20
evening,20
several,20
terror,20
god,20
knew,20
dog,20
vapour,20
thames,20
falling,19
foot,19
space,19
either,19
gun,19
papers,19
small,19
flash,19
hot,19
remained,19
position,19
both,19
rising,19
tell,19
driving,19
leatherhead,19
northward,19
sunday,19
scullery,19
miles,18
six,18
set,18
moving,18
flame,18
good,18
order,18
living,18
put,18
sort,18
woman,18
also,18
right,18
open,18
bodies,18
woods,18
bit,18
south,18
st,18
matter,17
danger,17
mass,17
ever,17
take,17
deep,17
bright,17
firing,17
busy,17
eastward,17
say,17
dawn,17
certainly,17
group,17
big,17
altogether,17
growing,17
cried,17
everything,17
deserted,17
watching,17
terrible,17
making,17
powder,17
handling,17
watched,16
vast,16
ceased,16
invisible,16
advance,16
minute,16
hours,16
full,16
taken,16
paper,16
hurried,16
shouted,16
imagine,16
story,16
sudden,16
doubt,16
train,16
hurrying,16
hid,16
headlong,16
together,16
doing,16
outside,16
farther,16
stream,16
church,16
blood,16
quiet,16
bank,16
wall,16
action,16
cover,15
war,15
star,15
reached,15
curious,15
nor,15
vanished,15
swept,15
am,15
fired,15
midnight,15
empty,15
below,15
itself,15
large,15
perceived,15
movement,15
garden,15
heap,15
certain,15
learned,15
voice,15
case,15
tumult,15
walking,15
hidden,15
abruptly,15
able,15
none,15
beside,15
enough,15
hear,15
room,15
crept,15
alive,15
longer,15
front,15
vague,15
richmond,15
hills,15
home,14
stillness,14
distance,14
course,14
crowded,14
struggle,14
moved,14
field,14
seems,14
windows,14
trains,14
flight,14
poor,14
pits,14
scattered,14
movements,14
lying,14
opened,14
afternoon,14
afterwards,14
asked,14
nearly,14
tentacles,14
brown,14
multitude,14
arms,14
flashed,14
followed,14
better,14
turning,14
run,14
closed,14
destroyed,14
amid,14
sense,14
working,14
old,14
let,14
stared,14
metallic,14
reason,14
themselves,13
mean,13
surface,13
fact,13
distant,13
beginning,13
become,13
during,13
except,13
excited,13
swiftly,13
pointed,13
clouds,13
hour,13
new,13
look,13
alone,13
heart,13
dozen,13
returned,13
voices,13
caught,13
give,13
hard,13
horses,13
immediately,13
stop,13
flashes,13
glare,13
panic,13
soldiers,13
women,13
talked,13
shot,13
shouting,13
rest,13
wood,13
attention,13
escaped,13
hood,13
storm,12
terrestrial,12
cloud,12
least,12
enormous,12
rushed,12
kept,12
simply,12
because,12
flying,12
bring,12
feeling,12
lit,12
anything,12
swift,12
appearance,12
hole,12
thin,12
realised,12
forward,12
metal,12
tried,12
himself,12
lord,12
gripped,12
bushes,12
further,12
western,12
gate,12
village,12
later,12
killed,12
weary,12
apparently,12
fresh,12
return,12
boats,12
silence,12
city,12
cut,12
surrey,11
ready,11
drew,11
spite,11
getting,11
gas,11
realise,11
walked,11
having,11
why,11
spread,11
bed,11
study,11
mile,11
however,11
mouth,11
clearly,11
account,11
town,11
form,11
forth,11
others,11
sent,11
whole,11
mound,11
twilight,11
figures,11
wheels,11
motionless,11
pale,11
instead,11
answered,11
lightning,11
live,11
leave,11
meadows,11
torrent,11
fugitives,11
sea,11
years,10
greater,10
remote,10
hope,10
evidently,10
burst,10
intelligence,10
view,10
stars,10
table,10
started,10
twenty,10
patches,10
visible,10
times,10
thick,10
less,10
approach,10
covered,10
called,10
opening,10
boy,10
touch,10
object,10
chaise,10
rather,10
lower,10
young,10
pushed,10
sunset,10
everyone,10
tumultuous,10
extraordinary,10
kind,10
point,10
mine,10
suppose,10
move,10
beam,10
west,10
weeping,10
absolutely,10
best,10
heads,10
confusion,10
strength,10
laid,10
eating,10
brain,10
north,10
arm,10
aside,10
hedge,10
vivid,10
neither,10
pantry,10
digging,10
batteries,10
hung,10
kingston,10
wide,10
pony,10
held,10
coast,10
steamer,10
minds,9
reader,9
intelligent,9
midday,9
trouble,9
ago,9
violently,9
floor,9
ten,9
caused,9
rushing,9
latter,9
hissing,9
fall,9
flung,9
heather,9
buried,9
tree,9
shape,9
stirring,9
birds,9
bulk,9
trying,9
help,9
understand,9
taking,9
sunlight,9
charred,9
overturned,9
dressed,9
expected,9
means,9
believe,9
shining,9
wet,9
thud,9
forthwith,9
shoulder,9
watch,9
crescent,9
advancing,9
overhead,9
leaping,9
tops,9
effort,9
description,9
children,9
places,9
hussars,9
haze,9
college,9
hastily,9
valley,9
gigantic,9
striding,9
glittering,9
wheel,9
struggled,9
pouring,9
worked,9
clothes,9
carriages,9
bread,9
low,9
power,9
drink,9
beat,9
cellar,9
shall,8
wreckage,8
believed,8
impossible,8
begun,8
existence,8
inhabitants,8
animals,8
carried,8
inclined,8
occurred,8
circle,8
eye,8
dense,8
use,8
lights,8
ringing,8
yellow,8
leaving,8
although,8
strangest,8
dimly,8
noticed,8
circular,8
public,8
eight,8
nine,8
lost,8
carrying,8
evident,8
carriage,8
unfamiliar,8
stent,8
horror,8
faces,8
struggling,8
monster,8
cry,8
vehicles,8
answer,8
dim,8
sprang,8
flames,8
touched,8
sank,8
safety,8
passage,8
unknown,8
runs,8
figure,8
special,8
excitement,8
die,8
staggered,8
state,8
frantic,8
drank,8
wine,8
want,8
animal,8
whose,8
spoke,8
villas,8
crawled,8
authorities,8
learn,8
fight,8
em,8
blow,8
ought,8
crest,8
range,8
daylight,8
crouched,8
mere,8
main,8
crouching,8
stumbled,8
grotesque,8
artillery,8
meat,8
hiding,8
gaunt,8
carts,8
step,8
traffic,8
ants,8
advanced,8
hair,8
humanity,8
slender,8
shipping,8
tentacle,8
child,7
recall,7
cooling,7
vain,7
change,7
atmosphere,7
broad,7
gathering,7
failed,7
opposition,7
peculiar,7
met,7
known,7
throwing,7
slit,7
larger,7
steadily,7
legs,7
familiar,7
pace,7
wonderful,7
fate,7
safe,7
impact,7
gravel,7
heaps,7
astonished,7
arrival,7
sounds,7
minutes,7
creature,7
glowing,7
shop,7
giant,7
talking,7
fancy,7
giving,7
greatly,7
writhing,7
fixed,7
astonishment,7
bear,7
beneath,7
intense,7
panting,7
heaped,7
gathered,7
courage,7
force,7
spreading,7
whom,7
forms,7
blinding,7
drawn,7
slain,7
verge,7
iron,7
glass,7
shops,7
peering,7
emerged,7
crying,7
stress,7
nature,7
blank,7
eh,7
sufficiently,7
crawl,7
invaders,7
eat,7
