word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
the,of,15.69%,in,7.76%,and,4.59%
of,out,4.35%,one,1.74%,number,1.17%
by,and,3.17%,side,1.98%,then,1.59%
but,it,2.14%,smoke,1.78%,nothing,1.78%
who,those,18.06%,people,15.28%,man,12.5%
in,and,3.88%,was,1.84%,people,1.84%
these,of,19.82%,that,4.5%,by,3.6%
if,as,37.31%,hear,2.99%,even,2.99%
they,as,7.79%,that,5.84%,and,4.55%
be,to,38.69%,would,8.76%,might,8.03%
we,as,7.0%,that,6.17%,and,4.12%
or,one,6.12%,smoke,2.72%,four,2.72%
are,they,19.28%,you,7.23%,we,7.23%
all,and,10.15%,of,7.61%,it,6.6%
things,these,18.33%,the,15.0%,of,6.67%
made,i,15.49%,had,14.08%,and,11.27%
for,save,3.56%,and,2.67%,again,1.78%
man,a,35.59%,the,20.34%,of,4.24%
martians,the,83.33%,these,3.7%,of,2.47%
i,as,6.02%,and,5.37%,that,4.15%
on,went,4.23%,going,3.97%,go,3.7%
cylinder,the,66.15%,second,6.15%,fifth,4.62%
heat,the,68.97%,of,6.9%,intense,5.17%
night,the,31.07%,that,24.27%,friday,4.85%
at,and,4.13%,staring,1.83%,it,1.61%
what,of,5.26%,know,5.26%,me,4.21%
saw,i,50.39%,we,10.85%,and,9.3%
with,and,2.73%,me,1.36%,man,1.14%
london,of,20.97%,in,14.52%,to,6.45%
had,i,16.81%,it,6.65%,they,6.13%
from,away,4.29%,far,2.15%,me,2.15%
under,earth,4.35%,i,2.9%,bent,2.9%
house,the,40.98%,a,8.2%,my,6.56%
one,no,8.25%,in,7.22%,and,3.61%
no,was,12.12%,had,6.06%,were,4.85%
would,it,18.37%,i,10.2%,he,9.18%
have,i,15.28%,must,12.96%,would,9.72%
last,at,46.97%,the,25.76%,that,7.58%
that,and,4.1%,at,3.57%,of,3.04%
this,of,9.68%,in,6.45%,at,4.84%
was,it,18.59%,i,11.06%,there,8.51%
and,me,1.14%,up,1.05%,to,0.97%
than,more,25.93%,older,3.7%,higher,3.7%
as,and,5.01%,was,3.64%,soon,3.42%
his,of,10.44%,to,6.83%,in,6.02%
men,of,16.83%,the,14.85%,as,3.96%
about,all,7.47%,and,2.3%,trees,2.3%
their,of,20.75%,in,8.49%,with,5.66%
were,there,13.85%,they,12.19%,people,5.54%
a,in,7.65%,of,6.76%,was,5.5%
might,they,11.54%,we,7.69%,i,7.69%
water,the,40.51%,of,8.86%,under,3.8%
went,i,32.65%,and,15.31%,we,7.14%
to,seemed,3.02%,began,2.67%,seem,1.29%
over,all,5.71%,and,2.86%,bridge,2.14%
little,a,39.64%,the,18.92%,very,2.7%
it,as,7.1%,of,4.89%,that,3.15%
is,it,28.38%,there,6.76%,what,6.76%
them,of,21.43%,to,7.14%,upon,5.49%
only,not,10.94%,the,10.94%,was,7.81%
upon,came,8.24%,down,2.94%,work,2.35%
some,for,8.7%,and,7.83%,of,5.22%
those,of,18.18%,in,9.09%,all,9.09%
there,and,13.45%,but,2.52%,was,2.1%
other,the,45.61%,each,12.28%,any,3.51%
across,and,5.26%,me,3.16%,away,3.16%
our,of,25.0%,in,5.0%,to,4.0%
against,black,5.88%,rose,2.94%,stand,2.94%
us,to,12.87%,upon,7.92%,about,7.92%
came,i,11.56%,he,6.12%,it,5.44%
must,we,18.33%,i,13.33%,it,11.67%
any,at,12.28%,without,8.77%,in,7.02%
before,never,7.35%,day,4.41%,long,2.94%
its,of,17.11%,in,9.87%,with,7.89%
which,from,16.16%,in,11.11%,of,6.06%
could,i,48.25%,they,7.89%,we,7.89%
so,and,20.44%,was,6.63%,or,3.87%
