word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,25.77%,a,13.82%,his,2.85%
the,world,1.08%,door,0.9%,first,0.78%
man,in,6.49%,with,5.82%,and,5.6%
a,little,4.34%,man,2.44%,moment,1.69%
i,have,5.36%,was,5.2%,had,4.81%
mr,marvel,15.98%,manning,13.32%,stanley,12.11%
first,time,9.16%,i,4.85%,to,2.7%
and,the,6.55%,then,3.87%,a,3.23%
one,of,13.99%,another,2.67%,could,2.38%
at,the,28.35%,last,8.32%,a,4.93%
that,the,6.13%,he,4.99%,i,4.35%
went,on,17.75%,to,13.93%,into,6.49%
of,the,23.38%,a,5.85%,his,3.54%
in,the,31.21%,a,11.59%,his,4.13%
his,face,2.82%,own,2.73%,head,2.53%
who,had,13.29%,was,10.97%,have,5.27%
was,a,11.09%,the,4.95%,not,2.9%
came,to,13.39%,into,7.93%,a,7.27%
through,the,46.92%,a,9.0%,her,3.08%
last,i,6.1%,the,3.78%,and,3.49%
over,the,30.81%,his,7.74%,and,5.72%
down,the,22.4%,and,8.6%,to,5.68%
little,while,2.33%,wars,2.33%,boy,2.11%
hand,and,17.52%,to,6.37%,on,5.1%
he,was,11.83%,said,9.81%,had,9.31%
up,the,13.17%,and,11.45%,to,9.26%
from,the,36.25%,his,5.0%,her,4.55%
to,the,11.4%,be,6.85%,a,2.79%
face,and,12.57%,was,8.68%,of,7.19%
but,the,8.46%,i,7.79%,it,5.31%
had,been,12.14%,a,6.17%,to,4.23%
into,the,41.1%,a,14.73%,his,5.02%
more,than,13.98%,and,6.18%,of,3.58%
than,a,11.93%,the,11.17%,ever,3.3%
her,and,4.65%,father,3.13%,mind,3.04%
with,a,19.57%,the,15.65%,his,5.47%
much,as,12.66%,to,7.47%,more,7.14%
upon,the,32.19%,a,8.08%,her,5.39%
him,and,10.63%,to,4.42%,he,4.19%
there,was,28.1%,is,14.17%,were,9.82%
she,had,12.69%,was,10.81%,said,8.88%
an,air,2.23%,hour,2.23%,invisible,1.98%
no,doubt,7.21%,one,6.68%,more,5.3%
