word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,2.5%,side,1.37%,up,1.21%
the,of,12.92%,in,8.42%,to,4.64%
man,a,25.71%,invisible,12.53%,the,10.11%
a,of,6.63%,in,6.41%,with,5.96%
i,and,4.65%,that,3.57%,as,3.09%
mr,said,27.33%,of,7.61%,and,5.43%
and,him,1.08%,up,0.91%,it,0.91%
one,no,4.53%,in,3.74%,and,3.52%
at,and,2.97%,looked,2.2%,look,1.78%
that,and,4.03%,of,3.02%,all,2.49%
went,and,17.12%,he,16.73%,i,12.26%
of,out,3.83%,one,1.76%,sort,1.62%
in,and,2.64%,was,1.87%,man,1.1%
to,seemed,2.37%,want,1.66%,going,1.51%
his,of,12.51%,in,7.12%,with,5.19%
who,man,9.35%,those,7.61%,people,5.87%
was,it,17.45%,he,13.25%,there,8.23%
first,the,41.14%,at,19.07%,my,3.0%
came,he,10.76%,i,6.22%,it,5.71%
day,the,17.21%,a,12.66%,that,8.44%
through,and,3.01%,way,2.78%,all,2.31%
last,at,54.62%,the,19.65%,a,2.02%
over,all,3.68%,was,3.01%,it,2.34%
down,sat,8.48%,and,5.38%,came,4.24%
from,away,5.53%,him,1.45%,up,1.19%
little,a,45.66%,the,11.53%,of,2.31%
hand,his,22.19%,her,13.18%,one,5.79%
he,and,4.5%,that,4.24%,then,3.23%
up,stood,3.79%,got,3.03%,it,2.27%
face,his,28.01%,the,14.01%,her,12.05%
but,it,1.84%,nothing,1.25%,anything,0.98%
had,he,18.11%,she,14.05%,i,9.09%
into,came,5.41%,out,4.73%,went,3.83%
more,and,8.96%,no,8.14%,the,5.21%
than,more,21.77%,rather,6.84%,better,5.32%
her,of,8.98%,to,8.01%,in,6.2%
with,and,3.26%,man,1.8%,him,1.46%
much,so,22.11%,very,12.21%,as,11.88%
upon,came,4.14%,out,2.36%,down,1.62%
him,to,9.23%,of,6.06%,with,4.14%
there,and,11.06%,that,3.71%,if,2.74%
she,and,4.94%,that,4.87%,as,2.97%
an,with,11.44%,of,7.98%,in,6.26%
no,was,9.32%,is,6.44%,had,5.55%
good,a,20.13%,no,7.67%,very,7.03%
