word type,number
everything,31301
adult,0
hate,0
function,18109
normal,number
the,1280
to,1113
of,999
a,987
and,881
he,717
her,588
was,492
she,491
in,488
his,457
that,420
had,386
it,377
with,326
i,304
as,293
for,292
you,277
but,266
him,255
at,253
an,171
have,164
on,163
be,159
de,154
this,150
not,145
which,134
mauves,128
by,121
if,117
madame,102
one,100
very,100
so,97
what,96
me,95
all,92
my,89
would,87
been,86
than,86
were,84
no,84
who,83
said,81
when,77
little,77
more,77
they,76
from,75
young,75
your,73
is,71
made,70
up,68
should,67
some,65
seemed,65
out,64
m,64
own,61
into,61
such,59
himself,59
man,58
there,56
felt,55
great,54
last,54
them,53
has,53
then,52
after,52
friend,52
about,52
or,52
before,51
never,51
too,50
without,49
could,48
might,48
now,47
eyes,46
time,46
do,46
found,42
say,42
woman,42
something,42
back,41
nothing,41
only,40
their,40
much,40
good,39
day,39
come,38
must,38
our,38
went,37
world,37
yet,36
other,36
even,36
took,36
looked,35
see,35
most,35
life,35
herself,35
take,34
better,33
like,33
away,33
make,33
came,33
any,33
long,33
saint,32
know,32
wife,32
germain,31
almost,31
old,31
moment,30
way,30
well,30
how,30
being,30
sense,29
face,29
first,29
down,29
may,28
things,28
lady,28
think,28
believe,28
husband,27
having,27
ever,27
paris,26
are,26
left,26
go,26
sat,26
turned,25
once,25
asked,25
where,24
half,24
however,24
simply,24
air,24
over,24
two,24
terrace,23
through,23
light,23
whom,23
head,23
its,23
mind,22
still,22
tell,22
poor,22
enough,22
while,22
love,22
here,21
just,21
evening,21
mrs,21
again,21
smile,21
can,21
hour,20
rather,20
walked,20
home,20
thought,20
always,20
house,20
forest,19
hand,19
perhaps,19
nor,19
person,19
put,19
letter,19
itself,19
those,19
did,19
shall,19
knew,19
quite,18
though,18
least,18
gave,18
certain,18
answered,18
fine,18
law,18
off,18
sure,18
we,18
leave,18
stood,18
present,17
why,17
companion,17
charming,17
walk,17
sister,17
looking,17
words,17
people,17
open,17
room,17
myself,17
understand,17
saw,17
somehow,17
heart,17
rose,17
years,16
high,16
best,16
everything,16
indeed,16
question,16
returned,16
call,15
suddenly,15
less,15
every,15
hat,15
going,15
will,15
passed,15
return,15
pleasure,15
course,15
women,15
look,15
done,15
care,15
faith,15
far,15
these,15
self,15
days,15
count,15
none,15
stream,15
stopped,14
end,14
against,14
draper,14
whether,14
same,14
side,14
whose,14
many,14
wondered,14
neither,14
garden,14
answer,14
ask,14
tone,14
seen,14
hard,14
anything,14
slowly,14
short,13
immediately,13
seeing,13
attention,13
alone,13
drawing,13
gentleman,13
thing,13
us,13
justice,13
part,13
truth,13
seem,13
whole,13
word,13
wished,13
window,13
deal,13
moments,12
another,12
american,12
met,12
continued,12
really,12
find,12
easy,12
happiness,12
let,12
yourself,12
taste,12
wonder,12
conscience,12
suppose,12
dinner,12
few,12
taken,12
hardly,12
happy,12
men,12
view,11
right,11
listen,11
girl,11
brought,11
making,11
point,11
presence,11
toward,11
large,11
french,11
given,11
called,11
white,11
case,11
help,11
beyond,11
meant,11
morning,11
added,11
voice,11
passion,11
behind,10
pretty,10
remained,10
heard,10
interest,10
beauty,10
door,10
doubtless,10
ah,10
unhappy,10
waited,10
asking,10
often,10
remembered,10
possible,10
matter,10
spoke,10
state,10
certainly,10
creature,10
imagination,10
want,10
upon,10
daughter,10
feeling,10
believed,10
under,10
among,10
spirit,10
nature,10
three,10
wish,10
feel,10
perfect,10
spite,10
talk,10
reason,10
desire,10
brussels,10
monsieur,10
servant,10
cried,10
fond,9
experience,9
dozen,9
along,9
next,9
silent,9
mere,9
fair,9
pale,9
soon,9
train,9
kept,9
offer,9
further,9
sometimes,9
waiting,9
natural,9
free,9
confidence,9
offered,9
hero,9
hoped,9
watched,9
grace,9
wrote,9
gone,9
hope,9
give,9
family,9
handsome,9
fortune,9
during,9
friendship,9
later,9
place,9
declared,9
live,9
trouble,9
mean,9
form,9
happened,9
between,9
summer,9
moved,9
touched,9
turning,9
hands,9
married,9
ought,9
seated,8
meet,8
acquaintance,8
afterwards,8
round,8
particular,8
smiled,8
both,8
struck,8
ardour,8
able,8
told,8
else,8
received,8
arm,8
apparently,8
tears,8
speak,8
because,8
supposed,8
feet,8
scene,8
character,8
uttered,8
france,8
coming,8
brother,8
small,8
account,8
couple,8
lay,8
change,8
country,8
night,8
bad,8
expected,8
mr,8
began,8
future,8
mine,8
rate,8
cigar,8
thinking,8
vain,8
umbrella,8
forget,7
five,7
preferred,7
keep,7
fixed,7
human,7
closed,7
bring,7
wall,7
latter,7
ten,7
minutes,7
meanwhile,7
shook,7
silence,7
expression,7
dressed,7
learned,7
hotel,7
force,7
measured,7
vague,7
note,7
near,7
dress,7
charm,7
liked,7
quiet,7
several,7
gate,7
aware,7
table,7
imagine,7
moral,7
vulgar,7
manners,7
opportunity,7
possibly,7
order,7
does,7
vision,7
strong,7
mademoiselle,7
full,7
duty,7
past,7
understood,7
richard,7
read,7
worse,7
real,7
hours,7
admire,7
year,7
polite,7
lost,7
politeness,7
assured,7
pain,7
path,7
conduct,7
manner,7
kind,7
visit,7
sacrifice,7
beside,7
recognised,7
remember,7
paused,7
sound,7
impossible,7
thank,7
appeared,7
sake,7
pity,7
favour,7
within,6
week,6
six,6
curiosity,6
book,6
disappointed,6
probably,6
begun,6
frankness,6
taking,6
led,6
sit,6
hair,6
late,6
usual,6
glance,6
impression,6
morrow,6
nevertheless,6
arrival,6
low,6
shade,6
measure,6
spoken,6
figure,6
carriage,6
till,6
frenchman,6
romantic,6
society,6
horrible,6
hear,6
appeal,6
social,6
consideration,6
fact,6
beautiful,6
start,6
listened,6
fancy,6
stifled,6
race,6
grown,6
express,6
empty,6
grass,6
honest,6
afraid,6
stupid,6
clever,6
known,6
repeated,6
treated,6
nod,6
laid,6
stepped,6
extraordinary,6
admiration,6
show,6
opinion,6
honour,6
pocket,6
admired,6
instant,6
breath,6
america,6
lighted,6
marriage,6
doing,6
occasion,6
straight,6
failed,6
deep,6
conviction,6
assurance,6
new,6
true,6
line,6
hostess,6
conscious,6
effort,6
personal,6
shadow,6
close,6
grand,6
loved,6
threw,6
evidently,6
sun,6
painters,6
allowed,6
position,6
yes,6
wine,6
fell,6
strange,6
ceased,6
each,6
forward,6
single,6
work,6
en,5
immense,5
ago,5
months,5
noticed,5
general,5
source,5
mamma,5
friendly,5
joy,5
name,5
chair,5
wandered,5
effect,5
agitation,5
conversation,5
exactly,5
affair,5
promise,5
court,5
lived,5
hesitation,5
quarter,5
showed,5
news,5
pause,5
fellow,5
use,5
obliged,5
common,5
relief,5
formal,5
terms,5
patience,5
convent,5
various,5
greatly,5
ideal,5
chance,5
fruit,5
type,5
artist,5
accept,5
happen,5
colour,5
merit,5
freedom,5
weeks,5
capable,5
sincerity,5
faded,5
pass,5
key,5
plain,5
dear,5
innocence,5
either,5
scruples,5
addressed,5
expressed,5
paid,5
excellent,5
fate,5
became,5
held,5
tried,5
forced,5
feared,5
followed,5
join,5
covered,5
notes,5
sitting,5
belle,5
themselves,5
talking,5
cleve,5
plainly,5
devoted,5
interview,5
please,5
need,5
member,5
refused,5
save,5
regard,5
tree,5
history,5
base,5
fear,5
frankly,5
begin,5
stand,5
ashamed,5
learn,5
boulevard,5
watching,5
heaven,5
contented,5
deeply,5
lingered,5
since,5
speaking,5
visitor,5
spiritual,5
living,5
wisdom,5
sudden,5
disposed,5
expect,5
fancied,5
reality,5
clear,5
abruptly,5
windows,5
above,5
got,5
passionate,5
across,5
fan,5
trees,5
memory,5
dusky,4
idle,4
road,4
suspect,4
cafe,4
surprised,4
explain,4
appearance,4
sacrificed,4
opposite,4
drawn,4
invitation,4
mild,4
amusing,4
sort,4
stranger,4
eye,4
grey,4
restless,4
promised,4
giving,4
complain,4
studied,4
spent,4
wondering,4
distance,4
music,4
daily,4
seems,4
uneasy,4
questions,4
also,4
countryman,4
english,4
ground,4
worst,4
prove,4
reasons,4
involved,4
comfort,4
finding,4
sight,4
happiest,4
story,4
cared,4
appreciate,4
compliment,4
proof,4
sore,4
knowledge,4
troubled,4
nice,4
turn,4
sign,4
la,4
meaning,4
carry,4
admitted,4
visions,4
suffer,4
rich,4
inclined,4
fairly,4
positive,4
moreover,4
ancestors,4
grandmother,4
nose,4
aristocratic,4
magnanimity,4
become,4
especially,4
wore,4
dream,4
tenderness,4
glass,4
advise,4
piece,4
persons,4
ease,4
devote,4
game,4
cry,4
indifference,4
suffered,4
represented,4
historic,4
set,4
standing,4
justify,4
bade,4
address,4
observed,4
humour,4
gross,4
greater,4
stay,4
picture,4
formed,4
simple,4
grave,4
re,4
graceful,4
critic,4
settled,4
marry,4
pleased,4
singular,4
fall,4
gloves,4
means,4
innocent,4
desired,4
gesture,4
reserve,4
soft,4
ear,4
suspicion,4
tete,4
midst,4
drew,4
replied,4
circle,4
staring,4
grateful,4
demanded,4
altogether,4
serious,4
speech,4
decision,4
silently,4
bow,4
tops,4
strolled,4
painful,4
flush,4
lead,4
purpose,4
discretion,4
horizon,4
compensation,4
worth,4
soul,4
absolute,4
needed,4
step,4
application,4
dark,4
folly,4
loss,4
brow,4
murmur,4
departure,4
clearness,4
shone,4
webster,4
books,4
throw,4
impertinent,4
regret,4
perversity,4
times,4
glad,4
wit,4
lighting,4
gazing,4
red,4
allow,4
awkwardly,4
trying,4
nervous,4
immediate,4
yours,4
gravely,4
quietly,4
surprise,4
laugh,4
bye,4
excited,4
seat,4
assure,4
pursued,4
pretend,4
lingering,4
glanced,4
v,4
opened,4
green,4
advanced,4
protested,4
intense,4
prose,4
t,4
degree,4
unexpected,4
prospect,4
prepared,4
attitude,4
cultivate,4
conception,4
mused,4
puzzled,4
resumed,4
rest,4
destiny,4
inn,4
hot,4
sketch,4
landlady,4
painter,4
candle,4
constancy,4
famous,3
silver,3
afternoon,3
miss,3
chose,3
beginning,3
duties,3
injured,3
wandering,3
induced,3
seal,3
invited,3
fatally,3
superior,3
information,3
companions,3
finery,3
knee,3
crossed,3
sweetness,3
essentially,3
naturally,3
flushed,3
chiefly,3
brown,3
fashion,3
harmony,3
discovered,3
confidential,3
judged,3
arrived,3
accompanied,3
dull,3
london,3
introduce,3
arrested,3
introduction,3
recognise,3
dusk,3
recovered,3
second,3
mentioned,3
necessary,3
explained,3
guess,3
distinguished,3
mainly,3
twist,3
bowed,3
introduced,3
irritation,3
horse,3
tongue,3
deferred,3
writing,3
reminded,3
pretended,3
miserable,3
submit,3
marrying,3
shining,3
perverse,3
pay,3
inferior,3
selfish,3
absent,3
modest,3
composition,3
act,3
idea,3
slow,3
art,3
bouquet,3
belief,3
birth,3
delicacy,3
rarely,3
excuse,3
purity,3
angel,3
hundred,3
easier,3
consciousness,3
respect,3
nobleman,3
ones,3
twice,3
gossip,3
lights,3
masterpiece,3
proper,3
philosophy,3
hung,3
lips,3
examined,3
impressions,3
heroine,3
trick,3
finally,3
supreme,3
virtue,3
auvergne,3
abundantly,3
century,3
accomplished,3
scale,3
wants,3
luxurious,3
objects,3
frightened,3
passages,3
odours,3
sentimentally,3
claim,3
ready,3
mother,3
neck,3
guessed,3
saying,3
sad,3
grow,3
lose,3
possession,3
revenge,3
advice,3
listening,3
speeches,3
result,3
tender,3
victim,3
precious,3
cold,3
absence,3
appetite,3
encounter,3
reply,3
subject,3
principle,3
private,3
prompted,3
ardent,3
privilege,3
effectually,3
remarks,3
shortly,3
thrown,3
fortnight,3
interesting,3
tremor,3
compliments,3
company,3
model,3
corner,3
meagre,3
match,3
violent,3
generous,3
pressure,3
generosity,3
lavender,3
terribly,3
marked,3
peculiar,3
concerns,3
evidence,3
flattered,3
grandson,3
golden,3
seeming,3
dropping,3
influence,3
radiant,3
satisfied,3
pulled,3
stop,3
confessed,3
jeune,3
offers,3
wake,3
die,3
homme,3
remain,3
brave,3
event,3
quality,3
shut,3
wrath,3
beat,3
cause,3
plead,3
wonderful,3
concession,3
required,3
heavily,3
keener,3
mute,3
range,3
except,3
fashioned,3
narrow,3
thin,3
opening,3
resource,3
aggressive,3
pitched,3
gaiety,3
ache,3
served,3
rare,3
get,3
haunted,3
delicate,3
cast,3
blank,3
convinced,3
changed,3
mistake,3
telling,3
difference,3
policy,3
matters,3
arrange,3
europe,3
