word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,him,2.48%,as,1.65%,accompanied,1.65%
de,madame,45.64%,m,36.24%,mademoiselle,4.03%
mauves,de,100.0%
i,but,5.65%,that,4.98%,when,4.32%
the,of,11.59%,in,10.09%,to,6.15%
from,letter,4.0%,down,2.67%,visit,2.67%
at,looked,7.63%,was,3.21%,and,2.81%
and,him,1.62%,it,1.04%,up,0.93%
you,if,6.69%,to,5.2%,of,4.83%
in,sister,2.91%,and,2.91%,was,2.7%
there,and,7.14%,but,7.14%,that,5.36%
her,of,10.88%,to,7.65%,in,4.59%
with,him,4.36%,up,3.12%,and,2.49%
is,it,11.59%,this,7.25%,who,5.8%
a,with,8.28%,of,8.18%,was,4.51%
of,one,2.5%,out,2.4%,sense,2.2%
that,and,4.8%,him,2.88%,of,2.16%
an,with,13.1%,of,10.12%,in,6.55%
one,was,6.0%,and,4.0%,not,4.0%
some,for,13.85%,in,9.23%,with,6.15%
young,the,41.89%,a,12.16%,our,9.46%
man,young,46.55%,a,36.21%,honest,5.17%
on,went,5.52%,was,3.07%,down,2.45%
had,he,30.0%,she,17.84%,who,4.05%
to,seemed,3.25%,not,2.17%,was,1.81%
this,of,10.74%,in,5.37%,on,4.03%
his,of,12.33%,in,8.59%,to,6.83%
were,they,16.67%,there,7.14%,you,5.95%
him,to,13.73%,at,5.1%,for,5.1%
he,that,6.45%,and,6.17%,as,6.17%
was,it,16.17%,he,15.74%,she,14.47%
but,her,2.7%,nothing,1.54%,him,1.54%
great,a,64.15%,the,13.21%,her,5.66%
it,and,4.83%,if,3.75%,but,3.49%
when,and,9.21%,but,6.58%,that,6.58%
seemed,it,32.31%,she,13.85%,he,12.31%
not,was,22.95%,had,9.02%,and,5.74%
be,to,53.42%,would,11.64%,might,5.48%
been,had,37.97%,have,32.91%,never,8.86%
what,of,6.52%,know,5.43%,but,5.43%
after,and,5.77%,her,5.77%,time,3.85%
would,it,22.35%,she,11.76%,he,8.24%
have,would,18.47%,to,17.2%,should,10.83%
for,him,3.82%,not,1.74%,as,1.74%
if,as,19.66%,that,9.4%,and,5.98%
little,a,36.36%,the,9.09%,very,6.49%
who,man,7.79%,and,5.19%,those,3.9%
such,of,12.07%,by,8.62%,with,8.62%
my,in,11.63%,of,9.3%,to,4.65%
friend,a,25.49%,her,23.53%,his,13.73%
said,he,33.77%,she,24.68%,i,7.79%
me,to,17.89%,let,5.26%,with,4.21%
she,that,4.33%,as,4.12%,if,3.92%
which,in,10.53%,of,6.77%,with,5.26%
so,was,5.32%,been,5.32%,of,4.26%
about,talk,5.88%,looked,3.92%,all,3.92%
as,and,4.93%,him,4.23%,her,2.82%
them,of,28.3%,between,9.43%,with,3.77%
more,and,9.21%,the,6.58%,no,6.58%
than,more,27.91%,better,12.79%,ugly,2.33%
out,came,4.69%,cry,4.69%,put,4.69%
all,at,10.87%,after,5.43%,was,4.35%
very,a,13.33%,the,11.11%,was,7.78%
made,he,12.5%,she,12.5%,that,12.5%
madame,of,12.0%,to,9.0%,that,4.0%
your,of,16.9%,in,8.45%,to,5.63%
last,at,67.92%,the,11.32%,their,3.77%
should,i,26.87%,he,20.9%,she,14.93%
m,and,8.06%,of,6.45%,for,6.45%
they,when,10.81%,that,9.46%,as,5.41%
own,her,33.33%,his,31.67%,your,18.33%
has,she,27.45%,who,11.76%,it,5.88%
into,came,6.56%,away,4.92%,went,4.92%
or,two,7.84%,day,7.84%,whether,3.92%
up,made,5.88%,walked,4.41%,looked,4.41%
no,had,10.13%,with,6.33%,was,5.06%
himself,found,10.34%,to,10.34%,felt,5.17%
