word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,26.5%,a,14.53%,her,6.84%
madame,de,98.55%,la,1.45%
de,mauves,88.89%,t,2.78%,v,2.08%
i,should,6.9%,shall,5.75%,had,4.21%
the,young,2.49%,terrace,1.68%,world,1.68%
from,the,14.86%,her,9.46%,a,9.46%
at,the,22.31%,last,14.34%,a,5.58%
is,the,10.0%,a,8.57%,to,8.57%
and,he,5.14%,the,4.21%,yet,2.92%
before,the,13.73%,him,11.76%,her,11.76%
you,to,4.71%,i,3.92%,must,3.53%
in,the,26.39%,his,8.04%,a,6.6%
there,was,25.0%,were,10.71%,he,7.14%
her,own,3.5%,to,3.33%,husband,2.8%
with,a,24.31%,the,11.08%,her,6.77%
a,great,3.49%,little,2.88%,man,2.16%
of,the,14.89%,a,7.9%,her,6.48%
that,he,11.79%,the,5.38%,she,5.38%
an,hour,7.23%,air,5.42%,instant,3.01%
one,of,26.04%,day,6.25%,may,5.21%
some,time,9.23%,of,4.62%,day,4.62%
young,man,42.86%,and,6.35%,lady,4.76%
man,of,10.71%,who,10.71%,said,5.36%
on,the,30.67%,his,11.04%,her,9.82%
had,a,8.03%,been,7.77%,never,3.63%
to,be,7.07%,the,7.07%,her,4.08%
this,was,6.38%,is,3.55%,time,3.55%
his,wife,5.5%,own,4.36%,eyes,2.75%
were,to,9.52%,the,5.95%,going,3.57%
him,to,7.97%,with,5.58%,and,5.58%
he,had,15.93%,was,10.62%,said,3.73%
was,a,8.79%,not,5.73%,the,4.29%
but,he,14.11%,i,6.85%,the,5.65%
great,deal,14.81%,many,5.56%,peacemaker,3.7%
never,been,13.73%,looked,5.88%,to,3.92%
it,was,20.94%,seemed,5.79%,would,5.23%
when,he,21.74%,she,20.29%,i,18.84%
seemed,to,55.38%,the,6.15%,at,4.62%
not,to,16.55%,a,7.59%,in,5.52%
be,a,4.52%,in,3.87%,the,3.23%
been,a,9.3%,in,5.81%,so,5.81%
what,she,12.9%,he,8.6%,i,8.6%
would,have,33.72%,be,19.77%,do,3.49%
have,been,15.85%,a,3.05%,to,2.44%
for,the,12.63%,a,12.28%,him,4.56%
if,she,16.96%,you,16.07%,he,12.5%
little,to,8.11%,but,4.05%,girl,2.7%
who,had,18.75%,was,16.25%,has,7.5%
such,a,47.46%,things,5.08%,confidence,3.39%
my,brother,7.32%,sister,6.1%,friend,4.88%
said,to,14.29%,with,8.57%,nothing,7.14%
me,to,11.24%,he,5.62%,if,3.37%
she,was,14.17%,had,13.75%,said,3.96%
which,he,12.7%,she,9.52%,was,8.73%
so,that,6.25%,far,5.21%,much,5.21%
about,her,11.54%,the,9.62%,his,7.69%
as,he,15.22%,a,8.65%,if,7.96%
them,he,9.62%,to,7.69%,but,7.69%
felt,that,7.41%,an,7.41%,a,5.56%
more,than,31.17%,and,6.49%,in,2.6%
than,he,9.52%,the,9.52%,once,5.95%
out,of,37.5%,to,7.81%,and,4.69%
all,the,16.48%,her,5.49%,he,4.4%
very,much,6.0%,little,5.0%,soon,4.0%
made,him,15.71%,a,11.43%,her,10.0%
mauves,was,9.68%,he,5.65%,and,4.84%
your,own,15.71%,conscience,4.29%,heart,4.29%
last,he,9.43%,and,5.66%,that,5.66%
should,have,25.37%,be,10.45%,do,4.48%
m,de,91.53%,m,3.39%,le,1.69%
they,were,19.44%,had,12.5%,went,4.17%
own,sake,6.67%,affair,5.0%,and,3.33%
has,a,9.43%,been,9.43%,never,5.66%
into,the,42.62%,a,13.11%,his,6.56%
up,with,14.71%,and,11.76%,a,10.29%
no,more,6.02%,reason,3.61%,one,2.41%
himself,to,13.56%,if,5.08%,he,5.08%
