word type,number
everything,90261
adult,0
hate,0
function,48498
normal,number
the,7786
of,4764
and,3253
to,2347
in,1929
a,1838
it,951
is,931
this,869
their,781
they,770
was,748
or,741
by,700
that,689
as,672
on,620
which,604
at,599
from,553
with,548
were,511
be,508
have,470
for,417
not,387
are,383
he,380
been,350
an,345
but,332
had,329
who,326
i,294
one,291
his,290
some,274
them,271
these,263
there,245
its,236
other,229
we,208
has,199
all,199
no,198
indian,186
so,176
iroquois,173
ancient,167
two,164
more,154
among,154
found,152
tribes,146
any,145
new,144
into,144
time,144
made,142
number,140
would,139
may,134
such,132
war,131
after,131
people,130
fort,124
first,124
years,123
state,122
if,121
great,120
very,119
than,118
out,117
when,115
onondaga,114
now,112
will,112
name,111
most,111
country,110
under,106
where,106
place,104
you,103
called,102
about,102
part,101
senecas,99
men,98
many,98
present,97
indians,96
tribe,95
river,95
c,94
only,94
west,94
up,93
general,92
york,92
stone,92
each,91
before,91
old,91
north,90
history,88
oneida,88
council,88
also,83
however,83
him,83
themselves,82
same,82
lake,80
hill,79
seneca,79
three,78
tradition,78
well,77
must,76
my,76
much,75
mr,75
early,75
still,73
long,73
being,73
could,73
reservation,72
original,71
here,71
should,70
thus,70
over,70
valley,70
little,69
upon,69
large,69
power,69
few,68
far,67
county,67
nations,67
known,67
period,66
without,66
oo,66
our,65
means,65
chief,65
land,65
five,65
near,65
down,64
yet,64
creek,64
south,64
own,63
having,62
hundred,62
red,61
do,61
east,61
day,60
feet,60
character,59
work,59
between,59
man,58
remains,58
four,57
against,57
traditions,57
persons,57
american,56
while,56
french,56
art,56
ground,56
site,55
nation,55
confederacy,55
me,55
race,55
did,55
six,55
can,55
population,54
lived,54
head,54
miles,53
went,53
ah,53
origin,52
others,52
whole,52
year,52
said,51
what,51
banks,51
word,51
came,51
oneidas,50
era,50
like,50
used,50
western,49
onondagas,49
buffalo,49
good,49
probably,49
above,49
term,49
e,49
st,48
several,48
society,47
class,47
tuscarora,47
nothing,47
nearly,47
through,47
english,47
fire,47
historical,46
brought,46
within,46
ever,46
fact,46
those,46
another,46
then,46
water,46
wa,46
various,45
aboriginal,44
might,44
chiefs,44
whom,44
house,43
subject,43
language,43
use,43
make,43
took,43
during,42
census,42
cayugas,42
every,42
sound,42
ne,42
ya,42
way,41
point,41
ha,41
corn,40
least,40
both,40
high,40
perhaps,40
stream,40
kind,39
your,39
species,39
forest,39
warriors,39
letter,38
numbers,38
forts,38
cantons,38
small,38
arts,38
ta,38
half,37
act,37
named,37
places,37
us,37
never,37
length,37
d,37
trees,37
parts,36
native,36
appears,36
towards,36
side,36
supposed,36
deep,36
r,35
antiquarian,35
taken,35
america,35
o,35
denote,35
generally,35
once,35
times,35
received,35
appear,35
formed,35
says,35
form,34
less,34
making,34
mohawks,34
wars,34
church,34
reservations,34
last,34
remote,34
left,34
families,34
latter,34
family,34
became,34
often,34
sea,34
b,34
trench,34
twenty,33
mohawk,33
although,33
portion,33
policy,33
put,33
go,33
living,33
seen,33
cut,33
canada,33
age,33
young,33
following,32
am,32
marked,32
common,32
entire,32
life,32
see,32
gave,31
prior,31
figure,31
government,31
cherokees,31
battle,31
matter,31
itself,31
points,31
white,31
acres,31
soon,31
road,31
town,31
nah,31
continent,30
spot,30
european,30
visit,30
names,30
how,30
eight,30
light,30
article,30
h,30
whose,29
interest,29
principles,29
question,29
view,29
give,29
extended,29
object,29
course,29
discovery,29
village,29
ten,29
line,29
bones,29
influence,29
off,29
te,29
reh,29
indeed,28
true,28
vestiges,28
niagara,28
canton,28
raised,28
given,28
certain,28
days,28
body,28
covered,28
together,28
articles,28
better,28
area,28
told,28
until,28
carried,28
distance,28
tree,28
immediately,28
defence,28
military,27
rock,27
lakes,27
information,27
inquiry,27
spirit,27
position,27
namely,27
back,27
say,27
missionary,27
numerous,27
residence,27
killed,27
illustration,27
na,27
yah,27
public,26
material,26
right,26
bear,26
probable,26
quite,26
since,26
different,26
necessary,26
cannot,26
natural,26
preceding,26
mississippi,26
fifty,26
works,26
her,26
lodge,26
spring,26
size,26
pipe,26
lines,26
che,26
schoolcraft,25
report,25
condition,25
n,25
full,25
think,25
call,25
know,25
nor,25
further,25
objects,25
even,25
advance,25
field,25
find,25
ago,25
ohio,25
thousand,25
members,25
falls,25
le,25
descent,25
words,25
earth,25
next,25
