word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
and,the,8.39%,other,1.49%,a,1.3%
the,iroquois,1.75%,senecas,1.09%,same,1.09%
this,is,2.9%,was,2.78%,people,1.97%
was,a,7.76%,the,6.94%,not,3.67%
from,the,43.98%,a,4.14%,their,3.76%
of,the,35.87%,this,3.92%,their,3.72%
for,the,21.9%,a,6.33%,their,6.08%
their,own,4.52%,ancient,2.45%,history,1.68%
site,of,76.36%,the,3.64%,notes,1.82%
on,the,54.23%,this,6.19%,a,4.89%
iroquois,to,5.36%,as,4.17%,cantons,3.57%
or,the,2.79%,a,2.21%,more,1.91%
to,the,19.35%,be,8.62%,have,3.88%
history,of,27.06%,and,12.94%,they,5.88%
general,council,8.79%,and,6.59%,of,4.4%
new,york,63.31%,england,5.76%,france,2.88%
by,the,35.63%,a,9.13%,their,2.54%
at,the,29.09%,least,6.36%,this,5.82%
york,and,11.36%,historical,9.09%,in,5.68%
c,c,10.39%,is,9.09%,and,7.79%
four,years,11.11%,miles,9.26%,feet,9.26%
in,the,32.05%,a,6.07%,this,4.67%
a,few,2.75%,large,1.57%,very,1.4%
more,than,13.07%,or,3.92%,fully,3.27%
original,work,4.35%,stock,4.35%,name,2.9%
has,been,33.17%,a,7.54%,not,4.52%
been,the,5.19%,found,4.9%,a,3.75%
it,is,24.2%,was,14.01%,would,3.72%
nation,in,7.41%,and,5.56%,of,5.56%
present,site,7.37%,year,6.32%,day,5.26%
are,the,4.47%,now,4.21%,not,3.16%
into,the,36.62%,their,7.75%,a,7.75%
out,of,28.95%,and,8.77%,the,7.02%
our,aboriginal,6.25%,history,4.69%,latitudes,4.69%
own,origin,4.92%,traditions,4.92%,a,3.28%
they,were,18.15%,are,7.7%,had,6.66%
have,been,31.41%,no,3.21%,had,3.21%
themselves,and,7.5%,in,6.25%,at,5.0%
than,the,25.45%,any,4.55%,that,4.55%
three,hundred,8.0%,or,6.67%,miles,6.67%
against,the,44.64%,their,7.14%,each,5.36%
period,of,39.68%,the,6.35%,which,4.76%
them,and,9.47%,to,8.71%,in,7.58%
name,of,33.33%,and,7.21%,for,7.21%
which,is,8.32%,they,7.99%,the,7.32%
with,the,30.13%,a,11.28%,this,2.77%
these,tribes,5.38%,were,5.0%,are,3.85%
each,of,24.42%,other,17.44%,tribe,12.79%
much,of,13.7%,in,5.48%,the,4.11%
but,the,10.74%,it,8.59%,a,4.6%
while,the,32.73%,they,12.73%,it,7.27%
we,have,11.94%,may,9.95%,are,7.96%
made,to,8.51%,from,7.09%,of,7.09%
an,ancient,6.47%,early,6.18%,indian,4.12%
population,of,23.53%,in,11.76%,is,5.88%
far,as,34.33%,the,8.96%,from,5.97%
up,the,25.27%,and,9.89%,to,9.89%
very,well,5.88%,much,4.2%,nearly,4.2%
little,more,7.25%,to,7.25%,or,5.8%
if,the,9.24%,it,9.24%,not,6.72%
any,other,14.48%,of,9.66%,thing,5.52%
indian,art,4.47%,name,3.35%,graves,2.79%
that,the,21.96%,they,9.08%,it,5.86%
one,of,32.39%,hundred,8.45%,and,2.46%
who,were,9.32%,had,8.7%,was,6.52%
had,been,16.46%,the,4.57%,not,3.66%
lived,in,20.37%,on,18.52%,at,11.11%
all,the,22.68%,other,4.12%,their,4.12%
time,and,14.79%,of,9.15%,to,6.34%
still,more,9.59%,the,5.48%,to,5.48%
should,be,22.86%,not,18.57%,have,17.14%
be,the,5.98%,a,2.79%,said,2.19%
not,a,5.7%,only,5.18%,been,3.63%
some,of,18.45%,years,3.32%,time,3.32%
here,they,8.7%,and,8.7%,as,7.25%
is,a,9.02%,the,8.14%,not,6.05%
now,in,4.63%,to,4.63%,on,3.7%
character,of,33.33%,and,17.54%,to,5.26%
only,to,15.05%,a,8.6%,the,6.45%
state,of,23.33%,and,8.33%,in,5.0%
before,the,42.22%,they,5.56%,a,3.33%
i,have,19.1%,am,7.64%,e,6.6%
ancient,and,5.06%,indian,5.06%,site,2.53%
as,the,16.39%,a,9.71%,they,5.31%
oneida,stone,22.37%,castle,11.84%,county,7.89%
stone,and,9.52%,of,5.95%,the,5.95%
senecas,and,11.34%,of,6.19%,they,4.12%
