word type,number
everything,207757
adult,1
hate,0
function,118070
normal,number
the,10922
and,8833
of,7850
to,5470
a,5285
i,4352
that,3391
in,3211
was,2618
it,2481
he,1924
you,1762
with,1654
had,1650
for,1617
as,1415
my,1391
is,1386
she,1309
at,1297
all,1174
but,1165
her,1144
his,1125
me,1080
said,1067
we,1032
have,992
not,969
this,947
there,894
were,883
be,869
they,833
one,800
so,793
an,768
on,712
from,700
by,645
no,639
are,624
little,617
out,604
him,575
or,569
what,565
then,562
been,555
into,531
do,530
our,529
if,528
up,527
upon,516
about,514
things,512
very,493
now,490
more,486
world,449
us,449
which,447
them,429
life,420
who,401
some,397
man,393
know,390
would,383
like,375
when,371
time,367
could,354
their,354
came,353
will,347
any,343
has,342
these,339
still,334
than,332
over,325
its,324
men,317
see,316
great,313
think,310
those,303
how,298
your,297
come,296
again,291
go,288
before,285
only,278
down,276
first,275
made,275
back,268
lady,267
must,266
something,265
people,263
did,261
way,252
other,249
last,246
it's,245
mind,243
sea,242
melville,241
went,238
new,236
should,236
after,236
old,235
seemed,234
thing,234
just,233
never,231
can,231
mary,221
day,221
thought,221
here,221
want,219
two,219
much,218
even,212
why,208
bunting,208
through,196
away,196
don't,195
too,193
most,189
such,184
work,184
long,183
every,183
mrs,182
king,181
human,179
years,177
quite,176
going,175
face,173
get,172
eyes,171
nothing,171
make,167
say,166
love,165
between,163
stephen,163
might,162
well,161
am,157
against,157
under,157
ever,156
got,154
being,153
myself,153
may,150
far,150
because,149
indeed,149
found,148
sort,146
tell,144
hand,142
together,140
moment,135
good,133
mr,131
light,131
end,130
talk,129
towards,129
own,129
course,129
house,128
always,128
perhaps,128
place,128
looked,127
saw,127
yet,126
women,126
once,123
days,122
became,120
rather,120
suppose,119
while,117
remember,117
young,117
already,116
done,116
night,116
asked,115
side,114
altogether,112
whole,112
began,111
until,111
yes,110
cousin,109
miss,108
understand,107
everything,107
dear,106
where,106
many,105
half,105
war,104
another,104
turned,104
anything,103
shall,102
part,102
three,102
woman,100
presently,99
almost,98
suddenly,97
take,97
believe,97
beautiful,96
left,96
without,96
himself,94
put,94
matter,94
social,94
seem,93
stood,92
set,91
white,91
beyond,91
though,91
find,91
clear,90
wanted,90
seems,90
water,90
mean,90
let,90
i've,90
sat,89
less,89
same,89
off,89
certain,89
give,88
told,87
does,87
air,86
look,85
behind,85
really,85
times,84
common,84
become,83
london,83
gone,82
nor,82
full,82
power,82
few,81
above,81
hands,81
across,81
state,80
sense,79
felt,79
better,79
looking,79
each,79
near,79
sky,79
seen,79
knew,79
right,79
cried,79
among,78
story,77
i'm,76
high,75
doubt,75
along,74
father,73
also,73
vast,73
voice,73
talked,72
history,72
ideas,72
head,72
took,72
hundred,72
that's,72
mankind,71
feel,70
coming,70
oh,70
open,69
isn't,69
living,68
can't,68
spirit,67
strange,67
black,67
gave,67
met,67
else,66
nearly,66
comes,66
free,66
quality,66
heart,65
possible,65
write,64
dark,64
self,64
making,64
doing,64
section,64
bombs,64
kind,63
cannot,63
itself,63
brought,63
both,63
dead,62
enough,62
round,62
large,62
children,61
real,61
idea,60
door,60
country,60
morning,60
deep,60
least,60
sir,60
south,59
beginning,59
poor,59
thinking,59
live,59
longer,59
below,59
atomic,59
blue,58
lives,58
mere,58
best,58
within,58
keep,58
century,58
help,57
year,57
small,57
different,57
taken,56
room,56
question,56
thousand,56
big,56
she's,56
business,55
sometimes,55
afterwards,55
didn't,55
sun,55
ancient,55
england,55
ago,54
next,54
feet,54
second,54
thoughts,53
dream,53
called,53
tried,53
hard,53
hold,52
lay,52
garden,52
simple,52
fact,52
fred,52
age,51
need,51
able,51
clearly,51
imagination,50
certainly,50
order,50
talking,50
spoke,50
science,50
america,49
whether,49
fell,49
death,49
held,49
alone,49
impossible,49
english,49
doesn't,49
passion,49
herself,49
there's,49
mine,48
book,48
happened,48
soon,48
modern,48
government,48
except,48
writing,47
body,47
word,47
slowly,47
wonderful,47
energy,47
stopped,47
hope,47
line,47
case,47
child,46
whatever,46
home,46
phase,46
passed,46
red,46
