word type,number
everything,103535
adult,1
hate,0
function,59835
normal,number
the,4590
and,4556
of,3726
i,3356
to,2870
a,2589
that,1809
in,1574
was,1194
it,1178
you,1121
my,1095
had,892
me,879
with,876
for,800
we,731
as,710
her,709
is,691
at,657
all,637
she,630
but,604
not,546
have,500
he,450
this,429
there,427
so,421
our,405
be,402
one,396
said,390
an,373
were,372
from,358
on,344
are,342
little,337
out,311
no,310
by,302
his,298
or,296
things,289
now,288
do,283
us,279
if,274
into,269
what,267
life,264
then,259
more,259
about,251
up,251
been,246
very,238
they,235
upon,230
mary,221
some,215
your,214
which,214
than,205
could,193
when,192
like,192
those,187
time,182
see,180
world,176
think,174
still,173
will,173
how,173
come,172
came,172
would,172
them,169
again,168
man,168
mind,168
go,167
who,163
stephen,163
has,161
before,160
over,160
great,158
any,157
know,157
him,153
did,153
back,150
want,149
never,147
myself,142
something,141
should,139
it's,138
people,135
these,134
thought,132
men,132
other,132
its,132
love,131
went,129
must,127
made,127
can,125
day,122
seemed,122
much,121
only,120
their,120
thing,119
last,117
first,116
two,116
down,115
old,114
here,112
remember,108
why,108
too,107
way,106
away,106
just,106
don't,106
make,103
after,103
even,101
between,100
face,99
long,98
going,97
say,96
got,95
through,94
work,94
most,93
nothing,92
new,91
years,91
together,91
eyes,90
get,90
against,88
lady,87
because,87
such,86
talk,86
tell,84
am,84
house,84
human,84
far,78
ever,76
being,75
yet,73
found,72
towards,72
suppose,72
indeed,71
altogether,71
dear,71
every,71
perhaps,71
women,71
good,70
own,69
another,68
days,67
might,66
wanted,65
under,65
woman,65
may,64
always,64
once,63
done,63
place,63
well,62
part,62
hand,62
quite,62
night,61
end,60
light,60
until,60
father,59
while,58
become,58
understand,58
saw,57
believe,57
beautiful,56
looked,56
already,56
where,56
beyond,56
rather,56
moment,55
i've,55
told,54
young,54
left,54
mr,53
write,53
three,53
side,53
children,52
across,52
though,52
felt,51
stood,51
everything,51
same,51
can't,51
shall,50
whole,50
white,50
course,50
sort,49
turned,49
seem,49
heart,49
near,49
give,49
yes,49
let,49
set,48
clear,48
less,48
sense,48
behind,48
knew,48
social,48
find,48
became,47
almost,47
feel,46
half,46
suddenly,46
labor,46
take,45
each,45
anything,45
england,45
met,45
i'm,45
gone,44
sat,44
nor,44
matter,44
war,43
began,43
looking,43
living,43
full,43
self,43
off,43
common,43
isn't,43
letter,43
better,42
seen,42
mean,42
many,41
presently,41
talked,41
without,41
writing,40
put,40
look,40
kind,40
morning,40
quality,40
story,39
times,39
thinking,39
does,39
ancient,39
free,39
passion,39
both,39
mine,38
hands,38
open,38
didn't,38
real,38
took,38
big,38
mankind,37
cannot,37
lives,37
seems,37
letters,36
also,36
vast,36
home,36
making,36
philip,36
oh,36
n,35
business,35
dead,35
state,35
above,35
voice,35
mere,35
ideas,35
nearly,35
london,35
along,35
english,35
south,34
thoughts,34
dark,34
else,34
high,34
history,34
sky,34
empire,34
large,34
america,33
spirit,33
book,33
afterwards,33
room,33
doing,33
comes,33
among,33
round,33
live,33
son,32
sometimes,32
best,32
doubt,32
different,32
cried,32
effort,31
need,31
head,31
deep,31
keep,31
clearly,31
greater,30
coming,30
alone,30
word,30
ourselves,30
present,30
wonder,30
meet,30
longer,30
tried,30
we've,30
hope,30
meeting,29
jealousy,29
few,29
happened,29
lost,29
hold,29
black,29
loved,29
second,29
water,29
impossible,29
talking,29
wasn't,29
neither,29
politics,29
hard,29
chance,29
that's,29
answer,28
idea,28
friend,28
forgotten,28
boy,28
read,28
strange,28
held,28
next,28
hundred,28
possible,28
called,28
wrote,28
god,28
girl,28
year,27
desire,27
really,27
door,27
since,27
park,27
garden,27
right,27
guy,27
trees,27
least,27
hear,27
whether,26
ago,26
memories,26
taken,26
death,26
forget,26
enough,26
situation,26
secret,26
within,26
natural,26
thousand,26
name,26
certain,26
asked,26
you've,26
africa,25
child,25
fell,25
ought,25
itself,25
lay,25
mother,25
brought,25
queer,25
table,25
broad,25
grey,25
everyone,25
wonderful,25
note,25
clean,25
gave,25
india,25
changed,24
kept,24
interest,24
phase,24
window,24
sun,24
country,24
slowly,24
one's,24
turn,24
wife,24
there's,24
sea,24
passionate,23
leave,23
close,23
whatever,23
reality,23
begin,23
imagination,23
effect,23
able,23
position,23
past,23
understanding,23
wide,23
given,23
spoke,23
won't,23
walked,23
sex,23
except,23
herself,23
marry,23
east,22
help,22
known,22
yours,22
blue,22
question,22
moments,22
ask,22
particularly,22
four,22
sunshine,22
green,22
hours,22
simple,22
early,22
power,22
discovered,22
taking,22
air,22
friends,21
beginning,21
late,21
whom,21
perceived,21
seeing,21
feet,21
freedom,21
beauty,21
certainly,21
heard,21
saying,21
stand,21
modern,21
during,21
sir,21
divorce,21
she's,21
marriage,20
wish,20
body,20
himself,20
poor,20
small,20
difficult,20
sorts,20
huge,20
creature,20
feeling,20
speak,20
ready,20
recall,20
memory,20
places,20
splendid,20
narrow,20
tall,20
words,20
complete,20
exactly,20
hills,20
impulse,20
stay,20
hotel,20
problem,20
e,19
personal,19
particular,19
meant,19
tremendous,19
further,19
having,19
father's,19
tree,19
conversation,19
peculiar,19
fine,19
summer,19
sister,19
dreams,19
happy,19
brown,19
order,19
shining,19
silence,19
struggle,19
afternoon,19
line,19
case,19
rose,18
necessary,18
presence,18
hour,18
written,18
sweet,18
cold,18
vague,18
explain,18
goes,18
fear,18
warm,18
growing,18
standing,18
corner,18
whose,18
others,18
process,18
fight,18
used,18
point,18
couldn't,18
doesn't,18
political,18
germany,18
shadow,18
german,18
rest,18
six,18
you're,18
shoulder,18
sit,18
europe,18
m,18
street,17
copyright,17
greatly,17
cousin,17
private,17
passed,17
arms,17
streets,17
true,17
giving,17
conditions,17
merely,17
makes,17
glad,17
movement,17
means,17
stopped,17
train,17
party,17
none,17
broke,17
return,17
lips,17
promise,17
immense,17
twenty,16
fresh,16
person,16
rate,16
change,16
dream,16
followed,16
minds,16
answered,16
evening,16
ill,16
either,16
possession,16
easy,16
red,16
save,16
form,16
soft,16
wouldn't,16
reached,16
outside,16
dinner,16
service,16
law,16
monstrous,16
break,16
call,16
vanished,16
space,16
mountains,16
popular,16
w,16
christian,15
chapter,15
age,15
curious,15
purpose,15
use,15
themselves,15
career,15
literature,15
apart,15
vivid,15
sent,15
bright,15
filled,15
public,15
extreme,15
touch,15
happen,15
eye,15
struck,15
dignity,15
peace,15
nearer,15
sight,15
arm,15
five,15
perceive,15
fact,15
earth,15
interests,15
humanity,15
aware,15
wall,15
view,15
abruptly,15
we're,15
british,15
land,15
general,15
run,15
later,15
possibility,15
miss,15
lot,15
waiting,15
familiar,15
haven't,15
lived,14
blood,14
youth,14
showed,14
intimate,14
experience,14
spent,14
opened,14
hers,14
soon,14
yourself,14
pain,14
tears,14
forward,14
fallen,14
edge,14
grass,14
mixed,14
figures,14
fall,14
instead,14
sitting,14
odd,14
below,14
class,14
naturally,14
separation,14
forces,14
friendship,14
west,14
shy,14
questions,14
brother,14
tea,14
faces,14
gun,14
spite,14
stop,14
intentions,13
realize,13
died,13
shadows,13
beside,13
finding,13
grown,13
bring,13
realization,13
race,13
honest,13
decided,13
color,13
impression,13
knows,13
various,13
number,13
hill,13
city,13
station,13
beneath,13
society,13
truth,13
scarcely,13
younger,13
manifestly,13
oxford,13
car,13
science,13
manner,13
appeared,13
watched,13
torn,13
family,13
game,13
ours,13
civilization,13
possibilities,13
reading,13
expected,13
knowledge,13
essential,13
entirely,13
trying,13
drawn,13
dawn,13
somewhere,13
french,13
measure,13
weeks,13
remained,13
darkness,13
trail,13
paris,13
wind,13
release,13
c,13
l,12
company,12
affairs,12
struggles,12
expression,12
hidden,12
facts,12
watching,12
books,12
confused,12
anyone,12
dreadful,12
boys,12
study,12
conviction,12
wild,12
believed,12
desk,12
fair,12
substance,12
beginnings,12
lies,12
gigantic,12
reach,12
crowded,12
man's,12
stage,12
pass,12
ends,12
demand,12
force,12
forced,12
eager,12
outlook,12
urged,12
steps,12
conception,12
matters,12
play,12
excitement,12
sound,12
soul,12
ruins,12
serve,12
phrase,12
lord,12
mood,12
glow,12
interested,12
silent,12
kissed,12
future,12
forms,12
money,12
parting,12
manifest,12
mental,12
rich,12
he's,12
heavy,12
you'll,12
paused,12
speaking,12
escape,12
king,12
husband,12
satchel,12
york,11
middle,11
active,11
months,11
extraordinary,11
concerned,11
aspects,11
remembered,11
nature,11
amazing,11
religion,11
papers,11
stillness,11
drew,11
waste,11
bitter,11
colored,11
slight,11
gardens,11
bad,11
friendly,11
needs,11
intention,11
regarded,11
bed,11
carried,11
bit,11
centre,11
france,11
church,11
town,11
yellow,11
lit,11
spread,11
distant,11
luminous,11
sudden,11
servants,11
shape,11
fierce,11
clothes,11
occurred,11
lying,11
storm,11
ears,11
lawn,11
somehow,11
wrong,11
weak,11
views,11
getting,11
playing,11
shouldn't,11
ahead,11
enterprise,11
importance,11
rooms,11
definite,11
pause,11
flowers,11
quick,11
someone,11
weather,11
absurd,11
infinitely,11
tennis,11
hair,11
moved,11
grew,11
faith,11
italy,11
lover,11
creative,11
honor,11
intolerable,11
army,11
tired,11
disaster,11
surrey,11
simply,11
martens,11
reason,11
abroad,11
nonsense,11
ruin,11
pit,11
j,11
states,10
fully,10
ceased,10
grave,10
instant,10
understood,10
learnt,10
sought,10
lights,10
realized,10
school,10
stiff,10
individual,10
constantly,10
extraordinarily,10
lonely,10
week,10
account,10
ground,10
returned,10
twice,10
opening,10
glass,10
running,10
married,10
intellectual,10
group,10
spaces,10
thin,10
beings,10
incredible,10
bent,10
yesterday,10
care,10
wider,10
destruction,10
caught,10
calling,10
stick,10
courage,10
discussion,10
discussing,10
intelligent,10
imagine,10
accident,10
proper,10
faint,10
shame,10
often,10
movements,10
path,10
missed,10
existence,10
endless,10
you'd,10
boat,10
level,10
fire,10
picture,10
phrases,10
universal,10
tradition,10
century,10
following,10
immediate,10
needed,10
direction,10
imaginative,10
dusty,10
indian,10
dropped,10
faced,10
sure,10
says,10
low,10
gesture,10
short,10
empty,10
bear,10
i'd,10
anyhow,10
mrs,10
prepared,10
nobody,10
problems,10
hadn't,10
returning,10
anger,10
lovers,10
wants,10
parted,10
amazed,10
staring,10
sunlight,10
infinite,10
repeated,10
anxious,10
thrust,10
absolutely,10
passions,10
bell,10
lake,10
american,10
list,10
fiction,10
burt,9
united,9
moonlight,9
decay,9
loss,9
dreamt,9
won,9
paper,9
touched,9
moving,9
disposed,9
crisis,9
respect,9
admirable,9
extremely,9
deliberate,9
remarkable,9
begins,9
weeping,9
river,9
seat,9
branches,9
spring,9
profoundly,9
passionately,9
silences,9
working,9
miles,9
wet,9
groups,9
several,9
straight,9
fellowship,9
wilderness,9
played,9
glowing,9
figure,9
ten,9
animal,9
trained,9
try,9
beast,9
walking,9
stuff,9
oneself,9
argument,9
quiet,9
vain,9
range,9
alive,9
suggestion,9
fellow,9
watch,9
heaven,9
row,9
scattered,9
attack,9
started,9
emotions,9
happiness,9
begun,9
shared,9
control,9
scenery,9
settled,9
confidence,9
jealous,9
front,9
north,9
asia,9
soldiers,9
novels,9
contemporary,9
stayed,9
detail,9
brightness,9
tongue,9
gives,9
attention,9
perfectly,9
wood,9
convey,9
hesitated,9
respectable,9
tore,9
decent,9
dull,9
everybody,9
forth,9
notes,9
characteristic,9
hopeless,9
whispered,9
struggled,9
angry,9
hot,9
closed,9
plain,9
destiny,9
worth,9
price,9
ugly,9
breaking,9
bigger,9
shot,9
yards,9
hillside,9
flung,9
futility,9
rocks,9
putting,9
pay,9
unity,9
wave,9
sunlit,9
riddling,9
inn,9
european,9
s,8
experiences,8
toil,8
remain,8
consider,8
strength,8
conference,8
freely,8
persons,8
reflected,8
evidence,8
difficulties,8
setting,8
die,8
slept,8
sleep,8
covered,8
drawing,8
listening,8
profound,8
lunch,8
interminable,8
pine,8
thick,8
stream,8
wealth,8
exceptionally,8
sand,8
twilight,8
dim,8
railway,8
gracious,8
dreaming,8
depths,8
hide,8
cases,8
artificial,8
finished,8
limited,8
partly,8
hostility,8
reasonable,8
feelings,8
crude,8
dozen,8
listen,8
hatred,8
association,8
dramatic,8
scheme,8
thousands,8
issue,8
remote,8
accepted,8
utmost,8
brave,8
moreover,8
dare,8
magic,8
occasion,8
hit,8
intimacy,8
stones,8
preposterous,8
kill,8
modest,8
institutions,8
learn,8
please,8
difficulty,8
cliffs,8
rising,8
towering,8
luck,8
largely,8
laws,8
tariff,8
national,8
adventurous,8
ignorant,8
ignorance,8
astonished,8
significance,8
clouds,8
central,8
china,8
sexual,8
blazing,8
slender,8
looks,8
winter,8
rise,8
court,8
chinese,8
mouth,8
closely,8
asking,8
aren't,8
kiss,8
opportunity,8
simplicity,8
cease,8
former,8
pride,8
profile,8
succeed,8
wait,8
club,8
office,8
cruel,8
share,8
coffee,8
jealousies,8
worn,8
remains,8
fighting,8
fifty,8
broken,8
grooves,8
hung,8
built,8
attempt,8
houses,8
excuse,8
larger,8
imagined,8
added,8
brain,8
music,8
beasts,8
pieces,8
mountain,8
rome,8
maid,8
moderate,8
prices,8
dealer,8
company's,8
chap,7
page,7
grandfather,7
established,7
rush,7
strong,7
manhood,7
hiding,7
doubted,7
bound,7
dry,7
boyish,7
portrait,7
steel,7
wisdom,7
multitudinous,7
realities,7
surely,7
frank,7
instinct,7
shock,7
nowadays,7
busy,7
forgot,7
gathered,7
mademoiselle,7
potin,7
companion,7
appearance,7
however,7
flushed,7
affair,7
carry,7
remarked,7
trace,7
capable,7
lie,7
flower,7
custom,7
thirty,7
traditions,7
older,7
woods,7
amidst,7
lines,7
sunset,7
multitude,7
delicate,7
convinced,7
stirred,7
upper,7
usually,7
restrained,7
continually,7
feels,7
purposes,7
bodies,7
telling,7
lower,7
innumerable,7
unreal,7
surveyed,7
pale,7
net,7
pitch,7
wise,7
shooting,7
carrying,7
cruelty,7
sport,7
pink,7
minute,7
flashed,7
instinctive,7
stars,7
perpetual,7
confessed,7
dignified,7
stir,7
generous,7
devotion,7
conflict,7
resentment,7
pretend,7
methods,7
progress,7
appeal,7
imperialism,7
earlier,7
economic,7
financial,7
peoples,7
trade,7
immediately,7
encounter,7
drive,7
circumstances,7
gathering,7
desires,7
smile,7
melancholy,7
faded,7
enormous,7
noted,7
luggage,7
shoulders,7
throughout,7
engaged,7
road,7
tremendously,7
keeping,7
laugh,7
daring,7
plainly,7
step,7
planning,7
glance,7
exquisite,7
illustrated,7
phantom,7
mattered,7
picked,7
greatness,7
suspicion,7
spectacle,7
events,7
powerful,7
hoped,7
intervening,7
passing,7
lorgnette,7
rapid,7
windows,7
promised,7
ice,7
lifted,7
hint,7
stands,7
desperate,7
grow,7
plans,7
bar,7
rapidly,7
ye,7
limitations,7
cheek,7
protest,7
walk,7
romantic,7
anywhere,7
unless,7
sees,7
bye,7
violent,7
tormented,7
stupid,7
intense,7
building,7
corners,7
astonishment,7
soldier,7
rain,7
heap,7
silver,7
despair,7
daylight,7
seven,7
material,7
publishing,7
amazingly,7
completely,7
chair,7
gravely,7
servitude,7
interval,7
clearer,7
conflicts,7
weight,7
bargain,7
weep,7
switzerland,7
magnificent,7
bombay,7
badly,7
maxwell,7
brothers,6
swarming,6
worked,6
sympathy,6
spirits,6
pitiful,6
pleasant,6
firm,6
follow,6
amazement,6
eight,6
bedroom,6
humorous,6
glimpse,6
becoming,6
fathers,6
forty,6
tragedy,6
conceivable,6
laid,6
whip,6
paid,6
behavior,6
developing,6
justice,6
tender,6
aloud,6
intolerably,6
conceived,6
dread,6
hearts,6
slightest,6
relief,6
verge,6
affected,6
example,6
shan't,6
wound,6
forest,6
easily,6
vividly,6
liked,6
soil,6
insensibly,6
bracken,6
turf,6
waited,6
steep,6
latter,6
foam,6
catch,6
carries,6
artists,6
distinctly,6
standards,6
resolved,6
pressed,6
master,6
steve,6
extended,6
keen,6
wicked,6
image,6
motor,6
virtues,6
horse,6
assured,6
games,6
attitude,6
beat,6
failure,6
birds,6
glory,6
cat,6
explanation,6
choose,6
press,6
hastily,6
rough,6
energy,6
quarrel,6
intimations,6
clumsy,6
system,6
hall,6
spirited,6
recognition,6
achievement,6
relationship,6
dominated,6
action,6
phases,6
difference,6
bare,6
ridiculous,6
gallery,6
cut,6
diverted,6
considered,6
project,6
terms,6
relations,6
philosophy,6
strain,6
field,6
deal,6
plan,6
rules,6
drift,6
palaces,6
fate,6
leaves,6
journey,6
buy,6
arrived,6
pavilion,6
length,6
fury,6
elder,6
cared,6
probably,6
noble,6
smiled,6
possessed,6
purple,6
painful,6
distance,6
masses,6
novel,6
command,6
chin,6
golden,6
perplexed,6
intercourse,6
spend,6
bridge,6
blank,6
score,6
gold,6
stronger,6
trouble,6
names,6
insisted,6
supposed,6
correspondence,6
exile,6
enquiry,6
search,6
secretary,6
scotland,6
join,6
desolation,6
wages,6
ambitions,6
seeking,6
glanced,6
comprehensive,6
reply,6
japanese,6
heads,6
terrible,6
shut,6
ham,6
they're,6
departure,6
defeat,6
planned,6
meetings,6
value,6
meaning,6
schemes,6
opportunities,6
chances,6
travel,6
illuminating,6
explained,6
rare,6
they've,6
member,6
telegram,6
moods,6
definitely,6
adventure,6
throw,6
horrible,6
perplexity,6
stuck,6
distress,6
smoke,6
thence,6
iron,6
drink,6
raised,6
horses,6
prisoners,6
mirror,6
halted,6
essentially,6
specialized,6
moon,6
million,6
voices,6
wretched,6
insist,6
prayed,6
clung,6
damned,6
veld,6
waters,6
recalled,6
ignore,6
obviously,6
intended,6
eyed,6
gleam,6
feminine,6
usage,6
rises,6
inevitably,6
turns,6
rigid,6
sources,6
bitterness,6
hid,6
vision,6
projects,6
scandal,6
rage,6
becomes,6
particulars,6
breakfast,6
unhappy,6
cities,6
island,6
delhi,6
temples,6
enslavement,6
collective,6
leg,6
berwick,6
joseph,6
barr,6
boyhood,5
attitudes,5
discover,5
enquiries,5
leaving,5
confusion,5
illness,5
operation,5
evil,5
expect,5
concealed,5
alert,5
indistinct,5
accidental,5
vestiges,5
wonderfully,5
rolled,5
attempted,5
bitterly,5
achieved,5
gather,5
gist,5
traditional,5
trust,5
tragic,5
show,5
incident,5
expressed,5
gentleman,5
deeply,5
stone,5
limitless,5
violence,5
discussed,5
smarting,5
blundering,5
apprehension,5
walls,5
offer,5
successful,5
slightly,5
training,5
educated,5
st,5
swiss,5
interesting,5
stretches,5
animated,5
mist,5
keeps,5
beating,5
torrent,5
kindred,5
glimpses,5
ashamed,5
passes,5
someday,5
imaginations,5
ignored,5
cast,5
clamor,5
subjugation,5
speech,5
shaped,5
savage,5
suppression,5
star,5
sides,5
boots,5
minded,5
hat,5
bearing,5
legs,5
traffic,5
belief,5
dismissed,5
doubts,5
insistence,5
effective,5
thirteen,5
start,5
accumulating,5
countless,5
detailed,5
dispute,5
points,5
acutely,5
surface,5
visible,5
dirty,5
influence,5
maintained,5
correct,5
ball,5
subtle,5
nevertheless,5
haunted,5
blowing,5
rock,5
bank,5
sheer,5
hungry,5
led,5
finds,5
western,5
pointed,5
bracing,5
thoroughly,5
submit,5
rowed,5
furtive,5
obvious,5
timid,5
considerable,5
stiffly,5
sixth,5
creatures,5
conversations,5
charm,5
castle,5
prospects,5
