word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,24.92%,a,14.14%,my,2.69%
and,the,5.35%,i,4.84%,then,3.13%
the,world,2.3%,most,1.2%,great,1.15%
of,the,15.87%,a,5.87%,my,4.51%
with,a,15.3%,the,12.62%,her,5.37%
a,little,6.14%,man,1.83%,time,1.75%
new,york,12.22%,world,6.67%,phase,3.33%
in,the,25.21%,a,9.5%,my,8.34%
to,me,7.0%,the,6.86%,be,6.43%
our,lives,4.47%,own,2.98%,first,1.49%
were,to,4.05%,a,3.24%,all,2.97%
see,her,9.2%,that,7.47%,you,7.47%
i,had,8.53%,was,8.14%,have,3.62%
his,eyes,3.69%,face,3.36%,mind,3.02%
lady,mary,59.62%,in,9.62%,of,5.77%
mary,i,14.63%,and,13.17%,was,4.39%
this,is,5.42%,was,3.07%,time,2.59%
last,i,8.55%,the,5.98%,to,5.13%
first,time,12.07%,to,5.17%,and,3.45%
want,to,55.48%,you,14.38%,it,4.79%
very,much,6.75%,little,3.38%,beautiful,2.95%
much,as,10.08%,of,7.56%,more,7.56%
down,the,17.54%,to,11.4%,in,7.02%
my,mind,8.98%,life,5.77%,father,4.03%
life,and,10.23%,i,9.09%,of,7.2%
do,not,22.34%,you,10.64%,with,5.67%
so,much,10.07%,that,9.35%,far,5.52%
now,i,9.89%,that,7.42%,and,6.36%
that,i,10.23%,is,3.89%,was,2.95%
have,been,13.51%,to,7.86%,a,5.85%
come,to,25.73%,back,8.77%,out,7.02%
are,you,6.47%,going,4.71%,the,3.82%
all,the,18.74%,that,8.66%,this,6.3%
out,of,44.69%,to,5.47%,into,4.18%
may,be,21.88%,have,20.31%,not,6.25%
things,that,11.54%,i,9.79%,and,5.59%
little,while,2.99%,son,2.69%,green,1.79%
because,it,18.6%,i,17.44%,of,16.28%
they,were,15.38%,are,14.53%,had,8.55%
never,been,7.48%,to,4.08%,before,3.4%
been,a,4.08%,in,4.08%,so,2.86%
any,rate,9.55%,of,5.73%,other,5.1%
through,the,39.36%,a,10.64%,all,5.32%
me,i,8.63%,and,8.17%,to,6.1%
