word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,2.7%,me,2.36%,side,2.03%
the,of,12.76%,in,8.57%,and,5.29%
at,and,3.09%,looked,2.31%,that,2.16%
of,out,3.75%,one,1.35%,sort,1.19%
with,me,3.03%,and,2.45%,said,2.22%
a,of,8.33%,in,5.7%,for,5.7%
new,a,33.33%,the,15.56%,of,4.44%
in,and,3.22%,was,2.26%,me,1.8%
our,of,25.62%,in,6.72%,all,4.23%
were,we,21.74%,they,9.78%,there,8.15%
see,to,34.27%,you,24.72%,i,10.11%
i,and,6.72%,that,5.67%,as,3.23%
his,of,13.42%,in,12.08%,to,7.72%
and,me,1.61%,you,1.16%,said,1.0%
lady,of,10.59%,the,9.41%,said,8.24%
mary,lady,14.16%,of,8.22%,with,5.48%
again,and,9.7%,me,4.85%,her,4.24%
this,all,9.37%,of,8.43%,in,7.96%
world,the,56.82%,a,8.52%,new,3.41%
last,at,64.35%,the,16.52%,that,3.48%
first,the,40.87%,my,11.3%,at,9.57%
want,i,58.39%,you,8.05%,not,5.37%
very,the,11.34%,a,8.82%,and,5.88%
much,so,35.0%,as,14.17%,very,13.33%
to,want,2.85%,going,1.94%,me,1.87%
down,sat,7.83%,went,6.09%,came,5.22%
my,of,15.26%,in,11.93%,to,4.07%
life,my,24.05%,of,17.18%,in,5.73%
do,to,30.85%,i,22.7%,you,4.96%
so,and,10.26%,or,7.16%,is,4.06%
now,and,9.09%,me,4.2%,was,3.5%
that,of,3.76%,and,3.2%,all,3.08%
have,i,24.3%,must,8.43%,to,7.83%
come,to,18.6%,had,16.86%,have,6.4%
are,we,17.46%,you,17.16%,they,10.06%
all,and,8.44%,at,7.64%,of,7.32%
out,come,3.87%,went,2.26%,me,1.94%
may,i,28.12%,it,7.81%,we,7.81%
things,of,11.5%,the,10.45%,these,5.57%
little,a,47.45%,the,9.01%,very,2.4%
because,was,3.49%,partly,3.49%,politics,2.33%
they,as,5.98%,that,4.7%,and,4.7%
never,had,19.05%,i,11.56%,have,8.16%
been,had,43.09%,have,27.24%,has,7.72%
any,at,14.01%,of,9.55%,than,6.37%
through,all,7.61%,down,4.35%,up,3.26%
me,to,22.44%,for,4.78%,with,4.33%
tell,to,45.12%,and,6.1%,not,4.88%
as,was,4.16%,me,3.87%,just,2.58%
well,as,16.39%,so,8.2%,very,6.56%
can,i,37.7%,we,10.66%,you,9.84%
while,little,18.87%,and,9.43%,it,7.55%
am,i,93.98%,here,2.41%,again,1.2%
still,was,11.83%,i,5.92%,and,5.33%
man,a,27.98%,the,8.33%,young,4.76%
become,had,22.41%,to,12.07%,have,10.34%
mind,my,59.04%,her,6.02%,his,5.42%
one,as,5.15%,of,5.15%,no,4.38%
think,i,45.4%,to,14.94%,you,11.49%
is,it,26.45%,that,10.17%,there,8.87%
you,to,5.58%,if,4.48%,that,3.75%
only,not,19.17%,was,10.0%,is,8.33%
write,to,28.85%,i,19.23%,not,9.62%
not,did,12.64%,do,11.54%,is,6.96%
indeed,was,7.14%,if,7.14%,and,5.71%
but,me,4.08%,that,2.04%,nothing,2.04%
going,are,17.02%,am,8.51%,were,7.45%
be,to,45.02%,will,6.97%,should,5.47%
altogether,and,5.71%,her,5.71%,be,4.29%
day,to,24.79%,a,14.88%,the,9.09%
will,you,27.22%,i,13.02%,that,5.92%
when,and,5.38%,that,4.3%,but,4.3%
know,i,26.28%,you,25.0%,not,13.46%
how,and,10.65%,see,6.51%,but,5.33%
has,it,17.09%,that,11.39%,one,6.33%
then,and,55.08%,me,1.95%,was,1.56%
it,of,3.74%,and,3.13%,that,2.87%
too,was,6.67%,remember,4.76%,that,3.81%
for,and,3.58%,that,2.43%,it,1.79%
your,of,12.68%,in,6.57%,and,5.16%
old,the,23.89%,an,9.73%,my,7.08%
people,of,8.89%,the,6.67%,other,5.19%
if,as,23.42%,that,5.58%,and,5.2%
such,of,13.95%,with,5.81%,for,4.65%
came,i,26.79%,that,5.36%,we,5.36%
father,my,74.58%,his,11.86%,your,3.39%
was,i,23.11%,it,19.97%,there,7.22%
wanted,i,55.38%,she,7.69%,you,6.15%
from,away,6.2%,and,3.38%,me,2.54%
him,to,15.03%,with,6.54%,behind,4.58%
he,and,6.79%,that,4.45%,if,3.75%
must,i,25.6%,you,12.8%,it,9.6%
went,i,48.41%,and,10.32%,we,5.56%
house,the,44.0%,this,6.67%,a,5.33%
time,a,24.73%,the,13.74%,that,8.79%
had,i,33.1%,we,10.57%,she,8.36%
about,set,2.39%,and,1.99%,talk,1.99%
or,her,2.78%,year,2.08%,three,1.74%
always,and,12.5%,had,9.38%,has,6.25%
an,with,10.46%,of,8.85%,for,6.43%
into,out,4.89%,came,3.76%,up,3.01%
which,in,16.11%,to,8.06%,of,6.16%
did,i,39.6%,she,8.72%,we,4.7%
end,the,37.93%,an,12.07%,no,10.34%
years,three,8.79%,for,7.69%,many,7.69%
between,difference,3.06%,conflict,3.06%,fell,2.04%
us,of,20.43%,between,11.47%,to,7.89%
there,and,11.19%,that,3.81%,is,3.1%
upon,out,2.19%,suddenly,1.75%,back,1.75%
