word type,number
everything,39587
adult,0
hate,0
function,22260
normal,number
the,1765
and,1468
of,1131
a,1049
to,1006
he,686
she,611
i,579
in,576
that,565
it,558
said,470
was,435
you,419
her,373
is,329
with,309
for,308
his,303
as,290
at,285
all,253
but,249
melville,241
had,239
him,238
they,221
bunting,207
not,206
sea,196
have,196
what,196
there,193
know,191
my,185
be,182
this,181
lady,179
one,175
mrs,172
an,168
so,155
do,152
no,148
on,146
are,142
if,137
me,133
then,129
about,119
out,117
little,113
very,112
were,111
who,110
from,108
things,107
it's,107
up,104
been,100
into,96
by,94
miss,91
cousin,89
has,89
don't,89
we,87
down,83
would,83
just,83
quite,83
them,83
way,80
or,80
why,79
mr,78
think,78
see,77
some,76
sort,71
when,71
can,71
more,71
how,70
something,70
like,70
came,70
any,69
back,69
come,66
will,65
after,64
man,64
must,62
go,60
well,60
asked,59
only,59
could,58
thing,58
made,57
upon,57
other,56
life,55
did,54
time,54
their,54
again,54
went,53
really,50
even,49
now,49
fred,49
moment,49
which,48
yes,48
never,47
than,47
people,46
much,46
course,46
good,46
eyes,46
should,46
say,46
seemed,45
these,45
get,45
world,45
being,45
first,44
face,43
that's,43
looked,42
tell,42
parker,41
nothing,40
your,40
here,40
such,39
too,39
going,39
thought,38
two,37
want,37
anything,36
may,36
always,36
mind,36
over,36
seems,35
she's,35
i've,35
mermaid,35
mean,35
am,34
young,34
understand,33
end,33
hand,33
away,32
before,32
believe,31
under,31
suppose,31
us,31
doesn't,31
i'm,31
last,30
everything,30
our,30
got,30
dear,30
might,30
does,30
water,29
rather,29
voice,29
those,28
great,28
look,28
indeed,28
long,28
still,28
turned,28
most,28
lady's,27
certain,27
make,27
off,27
oh,27
many,26
where,26
became,26
beautiful,26
put,26
far,26
saw,26
isn't,26
old,25
towards,25
ever,25
matter,25
because,25
help,25
there's,25
himself,25
harry,24
chair,24
doubt,24
found,24
air,24
tail,24
sure,24
every,24
right,23
story,23
told,23
take,23
cried,23
imagine,23
without,23
dream,23
almost,22
let,22
clear,22
house,22
stopped,22
whole,22
seem,22
says,22
suddenly,22
dreams,22
waters,22
buntings,21
work,21
day,21
find,21
pause,21
comes,21
talk,21
left,20
own,20
began,20
half,20
bunting's,20
looking,20
its,20
perhaps,20
anyhow,20
gone,20
light,19
case,19
beach,19
once,19
least,19
altogether,19
door,19
manner,19
done,19
fact,19
stood,19
herself,19
took,19
times,19
else,19
he's,19
until,18
family,18
hair,18
ladder,18
sat,18
deep,18
couldn't,18
better,18
poynting,18
mallow,18
hall,18
porter,18
coming,17
fancy,17
certainly,17
nor,17
question,17
rate,17
having,17
place,17
seen,17
side,17
can't,17
through,17
another,17
human,17
poor,17
wants,17
woman,17
didn't,17
won't,16
bath,16
girls,16
gather,16
trying,16
garden,16
head,16
white,16
london,16
whatever,15
except,15
night,15
gave,15
few,15
room,15
proper,15
hands,15
soul,15
wouldn't,15
regarded,15
public,14
different,14
yet,14
together,14
leas,14
high,14
sometimes,14
three,14
enough,14
space,14
while,14
against,14
give,14
presently,14
heard,14
vague,14
talked,14
abruptly,14
same,14
interest,14
imagination,14
rising,14
new,13
quality,13
engaged,13
person,13
feel,13
taken,13
behind,13
though,13
men,13
point,13
spoke,13
conversation,13
remained,13
knew,13
suggested,13
books,13
cannot,13
live,13
met,13
journalist,13
care,13
cigarette,13
doing,12
papers,12
everybody,12
beyond,12
serious,12
sir,12
soon,12
afterwards,12
both,12
between,12
hard,12
note,12
trouble,12
eye,12
sorts,12
exactly,12
real,12
straight,12
wanted,12
means,12
shall,12
ask,12
crisis,11
ago,11
years,11
near,11
full,11
particularly,11
along,11
low,11
arms,11
nice,11
death,11
dark,11
maid,11
admitted,11
general,11
feet,11
black,11
situation,11
what's,11
carried,11
several,11
pretty,11
keep,11
precisely,11
reason,11
repeated,11
days,11
line,11
child,11
reflected,11
simply,11
tea,11
whisper,11
tried,11
em,11
makes,11
answer,11
duty,11
election,11
girl,11
aunts,11
hotel,11
silence,11
settled,10
waiter,10
absolutely,10
bright,10
blue,10
bathing,10
private,10
hythe,10
party,10
brought,10
arm,10
appeared,10
hold,10
mouth,10
hung,10
best,10
words,10
bit,10
also,10
wrong,10
part,10
gesture,10
felt,10
smile,10
position,10
you're,10
talking,10
beauty,10
pink,10
set,10
view,10
women,10
mater,10
illustration,9
chapter,9
ii,9
journalists,9
group,9
second,9
charming,9
touch,9
call,9
simple,9
saying,9
whether,9
taking,9
thoughts,9
each,9
pleasant,9
land,9
wonderful,9
passed,9
word,9
already,9
impression,9
nobody,9
below,9
tone,9
mere,9
fine,9
sudden,9
added,9
topic,9
business,9
luncheon,9
they're,9
tall,9
friend,9
clearly,9
outside,9
lot,9
surely,9
club,9
fool,9
besides,9
iii,8
facts,8
positively,8
clever,8
later,8
around,8
fashion,8
whom,8
evident,8
affairs,8
class,8
less,8
son,8
morning,8
ladies,8
wrap,8
happened,8
threw,8
presence,8
breath,8
