word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
and,the,7.03%,then,5.57%,she,2.3%
the,sea,9.92%,world,1.28%,whole,1.1%
this,life,4.49%,is,3.93%,way,3.93%
was,a,8.18%,the,4.44%,in,4.21%
from,the,28.57%,his,8.57%,mrs,3.81%
made,a,24.56%,no,14.04%,it,10.53%
by,the,14.13%,a,8.7%,jove,6.52%
sea,lady,68.37%,lady's,11.73%,as,2.04%
lady,poynting,10.17%,and,5.08%,was,4.52%
i,don't,9.44%,have,6.12%,know,5.42%
it,is,13.09%,was,11.64%,and,3.27%
asked,melville,14.55%,the,12.73%,me,5.45%
see,it,10.81%,her,8.11%,the,8.11%
of,the,21.66%,a,4.78%,course,3.52%
some,one,8.0%,years,5.33%,of,5.33%
mr,bunting,49.21%,melville,39.68%,harry,3.17%
that,he,6.88%,the,5.8%,she,4.71%
she,said,11.94%,had,7.63%,is,6.63%
down,to,13.25%,the,8.43%,with,6.02%
with,a,23.26%,the,13.95%,her,8.64%
a,little,6.14%,moment,3.36%,sort,2.59%
little,group,3.54%,while,3.54%,things,2.65%
about,the,11.86%,a,10.17%,and,8.47%
why,should,23.68%,not,7.89%,do,6.58%
they,were,11.42%,are,7.76%,had,4.57%
to,the,7.68%,be,7.06%,do,5.32%
do,you,18.24%,it,7.43%,not,6.76%
but,i,6.78%,it,5.51%,he,4.24%
his,face,3.67%,eyes,2.67%,mind,2.67%
as,if,10.84%,a,8.39%,the,6.99%
have,been,16.49%,to,4.64%,a,3.09%
all,the,12.3%,that,11.51%,this,5.56%
very,much,7.14%,well,3.57%,beautiful,2.68%
who,had,13.08%,is,8.41%,was,6.54%
so,far,7.79%,much,5.84%,they,3.9%
at,the,21.19%,all,7.43%,last,7.06%
must,have,32.26%,be,17.74%,confess,4.84%
things,i,7.62%,are,5.71%,she,5.71%
in,the,25.44%,a,12.01%,her,6.01%
my,cousin,47.54%,dear,9.29%,life,3.28%
cousin,melville,37.5%,made,3.41%,was,3.41%
melville,and,9.28%,i,6.33%,she,3.8%
up,and,14.0%,to,13.0%,in,4.0%
for,a,28.0%,the,12.0%,him,7.33%
would,have,20.48%,be,20.48%,not,8.43%
way,to,9.09%,of,7.79%,in,7.79%
were,not,4.5%,of,2.7%,just,2.7%
no,doubt,12.24%,more,6.8%,one,6.12%
did,not,36.54%,she,7.69%,he,7.69%
just,as,17.07%,the,7.32%,how,6.1%
how,can,16.42%,do,10.45%,the,4.48%
are,you,5.76%,better,4.32%,not,2.88%
there,was,20.53%,is,14.74%,are,10.0%
is,a,13.41%,the,5.49%,not,4.27%
upon,the,23.64%,him,16.36%,and,7.27%
on,the,37.32%,a,7.04%,his,5.63%
not,to,7.96%,a,3.98%,know,3.48%
you,know,23.53%,are,4.66%,have,3.68%
think,of,25.0%,you,10.53%,he,6.58%
time,and,5.77%,in,3.85%,of,3.85%
their,proper,5.56%,eyes,3.7%,talk,3.7%
mrs,bunting,89.94%,bunting's,9.47%,ward's,0.59%
bunting,and,9.9%,was,6.44%,with,3.96%
sort,of,70.42%,were,2.82%,quite,1.41%
quite,a,7.23%,understand,4.82%,so,3.61%
be,a,5.52%,no,3.87%,at,2.21%
any,rate,24.64%,one,20.29%,other,7.25%
has,been,11.49%,a,9.2%,to,5.75%
me,to,9.16%,and,7.63%,she,6.87%
them,and,9.64%,all,7.23%,they,4.82%
or,so,11.25%,something,6.25%,at,3.75%
out,of,38.26%,the,5.22%,there,4.35%
when,he,17.39%,they,11.59%,i,11.59%
can,be,14.71%,get,5.88%,do,5.88%
what,is,11.17%,i,8.51%,you,6.91%
an,air,5.99%,end,4.19%,instant,2.4%
had,been,11.39%,a,6.33%,gone,4.22%
then,he,11.2%,they,6.4%,she,5.6%
could,not,12.07%,see,10.34%,be,6.9%
been,a,7.07%,the,3.03%,said,3.03%
something,of,7.25%,about,7.25%,that,5.8%
only,a,10.53%,to,8.77%,the,7.02%
like,a,23.88%,that,11.94%,the,7.46%
one,of,19.88%,who,4.09%,has,3.51%
her,eyes,4.08%,voice,3.53%,and,2.99%
he,said,11.73%,was,10.85%,had,6.3%
after,all,23.81%,a,22.22%,the,11.11%
if,he,17.04%,she,14.81%,you,11.11%
come,back,26.15%,to,20.0%,into,6.15%
into,the,33.33%,a,11.83%,his,9.68%
him,and,8.55%,to,5.13%,he,4.27%
man,and,14.52%,who,12.9%,of,6.45%
more,than,17.14%,serious,7.14%,to,7.14%
thing,to,10.34%,of,6.9%,is,6.9%
came,to,22.86%,into,11.43%,a,7.14%
went,on,13.21%,up,11.32%,off,9.43%
go,on,11.67%,to,11.67%,back,6.67%
back,to,23.53%,and,7.35%,he,5.88%
other,dreams,14.55%,things,10.91%,thing,5.45%
said,melville,16.35%,the,11.06%,mrs,9.38%
know,what,7.18%,and,5.52%,said,4.97%
we,are,16.28%,have,6.98%,know,5.81%
don't,know,17.05%,believe,10.23%,think,9.09%
it's,a,23.81%,not,8.57%,the,7.62%
life,and,11.11%,she,5.56%,he,5.56%
well,said,19.3%,as,8.77%,he,7.02%
will,be,16.39%,not,11.48%,come,8.2%
