word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,3.33%,side,3.33%,lady,2.22%
the,of,13.75%,in,8.25%,and,5.78%
at,looked,4.24%,look,3.53%,looking,2.12%
was,he,17.92%,it,15.5%,she,9.44%
from,away,5.66%,and,4.72%,up,3.77%
made,she,10.91%,he,9.09%,have,9.09%
sea,the,87.69%,deep,3.08%,to,2.05%
lady,sea,74.86%,said,5.03%,a,3.91%
i,and,3.62%,that,3.44%,as,3.07%
it,of,5.18%,and,3.33%,but,2.4%
asked,she,23.73%,he,20.34%,right,5.08%
see,to,34.21%,you,9.21%,don't,9.21%
of,sort,4.45%,out,3.92%,one,3.03%
some,in,9.33%,of,9.33%,with,6.67%
and,said,1.78%,melville,1.57%,bunting,1.42%
mr,said,11.54%,of,6.41%,and,6.41%
that,of,6.12%,and,5.22%,all,5.22%
down,sat,8.54%,settled,4.88%,and,4.88%
with,him,2.98%,bunting,2.65%,said,2.65%
little,a,57.66%,the,9.01%,this,5.41%
about,all,7.56%,turned,5.04%,something,4.2%
not,did,9.41%,was,8.91%,is,6.93%
to,seemed,2.54%,seems,2.13%,going,2.13%
do,to,34.9%,i,8.05%,what,5.37%
but,melville,2.94%,said,2.94%,anything,2.52%
his,of,11.92%,in,9.27%,and,5.3%
a,for,8.12%,with,6.77%,in,6.58%
as,just,4.95%,and,3.53%,far,3.18%
have,i,17.95%,to,15.9%,must,10.26%
all,and,9.09%,at,7.91%,it,6.72%
very,the,14.55%,a,13.64%,and,5.45%
who,man,7.77%,one,6.8%,bunting,4.85%
so,and,13.16%,or,5.92%,not,4.61%
must,it,20.34%,i,13.56%,he,11.86%
things,of,9.43%,these,9.43%,the,7.55%
in,was,3.17%,and,2.82%,it,1.23%
my,said,8.94%,to,7.82%,in,4.47%
cousin,my,97.75%,second,2.25%
melville,said,29.44%,cousin,14.29%,mr,10.82%
up,looked,6.8%,went,5.83%,it,4.85%
this,in,11.73%,of,8.38%,all,7.82%
for,and,2.66%,care,1.66%,as,1.33%
would,it,17.28%,she,13.58%,he,12.35%
way,the,12.66%,this,8.86%,a,7.59%
were,they,23.58%,it,14.15%,there,8.49%
no,made,5.59%,is,4.9%,had,4.9%
they,that,6.42%,and,5.5%,as,4.13%
did,he,19.61%,she,9.8%,they,7.84%
just,is,6.33%,that's,6.33%,and,5.06%
how,but,10.0%,just,7.14%,know,7.14%
are,there,14.29%,you,14.29%,they,12.78%
there,and,6.99%,is,4.3%,if,3.76%
is,it,22.43%,she,12.46%,there,8.72%
upon,came,8.93%,go,5.36%,people,3.57%
on,go,4.79%,went,4.79%,was,3.42%
you,do,6.59%,if,3.66%,what,3.17%
think,i,34.62%,you,14.1%,don't,10.26%
mrs,said,23.08%,and,7.69%,to,5.92%
time,a,25.93%,the,20.37%,that,11.11%
their,in,18.52%,of,14.81%,to,9.26%
miss,and,12.22%,of,5.56%,that,4.44%
bunting,mrs,74.15%,mr,15.12%,fred,2.93%
she,and,5.64%,that,4.44%,if,3.42%
sort,a,38.03%,that,14.08%,the,14.08%
quite,was,11.11%,and,6.17%,be,3.7%
be,to,38.55%,would,9.5%,must,6.15%
any,at,24.64%,to,7.25%,as,5.8%
has,she,21.84%,he,16.09%,who,8.05%
me,to,17.29%,for,7.52%,tell,7.52%
them,of,12.05%,with,8.43%,to,6.02%
or,you,3.75%,her,3.75%,night,2.5%
out,it,6.9%,get,3.45%,looked,3.45%
when,and,10.45%,said,5.97%,times,4.48%
can,i,21.43%,how,15.71%,you,10.0%
what,and,7.41%,know,6.88%,of,4.76%
an,with,12.12%,of,5.45%,in,4.85%
had,she,19.83%,he,18.53%,who,6.03%
then,and,62.5%,but,4.69%,by,1.56%
could,i,10.53%,she,10.53%,he,10.53%
been,have,32.0%,had,27.0%,has,10.0%
something,and,7.14%,or,7.14%,said,7.14%
only,not,10.17%,the,6.78%,had,3.39%
one,any,8.24%,every,6.47%,no,5.29%
her,in,9.14%,to,8.33%,of,8.06%
he,that,5.88%,and,4.95%,if,3.56%
after,and,6.35%,but,4.76%,long,4.76%
if,as,23.66%,and,7.63%,but,4.58%
come,to,14.29%,not,11.11%,had,9.52%
into,came,8.33%,come,4.17%,got,3.12%
him,to,12.18%,for,9.24%,at,4.2%
why,and,8.0%,that's,6.67%,melville,5.33%
man,a,38.1%,young,19.05%,the,9.52%
more,no,14.08%,the,9.86%,and,7.04%
thing,the,18.97%,of,13.79%,a,12.07%
came,he,15.71%,and,8.57%,there,7.14%
went,he,23.53%,they,13.73%,she,9.8%
again,and,9.62%,up,5.77%,it,5.77%
go,to,30.51%,and,6.78%,should,5.08%
back,come,25.76%,him,9.09%,go,6.06%
other,the,28.57%,any,8.93%,of,5.36%
said,he,17.78%,she,16.0%,it,2.89%
know,you,52.46%,i,16.94%,to,8.2%
we,that,4.88%,and,4.88%,if,3.66%
like,and,5.8%,was,5.8%,is,5.8%
don't,i,61.36%,you,15.91%,we,4.55%
it's,and,5.0%,know,4.0%,but,4.0%
life,this,14.55%,of,10.91%,my,10.91%
well,as,8.93%,very,7.14%,bunting,5.36%
will,he,15.38%,you,12.31%,she,12.31%
