word type,number
everything,64635
adult,0
hate,0
function,35975
normal,number
the,4567
of,2993
and,2809
a,1647
to,1594
in,1061
that,1017
was,989
he,788
it,745
his,524
had,519
for,509
with,469
i,417
as,415
were,400
they,377
is,366
at,355
this,337
but,312
have,296
be,285
all,284
there,274
by,249
from,234
upon,229
one,229
world,228
an,227
on,222
you,222
so,217
not,217
we,214
been,209
said,207
or,193
which,185
him,184
no,181
their,180
them,177
out,176
then,174
men,172
up,172
its,172
king,169
little,167
into,166
man,161
these,160
more,156
now,153
about,144
very,143
are,140
us,139
still,133
new,132
time,131
over,129
would,128
who,128
great,127
any,117
if,117
things,116
first,115
like,113
came,111
my,111
will,109
when,108
some,106
could,103
what,102
life,101
only,99
last,99
old,96
do,95
our,94
before,93
has,92
made,91
every,88
those,88
through,85
people,82
than,80
human,78
down,78
day,78
must,77
years,75
here,69
after,69
again,69
work,69
most,68
me,68
she,68
seemed,67
way,66
might,66
two,66
bombs,63
section,62
even,62
her,62
under,61
war,61
other,61
go,61
atomic,59
such,59
see,59
think,58
come,58
away,58
long,57
thing,57
power,56
went,56
how,55
ever,55
against,55
something,54
did,54
found,52
light,52
thought,51
should,51
already,51
between,51
much,51
may,50
indeed,50
back,49
himself,49
began,48
place,48
too,47
became,47
hand,47
far,46
century,46
women,45
while,45
government,45
side,44
just,44
days,44
presently,44
saw,44
your,43
know,42
above,42
social,41
once,41
energy,40
among,40
shall,40
whole,40
sky,40
air,40
night,40
own,40
half,39
well,39
mind,39
yet,39
hundred,39
nothing,39
going,39
am,39
many,38
council,38
make,37
few,37
perhaps,37
get,37
because,37
end,37
never,37
history,37
state,37
age,36
certain,36
science,36
below,36
three,35
rather,35
common,35
can,35
eyes,35
together,35
country,35
itself,34
mankind,34
done,34
beginning,34
set,33
until,33
want,33
less,33
vast,33
being,33
course,33
strange,33
towards,32
water,32
london,32
without,32
quite,31
moment,31
face,31
possible,30
system,30
part,30
spirit,30
asked,30
aeroplanes,30
scientific,29
small,29
ideas,29
sun,29
suddenly,29
almost,29
steam,29
looked,29
young,29
right,29
take,29
got,29
paris,29
bomb,29
put,28
always,28
full,28
thousand,28
hands,28
brought,28
along,28
love,28
body,27
gave,27
turned,27
also,27
sat,27
order,27
black,27
sir,27
high,27
sort,26
times,26
though,26
within,26
everything,26
twentieth,26
blue,26
change,26
ex,26
fowler,26
sense,25
matter,25
longer,25
idea,25
each,25
head,25
across,25
white,25
give,25
year,24
use,24
earth,24
say,24
necessary,24
where,24
same,24
nearly,24
red,24
behind,24
cried,24
large,24
lay,24
open,23
forward,23
modern,23
themselves,23
dead,23
beyond,23
coming,23
able,23
free,22
sea,22
find,22
seem,22
discovery,22
phase,22
soon,22
altogether,22
poor,22
enough,22
anything,22
fire,22
whose,22
feet,22
house,22
round,22
stood,22
left,22
talk,22
aeroplane,21
opening,21
central,21
race,21
destruction,21
making,21
simple,21
roads,21
become,21
south,21
nor,21
intelligence,21
huge,21
why,21
european,21
mountains,21
land,21
force,20
used,20
clear,20
stone,20
passed,20
living,20
kind,20
seen,20
europe,20
five,20
early,19
future,19
near,19
off,19
another,19
general,19
doing,19
better,19
lit,19
political,19
during,19
material,19
sound,19
doubt,19
next,19
north,19
dark,19
civilisation,19
everywhere,19
let,19
felt,18
knew,18
either,18
knowledge,18
gathering,18
amidst,18
labour,18
fact,18
food,18
humanity,18
others,18
called,18
progress,18
gone,18
engine,18
enormous,18
seems,18
nineteenth,18
tell,18
flying,18
does,18
fell,18
woman,18
question,17
affairs,17
wind,17
ago,17
river,17
rose,17
possibilities,17
rest,17
existence,17
opened,17
look,17
taken,17
lights,17
control,17
good,17
line,17
talked,17
hidden,16
twenty,16
suppose,16
second,16
keep,16
manifestly,16
peace,16
remained,16
iron,16
activity,16
watched,16
slowly,16
dawn,16
purpose,16
fighting,16
best,16
realise,16
population,16
understand,16
evening,16
held,16
number,16
looking,16
areas,16
conference,16
story,15
chapter,15
disaster,15
plain,15
ancient,15
took,15
town,15
stars,15
lives,15
court,15
powers,15
close,15
universal,15
speak,15
die,15
effect,15
education,15
buildings,15
sex,15
release,14
none,14
whether,14
direction,14
throughout,14
alone,14
dream,14
sought,14
coal,14
reach,14
least,14
gold,14
self,14
changes,14
freedom,14
blood,14
attention,14
mere,14
says,14
trees,14
lived,14
multitude,14
known,14
kept,14
various,14
given,14
big,14
show,14
hours,14
view,14
outside,14
door,14
american,14
miles,14
individual,14
east,14
beautiful,14
spoke,14
monsieur,14
group,13
states,13
hope,13
national,13
class,13
natural,13
houses,13
followed,13
record,13
hold,13
past,13
law,13
later,13
live,13
globe,13
middle,13
thousands,13
confusion,13
yes,13
mean,13
present,13
radio,13
probably,13
wonderful,13
cannot,13
need,13
abruptly,13
mass,13
wanted,13
quality,13
feeling,13
imagination,13
beneath,13
research,13
watching,13
public,13
thinking,13
carried,13
motor,13
since,13
else,13
orders,13
clouds,13
active,13
mountain,13
edith,13
radium,12
turn,12
earlier,12
example,12
desire,12
conditions,12
impossible,12
continually,12
certainly,12
burning,12
death,12
generations,12
grew,12
larger,12
strong,12
score,12
struggle,12
tried,12
swept,12
city,12
engines,12
shot,12
masses,12
america,12
vision,12
boy,12
point,12
hard,12
four,12
morning,12
means,12
walked,12
fine,12
sent,12
machine,12
both,12
smashed,12
comes,12
follow,12
parts,12
sight,12
broad,12
glare,12
holland,12
position,12
possibility,11
british,11
happened,11
heard,11
exactly,11
development,11
english,11
meant,11
working,11
period,11
scarcely,11
eye,11
inevitable,11
spread,11
warm,11
centuries,11
ten,11
business,11
real,11
lead,11
scale,11
warfare,11
entirely,11
hitherto,11
chance,11
different,11
nobody,11
