word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,24.39%,a,11.79%,his,3.66%
and,the,8.26%,then,3.71%,a,2.6%
the,world,3.76%,king,2.4%,new,1.49%
world,of,6.61%,was,6.61%,and,6.17%
we,have,13.3%,are,10.34%,shall,6.4%
are,no,3.57%,the,3.57%,in,2.86%
all,the,25.27%,that,7.12%,this,6.76%
things,and,10.53%,that,8.77%,were,5.26%
that,was,6.06%,the,5.77%,he,4.57%
upon,the,46.4%,a,7.21%,his,4.5%
a,little,4.4%,time,2.38%,few,1.59%
out,of,36.36%,to,6.25%,the,5.11%
to,the,15.21%,be,7.83%,a,2.42%
of,the,27.55%,a,5.01%,his,2.66%
this,was,3.6%,is,3.0%,place,2.7%
which,the,10.87%,had,8.15%,was,7.07%
long,time,10.53%,as,5.26%,and,3.51%
was,a,8.95%,the,6.61%,to,4.88%
it,was,26.12%,is,13.74%,had,3.27%
is,the,9.84%,a,7.1%,not,3.83%
on,the,39.82%,a,4.98%,which,3.17%
in,the,29.75%,a,10.84%,his,3.45%
some,one,8.49%,of,5.66%,time,4.72%
or,so,8.38%,the,6.28%,a,3.14%
under,the,34.43%,a,19.67%,his,8.2%
great,mass,2.36%,hall,2.36%,multitude,2.36%
war,and,15.0%,control,8.33%,was,6.67%
every,one,15.91%,other,6.82%,sort,5.68%
no,longer,11.86%,one,6.78%,more,6.78%
way,to,24.24%,of,22.73%,into,3.03%
but,the,11.59%,it,4.97%,a,4.64%
us,and,7.52%,to,6.77%,the,5.26%
how,he,12.73%,to,7.27%,little,3.64%
will,be,19.27%,have,5.5%,go,4.59%
be,a,6.38%,able,3.19%,the,2.84%
here,and,13.24%,they,7.35%,was,5.88%
he,was,14.03%,had,10.84%,said,7.4%
for,a,18.18%,the,14.43%,some,2.96%
what,he,8.82%,was,7.84%,it,6.86%
now,that,6.54%,the,5.23%,and,4.58%
as,a,12.16%,the,11.41%,he,6.45%
must,have,35.06%,be,16.88%,get,3.9%
has,been,18.48%,to,5.43%,ever,4.35%
been,a,11.48%,the,3.35%,no,3.35%
about,the,18.31%,him,6.34%,them,6.34%
years,ago,13.33%,of,10.67%,before,9.33%
so,far,8.45%,that,6.1%,much,4.69%
i,am,9.32%,have,6.55%,saw,5.54%
not,a,9.22%,to,4.61%,only,4.61%
have,been,19.66%,to,9.15%,a,4.75%
something,of,15.09%,that,7.55%,in,5.66%
do,not,20.21%,you,13.83%,it,6.38%
with,the,21.46%,a,16.52%,an,4.94%
there,was,28.68%,were,13.97%,is,13.6%
think,of,24.07%,i,7.41%,you,7.41%
his,own,2.32%,eyes,2.12%,way,1.74%
atomic,bombs,40.68%,energy,15.25%,engine,6.78%
human,life,14.1%,affairs,7.69%,history,5.13%
from,the,39.74%,that,3.93%,which,3.93%
over,the,38.76%,a,6.2%,his,3.88%
at,the,24.92%,last,13.21%,first,4.8%
an,end,3.96%,enormous,2.64%,entirely,1.76%
through,the,41.18%,a,9.41%,all,5.88%
were,the,4.5%,to,3.25%,a,3.0%
before,the,40.0%,it,6.67%,he,6.67%
had,been,20.42%,a,5.78%,to,4.05%
after,the,26.87%,a,13.43%,that,7.46%
one,of,19.74%,was,3.07%,must,2.63%
would,have,35.16%,be,17.19%,not,6.25%
any,one,8.55%,other,4.27%,previous,3.42%
could,not,15.53%,be,11.65%,have,11.65%
these,things,13.75%,were,4.38%,old,3.12%
old,sun,5.68%,man,4.55%,time,3.41%
still,to,9.77%,in,6.77%,and,6.77%
our,race,4.26%,own,3.19%,fathers,2.13%
men,and,12.79%,were,6.98%,had,5.23%
their,own,3.89%,lives,1.67%,progress,1.11%
other,things,4.92%,side,4.92%,and,4.92%
little,while,9.04%,boy,4.82%,group,3.01%
most,of,26.87%,part,5.97%,dangerous,4.48%
go,on,20.0%,about,10.0%,out,8.33%
ever,and,18.52%,the,7.41%,seen,5.56%
come,to,12.28%,up,8.77%,into,7.02%
into,the,35.58%,a,13.5%,his,4.29%
such,a,15.25%,things,10.17%,like,6.78%
only,the,8.16%,in,6.12%,that,5.1%
up,to,14.37%,and,8.38%,the,7.78%
if,i,10.43%,the,9.57%,he,8.7%
very,much,5.59%,high,4.9%,little,3.5%
first,the,7.96%,time,4.42%,story,1.77%
new,age,5.34%,government,3.82%,phase,3.05%
