word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,up,2.03%,and,1.63%,him,1.63%
world,the,74.12%,a,7.02%,whole,4.39%
we,and,5.37%,that,4.88%,if,4.88%
are,we,15.0%,you,12.86%,they,12.86%
all,and,12.77%,of,7.45%,at,5.32%
things,these,18.97%,the,10.34%,of,5.17%
that,of,3.9%,and,2.3%,all,2.0%
and,him,0.99%,men,0.81%,them,0.62%
upon,work,2.64%,out,2.64%,down,2.64%
a,of,9.01%,in,6.92%,for,5.64%
out,go,2.84%,went,2.84%,came,2.84%
to,was,3.03%,seemed,2.28%,have,1.71%
the,of,17.81%,in,6.83%,to,5.27%
of,out,2.14%,one,1.51%,sort,0.77%
this,of,14.41%,in,7.51%,all,5.71%
which,in,16.39%,from,4.92%,to,4.37%
long,a,28.07%,the,12.28%,so,12.28%
was,it,19.94%,he,11.42%,there,8.1%
in,and,2.48%,was,2.48%,him,1.14%
it,and,4.52%,of,3.84%,as,3.15%
is,it,28.21%,there,10.34%,that,8.1%
on,went,6.39%,go,5.48%,going,4.11%
some,for,14.15%,in,10.38%,and,5.66%
or,this,2.63%,one,2.63%,years,2.11%
under,and,6.67%,world,3.33%,sat,3.33%
great,the,34.65%,a,17.32%,over,3.94%
war,the,32.79%,of,22.95%,last,8.2%
every,and,15.91%,of,6.82%,in,6.82%
no,was,8.62%,is,6.32%,and,4.6%
way,the,21.21%,his,13.64%,a,7.58%
but,anything,2.03%,it,1.69%,was,1.35%
us,of,12.95%,for,7.91%,to,7.19%
will,you,11.11%,it,9.26%,we,7.41%
be,to,43.77%,would,7.83%,will,7.47%
here,come,6.06%,that,4.55%,and,4.55%
for,and,2.98%,on,1.19%,but,1.19%
what,and,6.0%,of,5.0%,for,4.0%
now,and,9.87%,is,4.61%,was,3.95%
as,and,5.17%,soon,2.22%,it,1.97%
must,it,9.21%,one,7.89%,he,6.58%
he,that,6.01%,and,5.36%,as,3.4%
has,that,13.04%,it,7.61%,which,7.61%
been,had,50.96%,have,27.88%,has,8.17%
about,all,5.63%,go,4.23%,turned,2.82%
years,hundred,17.57%,of,13.51%,twenty,6.76%
so,and,14.15%,or,7.55%,is,3.3%
i,and,6.52%,that,3.51%,if,3.01%
not,did,11.21%,was,10.28%,do,8.88%
have,would,15.62%,to,10.76%,must,9.38%
something,was,13.21%,is,11.32%,and,5.66%
do,to,32.61%,i,18.48%,what,5.43%
with,and,5.41%,but,1.3%,was,1.3%
there,and,6.49%,that,4.96%,but,4.58%
think,you,28.3%,i,22.64%,to,22.64%
his,of,14.97%,in,6.91%,and,5.57%
atomic,of,28.81%,the,28.81%,new,5.08%
human,of,30.77%,in,15.38%,the,11.54%
from,and,3.46%,out,3.03%,away,3.03%
over,all,3.91%,and,3.91%,was,2.34%
at,was,3.13%,and,3.13%,looked,1.99%
an,of,10.71%,with,10.27%,was,8.04%
through,all,5.88%,go,4.71%,partly,4.71%
were,they,17.54%,there,9.52%,that,5.01%
before,years,7.78%,already,3.33%,it,3.33%
had,he,17.24%,they,8.32%,that,6.9%
section,war,5.36%,sun,3.57%,them,3.57%
after,and,8.96%,years,4.48%,time,2.99%
one,every,6.17%,no,5.29%,as,4.85%
would,it,14.4%,he,8.8%,that,8.0%
any,of,12.07%,for,8.62%,in,8.62%
could,they,13.0%,he,13.0%,i,11.0%
these,of,14.47%,all,8.81%,to,6.29%
old,the,43.16%,and,6.32%,these,5.26%
still,was,19.85%,were,7.63%,is,6.87%
our,of,22.34%,that,6.38%,for,3.19%
king,the,63.91%,ex,13.02%,a,4.73%
men,of,10.0%,the,9.41%,his,4.12%
their,of,13.97%,in,9.5%,to,5.59%
other,the,27.87%,every,9.84%,any,8.2%
little,a,43.11%,the,10.78%,very,2.99%
most,the,48.53%,and,8.82%,that,4.41%
thought,he,13.73%,of,9.8%,i,7.84%
go,to,30.51%,will,8.47%,would,5.08%
ever,for,22.22%,had,9.26%,has,7.41%
come,had,26.32%,to,8.77%,will,5.26%
into,up,5.45%,came,4.24%,out,3.64%
such,and,8.62%,any,5.17%,no,5.17%
only,not,10.2%,the,9.18%,is,8.16%
up,go,2.94%,come,2.94%,looked,2.94%
if,as,15.65%,and,7.83%,even,4.35%
very,the,12.06%,a,9.93%,was,8.51%
first,the,50.0%,at,14.04%,that,5.26%
new,the,50.76%,a,18.18%,this,6.06%
last,at,44.44%,the,41.41%,to,2.02%
power,the,20.0%,of,12.73%,external,5.45%
man,a,15.0%,the,10.0%,of,6.25%
him,to,15.22%,of,5.43%,about,4.89%
then,and,60.23%,even,2.92%,was,2.34%
more,and,16.03%,no,7.69%,a,5.13%
made,he,12.94%,and,8.24%,that,7.06%
down,sat,5.13%,came,3.85%,and,2.56%
again,and,13.04%,up,4.35%,down,2.9%
you,do,6.1%,that,4.23%,and,4.23%
life,of,17.35%,human,11.22%,the,8.16%
day,to,15.79%,the,13.16%,this,7.89%
than,more,35.0%,rather,8.75%,less,3.75%
work,the,19.12%,at,8.82%,to,7.35%
did,he,14.81%,they,11.11%,it,7.41%
them,of,9.6%,to,7.91%,about,5.08%
they,that,7.22%,as,4.01%,and,3.48%
even,and,11.48%,world,3.28%,not,3.28%
against,and,5.45%,it,3.64%,out,3.64%
her,to,12.9%,in,8.06%,about,8.06%
should,we,17.65%,i,9.8%,why,5.88%
came,he,8.65%,and,5.77%,they,4.81%
already,was,23.53%,had,17.65%,were,11.76%
when,and,5.83%,days,3.88%,even,3.88%
its,of,20.35%,in,11.05%,to,5.23%
might,he,9.38%,they,9.38%,one,6.25%
went,he,20.75%,and,15.09%,then,5.66%
two,the,28.79%,for,7.58%,or,7.58%
seemed,it,26.15%,have,10.77%,that,10.77%
time,a,29.77%,the,9.16%,that,6.87%
those,of,30.68%,in,13.64%,all,4.55%
away,far,10.34%,swept,8.62%,and,3.45%
thing,the,24.56%,a,12.28%,of,7.02%
who,those,9.57%,man,8.7%,people,6.09%
see,to,35.71%,you,16.07%,not,14.29%
people,of,17.28%,the,11.11%,few,2.47%
like,was,4.59%,such,3.67%,me,3.67%
how,and,14.81%,of,5.56%,see,3.7%
said,he,29.0%,it,3.0%,no,2.5%
me,to,20.59%,of,8.82%,for,7.35%
light,the,27.45%,of,11.76%,a,11.76%
my,of,11.82%,and,9.09%,in,4.55%
she,and,7.58%,that,7.58%,but,4.55%
bombs,atomic,38.1%,the,26.98%,his,4.76%
