word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,2.37%,side,1.74%,lit,1.42%
the,of,15.04%,in,7.79%,and,5.27%
at,looked,2.65%,and,2.65%,look,2.18%
of,out,3.16%,one,1.65%,sort,1.5%
with,and,3.15%,said,1.79%,me,1.79%
a,of,7.91%,in,6.25%,for,6.16%
new,the,34.47%,a,25.96%,this,4.68%
in,and,2.9%,was,2.49%,me,1.07%
our,of,24.33%,in,6.08%,that,3.61%
were,they,15.01%,we,10.31%,there,8.82%
see,to,34.52%,you,19.35%,i,8.39%
i,and,6.29%,that,5.17%,as,3.07%
his,of,13.74%,in,8.92%,and,5.44%
and,me,0.99%,said,0.88%,it,0.71%
lady,sea,50.57%,said,6.04%,the,5.28%
mary,lady,14.16%,of,8.22%,with,5.48%
again,and,10.49%,up,3.15%,me,2.8%
this,of,10.54%,in,8.52%,all,7.77%
world,the,64.81%,a,7.57%,whole,3.56%
last,at,56.38%,the,26.75%,that,2.47%
first,the,41.76%,at,12.09%,my,5.13%
want,i,48.61%,you,12.04%,not,7.41%
very,the,12.27%,a,10.22%,and,5.11%
much,so,28.5%,very,14.95%,as,14.95%
to,want,2.22%,seemed,2.11%,going,1.79%
down,sat,7.27%,and,4.0%,went,4.0%
my,of,13.5%,in,10.36%,to,4.38%
life,my,17.11%,of,16.39%,the,5.3%
do,to,32.31%,i,17.78%,you,4.59%
so,and,11.88%,or,7.02%,is,3.83%
now,and,9.24%,was,4.11%,is,3.7%
that,of,4.19%,and,3.26%,all,3.11%
have,i,18.55%,to,10.3%,must,9.07%
come,had,17.12%,to,15.75%,have,5.48%
are,you,15.55%,we,15.38%,they,11.29%
all,and,9.63%,at,7.14%,of,6.96%
out,come,2.82%,it,2.66%,went,2.33%
things,the,9.82%,of,9.63%,these,9.43%
little,a,48.12%,the,9.49%,very,2.29%
they,that,6.3%,as,4.6%,and,4.36%
never,had,17.98%,i,11.84%,have,6.14%
been,had,43.14%,have,28.34%,has,8.3%
any,at,13.74%,of,9.36%,in,5.85%
through,all,6.7%,down,4.12%,go,3.09%
me,to,21.69%,for,5.28%,with,4.08%
as,and,3.25%,was,3.03%,just,2.6%
well,as,14.74%,very,7.69%,so,4.49%
can,i,29.07%,we,9.25%,you,8.37%
am,i,91.67%,here,2.56%,what,1.92%
still,was,15.55%,were,5.49%,and,4.57%
