word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,27.11%,a,7.08%,some,3.24%
and,the,5.97%,then,2.14%,a,1.73%
dick,and,8.0%,was,6.67%,had,6.67%
or,the,5.78%,two,3.76%,a,3.61%
the,whale,2.58%,sea,1.64%,ship,1.42%
whale,and,5.64%,is,4.78%,the,4.3%
a,little,2.36%,whale,2.27%,great,1.25%
nantucket,and,10.87%,sailor,5.43%,was,4.35%
ship,and,8.96%,the,4.6%,in,3.39%
his,own,4.26%,head,2.99%,hand,1.51%
mark,the,11.32%,and,7.55%,him,5.66%
all,the,14.26%,this,5.58%,his,4.34%
going,to,31.46%,on,8.99%,aboard,4.49%
ahab,and,6.13%,was,3.92%,is,3.19%
to,the,16.2%,be,7.27%,his,3.16%
him,and,8.09%,to,5.52%,in,4.64%
stubb,and,10.0%,was,5.0%,to,4.55%
cabin,and,9.88%,to,8.64%,table,4.94%
mast,head,40.0%,heads,29.17%,and,4.17%
head,and,14.02%,of,8.84%,in,3.66%
deck,and,11.05%,for,5.26%,he,4.21%
first,time,4.7%,place,3.85%,of,2.56%
night,and,10.56%,in,7.04%,the,6.34%
watch,and,11.11%,the,7.41%,coat,7.41%
of,the,29.43%,his,5.81%,a,5.2%
boat,and,10.32%,was,8.19%,the,2.49%
spout,hole,15.52%,is,10.34%,was,6.9%
whales,and,7.22%,in,6.84%,were,4.56%
less,than,27.78%,a,7.41%,erroneous,3.7%
true,enough,7.59%,whale,3.8%,of,3.8%
whaling,voyage,13.71%,is,8.06%,vessels,5.65%
in,the,28.79%,his,6.4%,a,6.28%
iron,and,10.47%,in,4.65%,hoops,3.49%
line,of,9.93%,in,6.62%,is,5.3%
as,the,12.62%,if,7.82%,a,7.64%
rope,was,9.26%,and,7.41%,to,5.56%
flask,i,4.35%,to,4.35%,but,4.35%
right,whale,33.08%,and,5.26%,in,4.51%
then,the,5.21%,i,2.86%,that,2.69%
have,been,16.09%,a,5.28%,seen,3.03%
over,the,33.58%,his,6.22%,him,3.73%
jonah,and,8.82%,teaches,4.41%,as,4.41%
tail,and,8.97%,of,7.69%,to,5.13%
grand,and,7.55%,old,5.66%,armada,3.77%
fast,fish,25.81%,to,14.52%,and,12.9%
fish,and,13.92%,what,6.96%,is,3.16%
heads,of,17.28%,and,11.11%,to,7.41%
hand,and,14.63%,to,5.85%,in,3.41%
try,works,35.19%,to,12.96%,pots,12.96%
down,the,11.41%,to,10.6%,in,8.42%
up,the,10.63%,and,10.43%,to,9.65%
leg,and,12.94%,he,7.06%,had,3.53%
arm,and,12.05%,of,9.64%,he,6.02%
does,not,23.91%,the,17.39%,he,9.78%
he,was,8.38%,had,6.61%,would,3.6%
towards,the,59.09%,him,9.09%,me,3.64%
end,of,25.0%,to,8.0%,and,4.0%
life,and,12.5%,of,8.12%,buoy,6.88%
day,the,7.56%,and,5.23%,of,4.65%
this,is,4.37%,was,2.0%,the,1.77%
is,the,8.55%,a,7.05%,not,4.18%
one,of,17.14%,hand,3.06%,side,2.5%
from,the,41.33%,his,7.97%,a,4.12%
now,and,4.63%,the,4.22%,that,3.54%
at,the,25.89%,last,11.01%,all,6.69%
are,the,6.94%,you,3.21%,not,2.71%
for,the,19.7%,a,10.95%,it,2.98%
was,a,7.76%,the,6.65%,not,3.66%
with,the,18.48%,a,14.69%,his,6.75%
hard,to,13.25%,upon,9.64%,by,4.82%
heart,of,28.92%,and,9.64%,to,6.02%
body,of,17.92%,and,8.49%,but,4.72%
i,have,6.0%,was,4.53%,am,3.93%
see,the,9.88%,him,7.51%,that,7.11%
ever,since,6.53%,and,4.52%,saw,2.51%
old,man,15.61%,ahab,3.7%,fashioned,2.38%
known,to,23.75%,as,10.0%,that,7.5%
world,but,4.52%,is,3.87%,like,3.87%
it,was,12.6%,is,12.08%,and,3.02%
while,the,18.7%,in,4.35%,all,4.35%
you,would,5.47%,will,5.11%,must,3.77%
take,the,14.5%,it,14.5%,a,8.4%
them,and,6.4%,to,5.52%,in,4.86%
what,is,9.45%,a,6.05%,he,3.78%
name,of,19.4%,is,7.46%,indeed,4.48%
be,the,4.9%,a,3.33%,seen,3.14%
called,the,24.07%,a,15.74%,it,5.56%
our,own,4.52%,old,4.02%,way,3.02%
out,of,33.14%,the,8.57%,to,4.0%
through,the,41.41%,a,5.29%,it,4.85%
which,the,10.85%,he,6.45%,is,4.56%
almost,every,5.73%,as,5.21%,thought,4.17%
word,of,7.58%,with,7.58%,to,6.06%
that,the,7.65%,he,3.35%,i,3.0%
not,a,5.98%,the,5.8%,to,5.35%
more,than,11.45%,and,5.02%,of,4.22%
will,be,10.36%,not,7.25%,ye,4.4%
seen,the,9.49%,him,6.33%,in,5.7%
poor,fellow,8.99%,pip,6.74%,little,5.62%
gone,down,17.31%,through,7.69%,to,7.69%
could,not,25.36%,be,8.13%,i,4.31%
find,it,12.73%,a,10.91%,that,9.09%
any,other,10.58%,one,7.69%,way,3.85%
book,of,12.73%,i,12.73%,ii,12.73%
therefore,the,9.23%,i,6.15%,it,6.15%
must,be,22.06%,have,21.35%,needs,3.91%
every,one,10.0%,way,5.0%,day,4.09%
case,of,18.31%,might,7.04%,with,7.04%
least,of,6.76%,as,5.41%,among,4.05%
however,the,6.98%,that,5.81%,it,5.81%
these,things,5.74%,two,3.66%,are,3.39%
far,as,7.88%,the,7.88%,from,6.06%
well,as,9.39%,known,7.04%,then,6.57%
here,and,10.04%,in,4.46%,is,3.72%
eye,of,10.59%,and,9.41%,on,7.06%
has,been,17.36%,a,8.68%,no,6.6%
been,a,5.54%,the,2.89%,in,2.41%
said,i,21.4%,the,15.95%,that,8.17%
thought,i,22.22%,of,11.11%,he,6.94%
leviathan,is,9.2%,the,5.75%,that,4.6%
many,of,11.04%,a,8.59%,other,4.29%
own,proper,3.98%,hand,1.99%,the,1.99%
so,that,12.37%,much,5.5%,as,3.14%
thee,thou,9.84%,and,4.92%,the,4.1%
whose,peculiarities,2.33%,very,2.33%,duty,2.33%
am,i,11.76%,not,7.06%,a,4.71%
no,more,8.86%,means,4.52%,doubt,3.62%
even,in,10.87%,as,8.7%,the,7.61%
would,have,13.44%,be,12.03%,not,9.43%
too,much,7.39%,that,3.98%,late,2.27%
but,the,8.12%,a,5.02%,i,3.97%
sometimes,the,4.65%,be,3.49%,he,3.49%
feel,the,17.54%,that,3.51%,thy,3.51%
upon,the,39.71%,his,5.6%,this,4.15%
say,that,12.39%,the,4.59%,and,4.13%
full,of,33.88%,grown,9.09%,before,3.31%
eyes,and,8.72%,of,7.38%,the,4.03%
how,it,6.06%,the,6.06%,he,4.33%
much,as,10.86%,the,9.05%,of,7.24%
ye,see,3.58%,and,2.3%,have,2.05%
shall,be,15.38%,i,12.09%,we,8.79%
go,to,13.66%,on,6.56%,for,4.37%
your,own,3.38%,eyes,3.38%,head,2.11%
aloft,there,16.67%,and,16.67%,to,9.26%
who,had,8.21%,have,5.17%,in,3.04%
before,the,20.27%,him,10.65%,me,5.5%
long,and,3.46%,as,2.52%,a,2.52%
against,the,47.69%,a,6.92%,it,6.15%
coming,to,9.43%,up,9.43%,from,7.55%
god,of,4.2%,for,4.2%,keep,4.2%
great,sperm,3.72%,leviathan,2.7%,whale,2.7%
after,the,15.71%,all,7.66%,a,6.9%
think,of,30.36%,that,11.61%,it,8.04%
deep,but,4.29%,as,4.29%,down,4.29%
lord,and,10.71%,of,8.93%,the,5.36%
had,been,14.82%,not,4.68%,a,3.64%
there,is,11.05%,was,8.22%,are,6.2%
ships,and,7.95%,on,4.55%,of,4.55%
thou,art,10.45%,hast,5.47%,not,5.47%
made,a,13.71%,to,7.43%,of,6.29%
thing,that,6.67%,is,6.11%,of,5.0%
within,the,26.32%,a,11.84%,his,10.53%
mouth,and,15.25%,of,10.17%,is,5.08%
goes,the,7.55%,down,7.55%,through,7.55%
indian,ocean,11.54%,oceans,5.77%,to,3.85%
most,part,3.24%,of,3.24%,other,1.44%
among,the,49.69%,them,8.59%,these,4.29%
length,of,20.78%,the,11.69%,and,7.79%
four,boats,12.86%,or,11.43%,years,11.43%
we,are,7.49%,were,6.09%,have,5.39%
two,or,3.89%,of,3.53%,in,2.47%
days,and,12.66%,of,6.33%,after,6.33%
on,the,34.66%,his,6.0%,a,5.52%
sea,and,8.82%,the,5.57%,as,4.18%
when,the,16.87%,he,7.4%,i,6.88%
about,the,19.6%,it,5.32%,him,4.32%
other,and,2.87%,side,2.87%,boats,2.35%
came,to,16.54%,on,7.09%,from,5.51%
us,but,4.55%,all,4.55%,the,4.55%
open,and,10.96%,air,10.96%,the,9.59%
into,the,47.67%,a,8.14%,his,6.4%
also,a,6.59%,that,5.49%,of,4.4%
very,much,3.15%,long,2.84%,large,2.21%
their,own,3.11%,eyes,1.96%,heads,1.31%
some,of,7.36%,time,4.68%,one,3.68%
best,of,9.38%,and,9.38%,let,4.69%
were,the,5.33%,in,2.22%,a,2.22%
taken,from,11.76%,up,7.84%,for,7.84%
things,are,6.35%,that,6.35%,i,4.76%
whether,it,13.64%,he,11.36%,the,9.09%
let,me,29.32%,us,19.55%,the,7.52%
me,that,6.74%,and,6.39%,to,4.84%
if,you,9.38%,the,8.74%,it,8.32%
seas,and,13.95%,of,8.14%,where,5.81%
like,a,25.85%,the,12.6%,to,3.23%
nothing,but,21.1%,more,8.26%,was,4.59%
certain,it,4.55%,curious,3.41%,that,3.41%
they,were,10.87%,are,9.78%,have,5.28%
an,old,6.1%,instant,4.53%,inch,1.74%
oil,and,10.34%,is,9.2%,in,6.9%
vast,bulk,4.17%,swiftness,2.78%,but,2.78%
can,be,10.0%,you,4.74%,tell,4.21%
ocean,and,9.86%,oh,4.23%,with,2.82%
till,the,17.5%,it,9.17%,you,6.67%
men,in,5.75%,and,5.31%,but,4.42%
might,be,24.31%,have,20.99%,not,2.76%
since,the,21.31%,he,9.84%,i,9.84%
work,of,8.2%,for,6.56%,and,4.92%
years,ago,18.18%,voyage,6.82%,and,5.68%
side,of,16.92%,and,12.94%,by,3.98%
back,to,13.38%,and,7.64%,the,7.01%
without,a,9.8%,the,7.19%,being,5.23%
living,and,5.71%,god,4.29%,whale,4.29%
seems,to,25.58%,a,16.28%,the,6.98%
land,and,10.13%,of,5.06%,the,5.06%
water,and,12.29%,the,5.03%,but,4.47%
close,to,31.48%,by,9.26%,under,5.56%
give,me,11.25%,way,11.25%,it,8.75%
stern,of,11.76%,and,11.76%,all,7.84%
off,the,16.59%,from,9.0%,to,5.69%
near,the,21.74%,by,10.14%,to,8.7%
