word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,3.88%,stand,1.69%,that,1.52%
or,three,1.75%,two,1.6%,eight,1.17%
the,of,13.44%,in,8.4%,to,5.2%
whale,the,33.56%,sperm,13.63%,a,9.72%
a,of,7.41%,in,5.72%,with,5.52%
chapter,whale,2.51%,cabin,1.43%,last,1.43%
ship,the,45.63%,whale,7.57%,a,5.44%
and,him,1.32%,it,1.13%,whale,0.95%
ahab,captain,14.64%,cried,7.44%,old,3.47%
to,as,1.39%,not,1.33%,seemed,1.26%
him,to,8.25%,in,7.09%,of,6.12%
stubb,cried,9.68%,said,7.83%,and,5.53%
cabin,the,68.83%,his,16.88%,little,2.6%
mast,the,35.25%,main,10.66%,three,6.56%
head,his,24.75%,the,20.0%,mast,16.27%
deck,the,51.37%,quarter,17.49%,on,16.94%
night,the,19.01%,by,8.45%,that,5.63%
watch,the,15.79%,night,8.77%,to,5.26%
of,out,2.66%,one,2.31%,sort,1.93%
first,the,50.65%,at,8.23%,my,4.76%
crew,the,37.61%,his,22.22%,her,5.13%
spout,his,18.18%,the,18.18%,whale,5.45%
whales,the,15.73%,of,15.36%,sperm,6.74%
less,the,16.67%,or,12.96%,a,9.26%
true,the,20.25%,is,6.33%,be,6.33%
whaling,of,19.05%,a,15.87%,the,8.73%
in,and,2.39%,that,2.07%,him,1.16%
iron,the,16.67%,of,5.95%,second,5.95%
line,the,36.84%,whale,7.24%,and,5.26%
as,and,4.39%,but,2.97%,him,2.26%
rope,the,33.33%,a,18.52%,monkey,14.81%
flask,and,13.54%,mr,7.29%,little,7.29%
right,the,29.17%,all,9.03%,a,8.33%
then,and,22.0%,well,2.33%,him,1.83%
have,i,14.95%,to,8.42%,must,8.15%
over,all,6.68%,leaning,2.48%,was,2.48%
sperm,the,51.68%,of,6.72%,a,6.72%
great,the,36.79%,a,18.73%,his,4.01%
tail,the,29.73%,his,24.32%,a,4.05%
grand,the,36.54%,a,9.62%,one,5.77%
fish,the,14.74%,fast,10.26%,loose,10.26%
hand,his,18.69%,one,13.64%,in,9.09%
down,and,5.19%,set,3.83%,him,3.01%
up,high,2.57%,it,2.17%,him,1.78%
arm,his,12.16%,the,9.46%,one,9.46%
his,of,14.96%,in,10.54%,to,5.71%
towards,up,4.39%,it,3.51%,over,3.51%
end,the,29.59%,one,7.14%,other,7.14%
life,of,14.72%,the,11.04%,his,5.52%
this,of,10.02%,in,10.02%,all,6.1%
is,it,16.9%,there,4.95%,that,4.47%
from,away,3.06%,and,2.04%,off,1.76%
now,was,6.59%,and,5.38%,i,3.5%
at,and,3.83%,look,2.97%,but,2.19%
one,in,6.41%,the,4.0%,of,3.32%
are,they,10.77%,there,7.86%,we,5.47%
for,as,2.87%,and,2.04%,it,1.78%
with,and,4.91%,it,1.54%,him,1.54%
hard,a,10.84%,the,4.82%,rather,4.82%
heart,the,24.39%,my,8.54%,his,7.32%
