word type,number
everything,126838
adult,0
hate,0
function,78011
normal,number
the,6876
and,5304
to,3522
of,3520
i,2002
a,1983
you,1902
he,1883
in,1871
for,1364
his,1342
as,1301
that,1290
it,1255
with,1201
him,1067
was,1063
they,965
is,944
on,920
me,912
had,891
my,882
have,875
all,865
but,863
them,784
not,769
will,729
so,708
her,672
when,665
ulysses,646
your,642
this,641
she,631
from,630
who,624
are,594
at,587
then,569
one,559
be,554
by,546
we,546
were,519
their,494
said,483
or,444
there,417
which,415
house,409
about,408
do,395
no,387
would,385
out,362
has,330
up,330
men,325
been,319
man,319
if,313
us,310
now,303
went,301
what,292
come,287
into,286
some,285
own,284
go,280
did,276
son,274
telemachus,271
upon,268
tell,262
may,259
see,258
can,256
here,254
suitors,249
over,241
should,236
home,235
any,233
an,232
could,220
made,220
ship,219
shall,215
father,215
down,214
good,213
came,211
sea,208
let,208
take,207
other,206
our,206
much,204
back,202
am,201
where,198
off,196
took,191
while,187
great,187
gods,182
way,181
make,180
got,179
people,179
still,174
very,170
how,169
like,168
after,165
heaven,165
more,164
jove,164
again,163
before,161
these,160
also,160
set,159
till,158
nor,156
old,156
such,154
answered,154
long,152
two,150
get,149
minerva,148
both,147
among,146
round,144
hands,144
even,142
away,141
though,139
day,139
know,138
give,136
many,135
than,132
thus,131
never,131
therefore,129
saw,129
time,127
first,126
once,126
put,126
left,126
well,123
must,123
might,119
against,118
told,117
another,117
every,116
wine,116
only,115
say,114
without,113
water,113
brought,112
country,110
through,109
penelope,108
yet,107
himself,104
gave,104
soon,103
going,103
end,102
heard,101
hand,99
however,96
drink,96
land,95
find,95
too,95
place,94
god,94
stranger,94
whether,94
those,93
return,93
nothing,92
wife,92
side,92
far,90
mother,90
spoke,89
others,89
daughter,87
myself,86
head,86
began,85
town,85
bed,85
mind,84
saying,84
being,84
island,83
sent,83
best,83
cannot,82
young,82
under,82
most,82
each,82
room,82
having,81
king,81
killed,80
done,80
near,80
ever,79
whole,77
better,77
gone,77
matter,76
wind,76
dead,76
sleep,76
ground,76
heart,75
night,75
full,74
whom,74
sun,74
yourself,74
think,73
things,73
keep,73
hold,73
women,73
city,73
just,72
bring,72
woman,71
given,71
ships,71
book,70
want,70
odyssey,69
troy,69
fell,69
reached,67
death,67
sheep,67
enough,67
found,66
lay,65
laid,65
right,64
speak,64
eyes,64
servants,64
menelaus,64
leave,64
either,63
bow,63
same,62
look,62
work,61
send,61
sons,61
name,60
poor,60
sat,60
eat,60
themselves,59
fire,59
live,59
seat,59
morning,59
neptune,58
hear,58
stay,58
court,57
friends,57
greek,57
husband,57
feet,57
towards,57
swineherd,57
goddess,56
else,56
dear,56
fair,55
looking,55
whereon,55
stood,55
always,55
inside,55
close,54
ask,53
indeed,53
board,53
called,52
together,52
words,52
kind,52
days,52
gold,52
rest,51
taken,51
servant,51
maids,51
fast,51
writer,50
kept,50
seen,49
last,49
its,49
kill,48
does,48
threw,48
making,47
neither,47
everything,47
child,47
something,47
quite,47
presently,47
laertes,46
twelve,46
face,46
replied,46
used,45
blood,45
between,45
dinner,45
behind,45
whose,44
comes,44
cave,44
getting,44
thought,44
clothes,44
cloak,44
presents,44
life,43
present,43
why,43
help,43
spear,43
meat,43
drew,43
ill,43
coming,43
crew,43
fine,43
because,43
sit,43
within,42
three,42
turn,42
sir,42
bread,42
hard,42
world,42
cloister,42
line,41
story,41
friend,41
anything,41
longer,41
door,41
further,41
shore,41
lying,41
cut,41
knew,40
strong,40
show,40
high,40
already,39
held,39
alone,39
angry,39
along,39
