word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,the,25.0%,and,4.62%,a,3.85%
the,house,3.19%,suitors,2.88%,sea,1.9%
odyssey,pp,13.85%,was,9.23%,p,6.15%
into,the,48.07%,a,12.28%,her,3.86%
for,the,14.09%,i,6.3%,he,5.92%
of,the,24.62%,them,3.74%,his,3.56%
those,who,45.65%,of,13.04%,that,6.52%
who,was,10.75%,is,7.87%,are,7.22%
cannot,be,9.88%,have,6.17%,think,4.94%
to,the,14.37%,be,3.83%,his,2.58%
first,to,16.0%,and,6.4%,he,4.0%
book,i,7.25%,xiii,7.25%,v,5.8%
i,will,9.3%,am,8.6%,have,8.04%
this,is,7.69%,he,5.61%,was,4.49%
is,a,7.49%,the,5.78%,not,5.24%
a,man,3.97%,great,3.3%,good,2.37%
work,of,10.0%,and,8.33%,he,6.67%
which,i,11.22%,he,9.27%,the,9.02%
could,not,18.26%,see,8.22%,be,5.02%
not,be,4.82%,know,3.26%,to,3.13%
give,him,23.53%,you,21.32%,me,19.85%
whole,world,17.11%,twelve,5.26%,house,3.95%
in,the,28.82%,a,5.57%,his,5.52%
that,he,10.41%,you,9.31%,i,9.07%
without,a,9.91%,having,5.41%,paying,4.5%
it,is,14.02%,was,9.54%,and,5.13%
therefore,and,9.38%,to,7.03%,i,6.25%
my,own,7.11%,men,5.48%,father,5.24%
was,a,6.17%,the,5.31%,in,3.61%
and,the,5.47%,i,2.59%,said,1.95%
now,that,6.98%,however,5.98%,the,4.98%
full,of,42.47%,and,6.85%,grown,5.48%
shall,be,13.02%,have,10.7%,not,8.37%
here,and,9.24%,to,4.02%,for,3.61%
two,of,5.44%,men,5.44%,sons,3.4%
with,the,12.19%,a,10.23%,his,5.8%
just,as,29.17%,been,6.94%,like,5.56%
have,been,12.49%,a,3.67%,no,3.09%
nothing,but,20.65%,to,10.87%,about,7.61%
either,side,19.05%,to,7.94%,in,7.94%
or,whether,3.7%,to,3.46%,a,3.23%
from,the,30.9%,his,5.94%,a,4.07%
what,i,10.0%,he,8.28%,you,7.24%
there,is,23.19%,was,16.91%,are,8.94%
at,the,20.04%,once,17.22%,all,4.39%
