word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,6.7%,him,2.79%,me,2.23%
the,of,11.97%,in,7.65%,to,7.16%
odyssey,the,85.51%,and,5.8%,whole,1.45%
into,it,7.09%,down,4.61%,out,3.9%
for,as,4.32%,it,2.6%,me,2.31%
of,son,3.78%,one,3.55%,out,3.43%
those,of,26.37%,all,10.99%,and,6.59%
who,those,7.69%,one,6.78%,and,4.4%
cannot,i,39.24%,you,12.66%,we,6.33%
to,back,2.36%,me,2.27%,up,2.27%
first,the,37.3%,i,3.17%,from,3.17%
book,of,13.24%,the,4.41%,this,4.41%
i,and,6.94%,that,5.96%,as,4.82%
this,on,10.8%,in,8.35%,all,7.53%
is,it,18.96%,he,11.38%,there,10.4%
a,with,6.1%,in,5.09%,of,4.73%
work,their,16.67%,to,11.67%,the,10.0%
which,in,10.28%,on,5.01%,with,4.76%
in,him,2.83%,and,2.61%,was,2.07%
could,i,16.2%,he,16.2%,we,7.87%
not,do,17.26%,did,8.04%,will,7.51%
give,will,22.22%,to,21.48%,and,4.44%
whole,the,72.37%,a,19.74%,your,2.63%
that,so,5.66%,and,2.6%,all,1.97%
without,and,5.41%,him,4.5%,property,3.6%
it,for,4.69%,of,3.7%,and,3.21%
therefore,now,8.87%,me,8.06%,not,4.03%
my,of,11.43%,in,7.09%,to,5.83%
was,he,18.47%,it,11.51%,i,10.74%
and,him,2.49%,them,1.66%,me,1.62%
now,and,14.48%,but,5.86%,is,5.17%
full,in,18.92%,is,8.11%,paunch,6.76%
shall,i,26.19%,you,17.62%,we,7.62%
here,come,11.38%,stay,7.32%,and,3.66%
two,the,25.0%,in,5.56%,his,4.86%
with,him,3.23%,and,2.21%,along,2.13%
just,was,10.0%,had,8.57%,has,7.14%
have,i,18.52%,you,15.39%,would,8.8%
nothing,have,8.7%,is,8.7%,of,5.43%
either,on,19.05%,service,3.17%,him,3.17%
or,one,2.4%,him,2.4%,you,2.16%
from,away,6.92%,far,2.74%,me,2.58%
what,know,5.96%,of,5.61%,see,4.56%
there,for,8.79%,and,7.54%,that,4.27%
are,you,28.38%,they,9.91%,who,7.69%
at,and,2.77%,it,2.08%,look,1.91%
place,the,31.18%,a,5.38%,this,5.38%
as,soon,5.18%,him,2.75%,long,2.59%
while,them,3.87%,it,2.76%,house,2.21%
ulysses,of,12.28%,and,6.14%,to,4.72%
when,and,8.49%,but,5.09%,him,3.86%
once,at,78.4%,when,2.4%,man,2.4%
he,as,10.05%,that,7.14%,when,5.84%
themselves,among,6.78%,laid,5.08%,misconducted,5.08%
island,the,39.73%,an,20.55%,ogygian,6.85%
very,a,17.75%,the,11.24%,was,11.24%
young,a,17.5%,the,15.0%,and,5.0%
woman,a,25.0%,old,14.71%,other,7.35%
her,of,7.14%,with,6.1%,to,5.65%
under,from,7.5%,and,6.25%,city,6.25%
name,the,17.54%,his,10.53%,whose,8.77%
on,went,4.09%,and,2.88%,them,2.43%
these,of,15.13%,with,12.5%,all,5.92%
been,have,34.17%,had,30.41%,has,17.24%
before,were,9.38%,him,3.12%,them,2.5%
ever,as,8.97%,for,7.69%,and,5.13%
they,when,10.22%,and,9.38%,as,6.95%
were,they,15.73%,you,8.27%,we,6.65%
also,me,7.59%,so,6.96%,as,6.33%
same,the,89.47%,self,3.51%,from,3.51%
should,i,28.14%,he,12.12%,we,6.49%
has,he,19.5%,who,12.58%,heaven,8.18%
reached,they,21.21%,we,18.18%,he,15.15%
me,tell,10.12%,to,7.37%,with,3.74%
any,of,7.79%,at,5.63%,than,5.63%
how,and,15.57%,matter,10.78%,see,10.18%
some,of,5.63%,in,5.28%,with,3.17%
did,thus,16.18%,he,12.13%,they,6.62%
such,of,9.87%,with,9.21%,in,5.26%
heard,he,16.84%,have,11.58%,they,11.58%
about,all,7.64%,go,3.45%,anything,2.71%
them,of,15.69%,to,4.46%,for,4.08%
think,to,16.44%,you,15.07%,not,15.07%
so,do,6.96%,even,3.33%,him,2.46%
will,i,25.59%,you,13.83%,he,7.19%
be,to,23.29%,will,13.18%,may,7.94%
upon,down,4.85%,hands,3.36%,fell,3.36%
myself,for,10.59%,with,5.88%,you,4.71%
found,they,12.12%,he,12.12%,i,9.09%
among,men,5.59%,about,4.9%,man,4.2%
would,he,13.17%,i,12.37%,you,9.14%
one,any,10.13%,no,8.68%,every,7.96%
make,to,28.49%,and,13.97%,will,11.73%
may,you,19.69%,i,12.6%,he,10.24%
bring,to,26.09%,will,13.04%,and,10.14%
court,outer,42.86%,the,28.57%,inner,10.71%
house,the,55.47%,own,8.8%,my,7.2%
more,no,16.56%,any,6.75%,much,5.52%
like,looking,7.27%,not,7.27%,should,6.06%
man,a,24.44%,old,7.94%,the,7.62%
till,on,3.87%,wait,3.23%,it,2.58%
an,is,9.17%,of,7.86%,in,7.42%
together,got,11.54%,close,7.69%,put,5.77%
given,had,38.03%,have,15.49%,been,8.45%
out,set,4.7%,went,2.76%,put,2.21%
much,so,23.04%,as,10.78%,how,7.84%
right,the,12.5%,not,12.5%,his,10.94%
things,good,28.77%,these,15.07%,all,6.85%
however,now,18.75%,when,10.42%,jove,4.17%
see,to,28.63%,and,11.54%,could,7.69%
far,so,15.73%,as,14.61%,the,6.74%
their,of,6.92%,with,6.92%,in,4.68%
tell,and,17.69%,will,15.77%,to,13.46%
after,look,8.18%,and,5.03%,day,4.4%
had,he,18.68%,they,10.79%,i,7.66%
troy,from,23.19%,for,21.74%,before,20.29%
many,so,10.45%,the,7.46%,are,6.72%
men,the,21.91%,my,14.51%,his,6.48%
saw,i,34.68%,he,12.1%,they,10.48%
mind,my,16.88%,of,11.69%,your,9.09%
his,of,8.76%,in,7.42%,to,6.52%
heart,my,21.62%,his,14.86%,your,10.81%
