word type,number
everything,86612
adult,5
hate,18
function,48140
normal,number
the,7381
and,2877
of,2484
a,2181
in,1966
to,1862
it,1468
was,1357
he,1195
that,1059
with,974
his,923
had,875
as,693
on,692
for,649
they,600
at,549
is,543
her,513
one,469
i,444
there,439
him,436
not,412
but,411
were,404
from,398
out,397
she,397
up,385
all,353
by,328
when,326
them,316
their,309
little,273
street,263
be,260
upon,255
which,254
an,242
no,239
said,233
have,229
who,224
its,211
been,206
over,202
so,201
down,200
are,189
if,183
came,179
old,179
or,178
where,174
into,168
you,161
two,160
this,156
come,154
man,154
christmas,151
only,149
what,147
has,146
went,141
more,138
then,137
door,135
than,134
back,133
made,132
day,131
would,130
could,130
way,128
me,123
about,122
fire,120
will,119
my,116
through,116
last,115
time,115
other,113
did,111
once,109
good,109
before,107
after,107
now,107
long,107
just,102
men,100
never,99
home,98
even,95
away,94
house,93
new,92
children,91
under,91
very,91
go,89
while,88
face,88
took,87
window,87
woman,87
some,86
off,86
baby,85
night,84
we,84
tenement,83
life,82
know,82
hand,81
do,79
found,79
three,79
like,79
much,78
room,78
heard,77
every,76
see,76
yet,75
big,75
himself,75
police,74
against,74
saw,72
get,72
mother,72
make,71
child,71
any,71
thought,70
great,70
years,70
head,70
stood,70
many,69
sat,67
gone,67
something,67
first,67
might,66
left,66
well,65
work,65
such,65
got,65
put,65
here,64
alley,63
fell,63
another,63
too,63
right,62
ever,61
eyes,61
looked,61
half,60
story,60
boys,60
can,59
hard,59
across,59
look,59
days,59
nothing,58
enough,58
end,58
without,58
let,58
sergeant,58
set,57
knew,57
young,57
whole,56
city,56
take,55
poor,55
within,55
told,55
boy,55
next,54
these,54
since,54
mrs,54
how,53
snow,53
between,53
gave,53
again,53
dead,53
brought,53
own,52
corner,52
tenements,51
rest,51
until,51
name,51
each,50
though,50
four,50
morning,50
toward,50
floor,50
wife,49
those,49
hands,49
policeman,49
father,48
place,48
around,47
far,47
being,47
together,46
bed,46
behind,46
girl,46
york,45
keep,45
run,45
jim,43
dark,43
our,43
santa,43
claus,43
side,42
should,42
called,42
don't,42
find,41
seen,41
going,41
school,41
white,40
held,40
most,40
turned,40
lost,39
five,39
things,39
didn't,39
cold,39
winter,39
bad,38
jack,38
open,38
firemen,38
kept,37
better,37
stairs,37
carried,37
rose,37
black,37
among,37
always,37
wall,37
women,36
crowd,36
tree,36
island,36
say,36
people,35
must,35
turn,35
because,35
chief,35
still,35
block,35
looking,35
jocko,35
tell,34
kind,34
feet,34
six,34
mr,34
may,34
east,33
passed,33
give,33
done,33
voice,33
caught,33
step,33
asked,32
world,32
river,32
us,32
hall,32
sight,32
town,32
lay,32
green,32
burning,32
ladder,32
none,31
death,31
reached,31
help,31
friend,31
streets,31
sleep,31
red,31
light,31
says,31
dollar,31
real,31
full,31
fight,30
storm,30
why,30
thing,30
hundred,30
office,30
ran,30
till,30
heart,30
few,30
coming,29
mind,29
along,29
want,29
tried,29
ain't,29
laid,29
whom,29
known,29
land,29
captain,29
smoke,29
church,29
sometimes,28
money,28
twenty,28
week,28
shawl,28
building,28
year,28
having,28
strange,28
perhaps,28
past,28
think,28
farm,28
road,28
hospital,27
spoke,27
does,27
water,27
hung,27
burned,27
effort,27
fireman,27
kid,26
stand,26
roof,26
same,26
yard,26
alone,26
yer,26
it's,26
am,26
body,26
sent,26
less,26
nearly,25
mulberry,25
comes,25
deep,25
stopped,25
store,25
taken,25
sudden,25
family,25
attic,25
suddenly,25
number,25
almost,25
de,25
show,25
cross,25
station,25
sheep,25
paolo,25
liza,25
small,24
ten,24
deacon,24
holiday,24
rear,24
babies,24
heavy,24
seven,24
died,24
arms,24
horse,24
moment,24
beer,24
bowery,24
living,23
business,23
flat,23
given,23
felt,23
slept,23
windows,23
below,23
second,23
hear,23
girls,23
box,23
eye,23
soon,23
getting,23
slum,22
dollars,22
clear,22
both,22
words,22
lights,22
eve,22
dog,22
steps,22
o,22
chance,22
front,22
seemed,22
eyed,22
broken,22
train,22
itself,22
worked,22
lived,22
top,22
fires,22
village,22
air,22
pipe,22
making,21
dozen,21
rent,21
sun,21
country,21
beyond,21
waiting,21
pay,21
paid,21
best,21
headquarters,21
watch,21
god,21
months,21
saloon,21
spirit,21
safe,21
straight,21
pulled,21
forgotten,21
reach,21
general,21
joe,21
part,20
letter,20
children's,20
sick,20
anything,20
followed,20
filled,20
shone,20
silence,20
opened,20
board,20
herself,20
wagon,20
strong,20
lamp,20
hope,20
ground,20
shall,20
shop,20
paper,19
woods,19
john,19
war,19
pedler,19
word,19
working,19
early,19
lives,19
your,19
luck,19
others,19
near,19
hair,19
smothered,19
desk,19
foot,19
table,19
hours,19
bill,19
mike,19
ice,19
above,19
job,19
hour,19
matter,19
cellar,19
department,19
lot,19
book,18
company,18
times,18
nigger,18
bottle,18
basement,18
doctor,18
else,18
question,18
least,18
late,18
trouble,18
forth,18
yes,18
beat,18
ye,18
sunday,18
bell,18
kitchen,18
themselves,18
short,18
whose,18
iron,18
drove,18
coat,18
pocket,18
doll,18
jake,18
fast,17
wake,17
candles,17
sure,17
longer,17
point,17
keeping,17
tears,17
houses,17
thus,17
husband,17
need,17
evening,17
happened,17
gang,17
grew,17
nor,17
pushed,17
hold,17
shook,17
shut,17
avenue,17
dinner,17
worn,17
