word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
by,and,3.38%,in,2.15%,down,1.85%
the,of,10.34%,in,10.32%,to,5.15%
at,was,3.3%,it,2.75%,up,2.02%
was,it,24.45%,he,9.1%,there,8.58%
from,it,2.02%,up,1.77%,came,1.77%
of,out,4.49%,one,3.68%,end,1.38%
have,would,13.6%,to,9.65%,might,8.33%
been,had,46.6%,have,16.99%,has,13.11%
all,of,8.26%,it,7.41%,was,7.12%
other,the,51.33%,each,12.39%,no,5.31%
are,they,18.62%,there,11.17%,who,4.26%
as,just,3.18%,it,2.75%,and,2.03%
in,it,1.84%,was,1.79%,up,1.74%
has,it,11.72%,he,8.28%,that,4.83%
two,the,28.12%,and,6.25%,or,3.75%
thought,he,28.99%,the,8.7%,i,7.25%
this,in,11.11%,of,6.54%,at,3.92%
well,as,28.57%,a,6.35%,was,6.35%
children,the,44.94%,and,7.87%,of,5.62%
a,with,7.99%,in,6.98%,of,6.7%
an,with,10.46%,in,6.69%,was,6.69%
with,and,2.59%,it,2.07%,up,1.76%
half,the,10.0%,a,8.33%,other,3.33%
set,and,10.91%,had,7.27%,he,5.45%
up,it,3.9%,went,2.6%,got,2.34%
and,it,1.94%,him,1.17%,up,1.1%
i,and,7.24%,that,4.98%,when,4.52%
great,the,35.71%,a,30.0%,of,8.57%
many,as,15.94%,so,14.49%,the,11.59%
last,the,46.96%,at,20.87%,a,5.22%
years,three,10.45%,thirty,7.46%,four,5.97%
if,as,24.73%,and,3.85%,even,3.3%
would,he,17.69%,it,10.77%,they,7.69%
not,was,15.57%,did,10.22%,is,8.27%
had,he,18.06%,they,7.06%,she,6.13%
much,so,22.08%,as,16.88%,with,7.79%
that,and,2.37%,of,2.09%,in,1.52%
it,of,4.8%,that,3.98%,and,2.61%
when,and,4.13%,it,2.54%,days,2.54%
said,he,28.38%,she,12.66%,and,3.93%
yet,not,9.33%,was,9.33%,as,6.67%
is,it,24.77%,there,9.38%,that,6.94%
could,he,18.46%,they,12.31%,she,7.69%
there,and,6.94%,was,4.17%,that,2.31%
some,of,12.94%,for,5.88%,that,4.71%
one,the,7.73%,no,5.36%,in,4.08%
can,he,17.54%,they,15.79%,i,8.77%
home,at,15.46%,of,7.22%,come,6.19%
more,once,11.59%,no,7.97%,and,5.8%
than,more,23.13%,better,3.73%,less,3.73%
them,of,18.1%,with,5.08%,to,4.76%
but,it,2.72%,all,2.22%,him,1.98%
never,had,13.4%,was,7.22%,i,5.15%
even,not,10.64%,but,4.26%,him,3.19%
story,the,32.76%,old,8.62%,a,6.9%
to,him,1.95%,it,1.52%,came,1.36%
come,had,35.57%,to,6.04%,has,4.7%
me,to,22.95%,let,4.92%,for,4.1%
before,up,3.74%,years,3.74%,year,2.8%
came,it,10.92%,he,9.2%,they,5.75%
my,of,14.78%,in,9.57%,is,5.22%
work,to,12.31%,the,10.77%,day's,6.15%
police,the,66.22%,of,8.11%,to,4.05%
for,up,1.71%,not,1.56%,it,1.4%
were,they,25.69%,there,10.22%,that,4.24%
they,as,7.89%,that,5.7%,and,4.36%
under,from,6.59%,away,2.2%,it,2.2%
out,went,5.32%,came,2.78%,it,2.53%
street,the,39.46%,mulberry,10.76%,pell,4.93%
own,his,38.46%,their,25.0%,her,15.38%
just,was,10.78%,had,6.86%,i,2.94%
life,the,12.2%,his,10.98%,of,7.32%
which,in,13.39%,of,9.84%,upon,3.15%
after,one,4.76%,in,3.81%,look,2.86%
be,to,41.92%,would,6.92%,must,5.77%
its,in,11.85%,of,10.9%,with,5.69%
baby,the,47.62%,a,11.9%,and,4.76%
his,in,10.77%,of,8.71%,and,5.77%
alley,the,44.44%,scrabble,14.29%,cat,11.11%
on,up,2.04%,them,2.04%,was,1.6%
little,a,22.51%,the,21.77%,of,3.32%
christmas,merry,8.05%,the,7.38%,of,7.38%
took,he,19.77%,and,13.95%,she,6.98%
saw,he,21.13%,and,11.27%,i,9.86%
new,in,31.11%,of,12.22%,the,10.0%
who,those,5.61%,man,5.14%,one,4.67%
fire,the,46.15%,a,7.69%,of,7.69%
went,he,19.71%,and,16.79%,they,7.3%
way,the,34.38%,his,10.94%,their,6.25%
he,as,8.98%,that,5.59%,and,4.83%
or,once,3.41%,more,2.84%,one,2.27%
snow,the,50.94%,of,18.87%,in,5.66%
fell,and,15.87%,she,6.35%,silence,6.35%
between,streets,3.77%,way,3.77%,caught,3.77%
no,was,8.82%,is,6.3%,had,5.46%
about,all,4.1%,something,3.28%,looked,2.46%
man,the,25.32%,a,20.78%,old,8.44%
him,to,7.82%,for,6.44%,with,4.37%
big,the,36.0%,a,30.67%,and,2.67%
their,in,12.01%,of,12.01%,with,5.19%
back,the,14.29%,came,7.52%,his,6.77%
where,street,2.89%,corner,2.89%,and,2.31%
how,and,11.76%,know,7.84%,but,5.88%
might,he,16.92%,it,10.77%,one,9.23%
take,to,36.36%,will,5.45%,would,3.64%
her,in,8.25%,of,7.86%,to,4.72%
away,far,9.57%,run,4.26%,get,4.26%
then,and,23.36%,was,5.84%,just,3.65%
what,and,6.94%,see,6.94%,know,5.56%
nothing,had,8.62%,and,6.9%,was,5.17%
whole,the,64.29%,a,14.29%,three,3.57%
once,at,21.1%,for,7.34%,than,5.5%
himself,to,9.33%,for,6.67%,claus,4.0%
enough,well,13.79%,strong,8.62%,was,8.62%
made,and,14.73%,was,10.85%,had,7.75%
every,of,13.33%,in,9.33%,from,5.33%
good,a,22.22%,the,13.89%,as,6.48%
next,the,62.96%,ninth,1.85%,here,1.85%
end,the,44.83%,an,10.34%,one,6.9%
without,but,5.26%,out,5.26%,not,3.51%
she,as,6.11%,that,5.6%,and,5.34%
