word type,number
everything,140454
adult,7
hate,36
function,78083
normal,number
the,11889
and,4704
of,4000
a,3517
in,3143
to,2990
it,2406
was,2191
he,2001
that,1704
with,1546
his,1535
had,1393
as,1126
on,1104
for,1035
they,974
is,930
at,904
her,882
one,797
him,735
there,722
i,703
she,700
but,675
out,651
not,649
were,632
up,630
from,626
all,581
when,556
by,541
their,508
them,503
street,452
little,445
be,438
which,405
an,402
upon,396
no,388
said,380
who,372
have,346
been,334
its,330
over,330
so,328
are,318
old,318
down,312
came,304
if,291
or,282
where,277
into,274
two,260
you,258
has,251
man,251
christmas,250
come,248
only,243
this,240
day,234
what,232
then,229
back,227
fire,225
went,223
more,220
door,219
made,210
would,209
than,208
could,206
way,206
about,199
me,193
through,193
other,191
will,190
time,185
last,183
my,180
once,180
now,179
did,176
before,174
long,174
good,173
after,172
just,167
men,167
house,159
never,157
even,152
away,152
window,152
children,150
woman,147
face,147
home,146
off,145
tenement,144
while,143
night,143
took,142
go,142
know,141
very,140
some,139
life,139
baby,138
hand,136
under,135
new,134
like,133
three,131
found,130
room,130
police,127
yet,126
heard,126
mother,125
do,124
saw,123
every,123
much,122
any,121
many,120
against,120
see,120
we,120
child,119
thought,118
himself,116
years,115
big,115
get,115
stood,115
great,113
left,112
head,111
first,111
got,111
something,110
right,108
story,107
fell,107
might,106
work,105
alley,104
gone,103
such,103
make,103
eyes,103
here,103
can,101
sat,101
ever,101
another,101
half,100
nothing,100
whole,100
end,100
put,100
well,98
too,98
look,98
without,97
dead,97
sergeant,96
enough,95
again,95
next,94
days,94
morning,93
across,93
let,93
young,93
since,92
told,92
looked,92
hard,91
brought,91
set,90
within,90
until,90
these,89
hands,89
floor,89
own,88
how,88
knew,88
policeman,88
name,88
take,87
gave,87
wife,86
rest,85
city,85
corner,84
girl,84
each,82
poor,82
father,82
between,81
mrs,80
boy,78
being,78
though,77
four,77
bed,77
toward,77
place,77
together,76
behind,76
around,76
tenements,74
far,73
find,72
those,72
called,72
don't,72
boys,72
firemen,72
snow,69
run,69
keep,68
held,68
turned,68
santa,68
school,68
york,67
didn't,67
side,66
should,66
lost,66
dark,66
five,66
seen,66
stairs,65
things,64
island,64
rose,64
crowd,63
chief,63
claus,63
white,62
among,62
looking,62
kept,61
women,61
going,61
dollar,61
wall,61
may,61
ladder,61
passed,60
tree,60
carried,60
our,60
block,60
most,59
done,59
ran,59
six,59
mr,59
give,58
burning,58
jim,57
bad,57
because,57
feet,57
open,57
say,57
cold,57
people,56
death,56
kind,56
sight,56
reached,55
better,55
still,55
always,55
thing,54
tried,54
hall,54
red,54
black,54
step,54
green,54
must,53
world,53
help,53
caught,53
lay,53
full,53
smoke,53
fireman,53
asked,52
voice,52
strange,52
few,52
east,51
tell,51
building,51
laid,51
till,51
water,51
light,51
says,51
burned,51
none,50
along,50
twenty,50
friend,50
turn,50
heart,50
winter,50
effort,50
paolo,50
fight,49
coming,49
sleep,49
station,49
real,49
roof,48
why,48
spoke,48
perhaps,48
body,48
whom,48
liza,48
mulberry,47
hospital,47
mind,47
think,47
bowery,47
comes,46
week,46
babies,46
year,46
almost,46
sent,46
want,45
hundred,45
jack,45
number,45
past,45
sometimes,44
small,44
money,44
yard,44
alone,44
ain't,44
does,44
streets,44
having,44
hung,44
died,44
holiday,43
same,43
river,43
us,43
office,43
it's,43
am,43
town,43
known,43
family,42
suddenly,42
less,42
joe,42
nearly,41
ten,41
stand,41
store,41
cross,41
land,41
horse,41
below,40
heavy,40
seven,40
arms,40
air,40
moment,40
storm,39
stopped,39
slept,39
train,39
soon,39
forgotten,39
john,38
living,38
rear,38
business,38
lives,38
shawl,38
safe,38
show,38
sheep,38
top,38
fires,38
beer,38
road,38
church,38
waiting,37
dollars,37
taken,37
sudden,37
luck,37
attic,37
yer,37
front,37
hear,37
broken,37
herself,37
wagon,37
captain,37
reach,37
shall,37
dozen,36
nigger,36
slum,36
flat,36
given,36
both,36
headquarters,36
second,36
worked,36
lived,36
hope,36
farm,36
getting,36
jake,36
deep,35
words,35
filled,35
steps,35
chance,35
girls,35
mike,35
above,35
general,35
village,35
jocko,35
kid,34
children's,34
felt,34
watch,34
months,34
spirit,34
strong,34
box,34
company,33
part,33
paper,33
sick,33
lights,33
seemed,33
eyed,33
hours,33
itself,33
lamp,33
straight,33
eye,33
coat,33
ward,33
department,33
fast,32
paolo's,32
word,32
best,32
followed,32
windows,32
near,32
o,32
god,32
saloon,32
board,32
kitchen,32
de,32
short,32
table,32
pipe,32
hook,32
letter,31
country,31
eve,31
beat,31
grew,31
hair,31
gray,31
hold,31
themselves,31
whose,31
oh,31
pulled,31
matter,31
ground,31
cellar,31
carmen,31
woods,30
court,30
candles,30
else,30
beyond,30
early,30
anything,30
thus,30
husband,30
nor,30
smothered,30
bill,30
iron,30
drove,30
knows,30
indeed,30
save,30
lot,30
martha,30
rent,29
least,29
pay,29
others,29
arm,29
opened,29
shut,29
car,29
dinner,29
desk,29
foot,29
ice,29
third,29
hour,29
doll,29
lad,29
clothes,29
making,28
wake,28
war,28
doctor,28
keeping,28
tears,28
paid,28
forth,28
happened,28
dog,28
worn,28
square,28
job,28
read,28
neither,28
thirty,28
teacher,28
friends,28
maggie,28
shop,28
book,27
times,27
sun,27
bottle,27
working,27
late,27
clear,27
bell,27
avenue,27
twice,27
often,27
busy,27
met,27
frightened,27
thomas,27
note,26
merry,26
goats,26
point,26
houses,26
trouble,26
your,26
yes,26
rang,26
added,26
sit,26
received,26
moved,26
fact,26
became,26
escape,26
follow,26
music,26
professor,26
charity,26
steady,26
picture,25
basement,25
sure,25
longer,25
case,25
ago,25
